dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,fsim,False,5,0.0121533870697021,0.6592241525650024
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,fsim,False,1,0.012052297592163,0.838523805141449
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,fsim,False,3,0.0120265483856201,0.8391333818435669
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,fsim,False,7,0.0119898319244384,0.695739209651947
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,fsim,False,7,0.0119886398315429,0.7750958800315857
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,fsim,False,1,0.0122301578521728,0.8761010766029358
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,fsim,False,10,0.0119504928588867,0.7169275283813477
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,fsim,False,5,0.0118329524993896,0.6974982023239136
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,fsim,False,3,0.0120215415954589,0.6025109887123108
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,fsim,False,3,0.0121388435363769,0.8086754679679871
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,fsim,False,7,0.0119051933288574,0.7281288504600525
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,fsim,False,10,0.0118207931518554,0.4173734784126282
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,fsim,False,5,0.0119645595550537,0.646683931350708
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,fsim,False,1,0.0121710300445556,0.8444915413856506
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,fsim,False,7,0.0119469165802001,0.6770626902580261
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,fsim,False,10,0.0117425918579101,0.6705695390701294
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,fsim,False,15,0.0119264125823974,0.4629340171813965
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,fsim,False,10,0.0119073390960693,0.5435763001441956
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,fsim,False,1,0.0121142864227294,0.8955016136169434
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,fsim,False,7,0.0120759010314941,0.6054826974868774
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,fsim,False,15,0.0119600296020507,0.5709798336029053
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,fsim,False,7,0.0119135379791259,0.6162214279174805
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,fsim,False,5,0.0119307041168212,0.5854164361953735
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,fsim,False,0,0.0123119354248046,0.9999998211860656
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,fsim,False,7,0.012190818786621,0.5575977563858032
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,fsim,False,10,0.0121157169342041,0.5390138626098633
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,fsim,False,5,0.0118403434753417,0.6370563507080078
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,fsim,False,1,0.0123331546783447,0.829755425453186
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,fsim,False,7,0.011916160583496,0.5650264620780945
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,fsim,False,10,0.0117452144622802,0.5239585041999817
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,fsim,False,3,0.011817455291748,0.6615591645240784
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,fsim,False,15,0.0128061771392822,0.5580349564552307
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,fsim,False,3,0.0120365619659423,0.8375275135040283
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,fsim,False,0,0.012279987335205,0.9999998211860656
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,fsim,False,10,0.0119862556457519,0.545762836933136
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,fsim,False,0,0.0125529766082763,0.9999999403953552
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,fsim,False,1,0.012139081954956,0.8446080684661865
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,fsim,False,7,0.0119152069091796,0.688450276851654
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,fsim,False,15,0.0120842456817626,0.4597757160663605
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,fsim,False,10,0.0120291709899902,0.6033666729927063
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,fsim,False,15,0.011803388595581,0.5391100645065308
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,fsim,False,7,0.0115973949432373,0.731442928314209
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,fsim,False,1,0.0119380950927734,0.8381053805351257
