dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,gmsd,True,5,0.0031208992004394,0.2653952836990356
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,gmsd,True,1,0.0030446052551269,0.0679248720407486
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,gmsd,True,3,0.0029652118682861,0.1014496907591819
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,gmsd,True,7,0.0029256343841552,0.2759228348731994
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,gmsd,True,7,0.0029075145721435,0.185487300157547
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,gmsd,True,1,0.0031499862670898,0.0588717199862003
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,gmsd,True,10,0.0029566287994384,0.2529813051223755
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,gmsd,True,5,0.002723217010498,0.2680906057357788
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,gmsd,True,3,0.0028889179229736,0.1711073964834213
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,gmsd,True,3,0.003035545349121,0.1416493654251098
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,gmsd,True,7,0.0028450489044189,0.2328723222017288
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,gmsd,True,10,0.0027391910552978,0.3147387206554413
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,gmsd,True,5,0.003007173538208,0.2426295131444931
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,gmsd,True,1,0.0030150413513183,0.0737780183553695
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,gmsd,True,7,0.0029504299163818,0.2380862683057785
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,gmsd,True,10,0.0027990341186523,0.2798735797405243
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,gmsd,True,15,0.0028879642486572,0.3192251324653625
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,gmsd,True,10,0.0028972625732421,0.2933191955089569
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,gmsd,True,1,0.0029671192169189,0.0408765934407711
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,gmsd,True,7,0.0029094219207763,0.291806548833847
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,gmsd,True,15,0.0028486251831054,0.2990909814834595
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,gmsd,True,7,0.002739667892456,0.2844310104846954
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,gmsd,True,5,0.0028858184814453,0.2237763553857803
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,gmsd,True,0,0.0033655166625976,0.0
