dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,lpips,True,5,0.005116701126098633,0.6377129554748535
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,lpips,True,1,0.004827737808227539,0.20885029435157776
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,lpips,True,3,0.004652261734008789,0.4587155282497406
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips,True,7,0.004602193832397461,0.6675124168395996
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,lpips,True,7,0.0045702457427978516,0.48091018199920654
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,lpips,True,1,0.004853487014770508,0.2047174870967865
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,lpips,True,10,0.004673004150390625,0.6106483936309814
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,lpips,True,5,0.004323005676269531,0.5677066445350647
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,lpips,True,3,0.004567384719848633,0.7686598300933838
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,lpips,True,3,0.00475001335144043,0.36508622765541077
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips,True,7,0.0046939849853515625,0.4484703540802002
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,lpips,True,10,0.0043680667877197266,0.860617995262146
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,lpips,True,5,0.004689455032348633,0.6552330255508423
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,lpips,True,1,0.00469970703125,0.26414284110069275
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,lpips,True,7,0.004611015319824219,0.6040635704994202
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,lpips,True,10,0.0044248104095458984,0.6564499139785767
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips,True,15,0.00452113151550293,0.9127124547958374
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,lpips,True,10,0.004544973373413086,0.8120733499526978
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,lpips,True,1,0.004679679870605469,0.13046382367610931
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,lpips,True,7,0.004599809646606445,0.771885871887207
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips,True,15,0.004511356353759766,0.7902150750160217
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,lpips,True,7,0.004439115524291992,0.6827953457832336
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips,True,5,0.0047512054443359375,0.7921699285507202
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,lpips,True,0,0.005396127700805664,0.021395720541477203
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,lpips,True,7,0.004686594009399414,0.7447115182876587
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,lpips,True,10,0.004506111145019531,0.725377082824707
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,lpips,True,5,0.004316568374633789,0.6787998676300049
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,lpips,True,1,0.004919528961181641,0.28918418288230896
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,lpips,True,7,0.0044748783111572266,0.6740413904190063
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,lpips,True,10,0.004445552825927734,0.8363758325576782
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,lpips,True,3,0.004445314407348633,0.5454206466674805
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,lpips,True,15,0.00461268424987793,0.7524667382240295
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,lpips,True,3,0.004560708999633789,0.30374136567115784
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,lpips,True,0,0.0052912235260009766,0.00137684668879956
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,lpips,True,10,0.004712581634521484,0.8680366277694702
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,lpips,True,0,0.005468606948852539,0.02119474858045578
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,lpips,True,1,0.004587888717651367,0.09562785178422928
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,lpips,True,7,0.00443577766418457,0.4303123950958252
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,lpips,True,15,0.0047037601470947266,0.87044757604599
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,lpips,True,10,0.0045850276947021484,0.7220749258995056
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,lpips,True,15,0.004438877105712891,0.7498427629470825
