dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,mad,True,5,0.1035928726196289,206.64633567853062
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,mad,True,1,0.10393786430358887,125.59260608131572
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,mad,True,3,0.10383820533752441,80.78441883894826
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,mad,True,7,0.1038980484008789,223.5237623988109
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,mad,True,7,0.10384678840637207,163.36078923340386
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,mad,True,1,0.10429525375366211,88.60065538688396
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,mad,True,10,0.10389256477355957,213.44237514831119
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,mad,True,5,0.10368943214416504,184.58820953745663
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,mad,True,3,0.10381317138671875,135.0932397104597
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,mad,True,3,0.10400843620300293,144.3757364430686
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,mad,True,7,0.10388541221618652,192.3990799570306
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,mad,True,10,0.10362887382507324,242.3077498124443
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,mad,True,5,0.10402417182922363,192.2222786091784
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,mad,True,1,0.10460543632507324,110.6102916590635
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,mad,True,7,0.10392069816589355,199.33771971155366
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,mad,True,10,0.1036679744720459,245.69661146882677
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,mad,True,15,0.10400962829589844,208.03257887303576
