dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,psnr,False,5,0.0028493404388427734,19.467897415161133
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,psnr,False,1,0.002933979034423828,23.15811538696289
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,psnr,False,3,0.0027816295623779297,29.452287673950195
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,psnr,False,7,0.0027506351470947266,18.74335479736328
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,psnr,False,7,0.0027260780334472656,25.28693199157715
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,psnr,False,1,0.002998828887939453,23.353784561157227
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,psnr,False,10,0.002775430679321289,19.576000213623047
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,psnr,False,5,0.002489328384399414,21.425504684448242
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,psnr,False,3,0.002699136734008789,21.432092666625977
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,psnr,False,3,0.0029296875,24.440719604492188
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,psnr,False,7,0.0026433467864990234,20.454097747802734
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,psnr,False,10,0.0025255680084228516,15.632939338684082
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,psnr,False,5,0.0029001235961914062,19.983736038208008
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,psnr,False,1,0.0028922557830810547,23.61307144165039
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,psnr,False,7,0.0027680397033691406,20.920978546142578
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,psnr,False,10,0.0025925636291503906,19.125490188598633
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,psnr,False,15,0.002691507339477539,15.918802261352539
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,psnr,False,10,0.0027000904083251953,17.317506790161133
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,psnr,False,1,0.002834320068359375,28.8295955657959
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,psnr,False,7,0.0027434825897216797,18.235610961914062
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,psnr,False,15,0.0027208328247070312,22.180503845214844
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,psnr,False,7,0.0025272369384765625,17.391361236572266
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,psnr,False,5,0.002730131149291992,21.6112117767334
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,psnr,False,0,0.003583669662475586,29.66756820678711
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,psnr,False,7,0.002870798110961914,18.220895767211914
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,psnr,False,10,0.0026845932006835938,19.571739196777344
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,psnr,False,5,0.0025022029876708984,23.054540634155273
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,psnr,False,1,0.0030477046966552734,20.98402214050293
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,psnr,False,7,0.002629995346069336,17.809247970581055
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,psnr,False,10,0.0026159286499023438,16.49397087097168
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,psnr,False,3,0.0026404857635498047,21.043140411376953
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,psnr,False,15,0.0027654170989990234,14.58158016204834
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,psnr,False,3,0.0027518272399902344,25.161046981811523
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,psnr,False,0,0.003475189208984375,39.75655746459961
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,psnr,False,10,0.0026824474334716797,18.35487937927246
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,psnr,False,0,0.003679513931274414,22.1976261138916
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,psnr,False,1,0.002759695053100586,28.849040985107422
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,psnr,False,7,0.0026140213012695312,18.27151107788086
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,psnr,False,15,0.0028693675994873047,14.57602596282959
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,psnr,False,10,0.0027420520782470703,15.746546745300293
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,psnr,False,15,0.0025801658630371094,18.738901138305664
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,psnr,False,7,0.002484560012817383,19.899791717529297
