dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,ssim,False,5,0.0064718723297119,0.599265422894605
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,ssim,False,1,0.0064179897308349,0.797595324689135
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,ssim,False,3,0.0063545703887939,0.7633755162508734
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,ssim,False,7,0.0062780380249023,0.5322019727967474
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,ssim,False,7,0.0062718391418457,0.7160280095662835
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,ssim,False,1,0.0065460205078125,0.7934943064849957
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,ssim,False,10,0.0063333511352539,0.5798724473423649
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,ssim,False,5,0.0060985088348388,0.6048235966911129
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,ssim,False,3,0.006244421005249,0.3266393619795342
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,ssim,False,3,0.0064167976379394,0.7347860215766234
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ssim,False,7,0.0062038898468017,0.616708892929605
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,ssim,False,10,0.0061168670654296,0.1731985361429756
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,ssim,False,5,0.0063717365264892,0.52262801495563
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,ssim,False,1,0.0064084529876708,0.7288757475837078
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,ssim,False,7,0.0063321590423583,0.5442732764365986
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,ssim,False,10,0.0062348842620849,0.6167370976083837
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,ssim,False,15,0.0062537193298339,0.2228967584581265
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,ssim,False,10,0.0062425136566162,0.3288000548096458
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,ssim,False,1,0.0063495635986328,0.8901512496498432
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,ssim,False,7,0.0061261653900146,0.4081641102578038
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ssim,False,15,0.0060482025146484,0.4532550148569293
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,ssim,False,7,0.0059456825256347,0.5056322796575962
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,ssim,False,5,0.0061163902282714,0.3806961458868395
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,ssim,False,0,0.0065569877624511,1.0
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,ssim,False,7,0.0061969757080078,0.3685741387884298
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,ssim,False,10,0.0060453414916992,0.3942167782772901
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,ssim,False,5,0.0059306621551513,0.4940498846413124
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,ssim,False,1,0.0063774585723876,0.6860012530682376
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ssim,False,7,0.0060329437255859,0.4871353485886913
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ssim,False,10,0.0060129165649414,0.3396625681687267
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ssim,False,3,0.0060038566589355,0.5665395578932013
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,ssim,False,15,0.0061450004577636,0.3222208855656223
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,ssim,False,3,0.0061805248260498,0.8414038744613702
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,ssim,False,0,0.0064430236816406,1.0
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,ssim,False,10,0.0060949325561523,0.3053876418255051
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ssim,False,0,0.006566047668457,1.0
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,ssim,False,1,0.0061280727386474,0.9113339558563368
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,ssim,False,7,0.0060055255889892,0.6527267119907888
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,ssim,False,15,0.0062198638916015,0.1991025368379163
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,ssim,False,10,0.0060954093933105,0.4248343266755502
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,ssim,False,15,0.0060014724731445,0.5567925789490017
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,ssim,False,7,0.0058944225311279,0.7277216586329803
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,ssim,False,1,0.0059454441070556,0.8639670792243624
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,ssim,False,1,0.0063588619232177,0.731365468530198
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,ssim,False,5,0.0060546398162841,0.5463507279087046
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,ssim,False,7,0.0061893463134765,0.4810711082756514
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,ssim,False,0,0.0065438747406005,1.0
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,ssim,False,0,0.0067358016967773,1.0
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,ssim,False,5,0.0061025619506835,0.3967676107184277
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,ssim,False,0,0.006669282913208,1.0
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,ssim,False,3,0.0062477588653564,0.626325384050247
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,ssim,False,10,0.0058791637420654,0.581374664501202
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,ssim,False,15,0.0056993961334228,0.7785275648186587
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,ssim,False,3,0.0059156417846679,0.7923363919444824
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,ssim,False,7,0.0055687427520751,0.5755220025452783
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,ssim,False,15,0.0059540271759033,0.3277907353006571
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,ssim,False,1,0.0061976909637451,0.7073925270000581
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,ssim,False,0,0.0063385963439941,1.0
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,ssim,False,3,0.0060939788818359,0.4030406326380747
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,ssim,False,15,0.0056462287902832,0.6271453920175736
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,ssim,False,0,0.0062050819396972,1.0
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,ssim,False,10,0.0058937072753906,0.5282281635119062
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,ssim,False,10,0.0058865547180175,0.5350648495008857
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,ssim,False,3,0.0057077407836914,0.7527267944799679
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,ssim,False,5,0.0058300495147705,0.7162085845021802
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,ssim,False,3,0.0057005882263183,0.8145217871369841
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,ssim,False,15,0.0060501098632812,0.2561750220060738
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,ssim,False,0,0.0063731670379638,1.0
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,ssim,False,1,0.0061111450195312,0.7863822997269072
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,ssim,False,1,0.0061676502227783,0.8414612440974996
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,ssim,False,1,0.0058259963989257,0.8581216594379427
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,ssim,False,15,0.0059072971343994,0.3036810788149549
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,ssim,False,5,0.0059773921966552,0.5654181373838576
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,ssim,False,15,0.0058491230010986,0.4588467880838892
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,ssim,False,3,0.0056588649749755,0.7072250104230985
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,ssim,False,10,0.0057082176208496,0.4568717384244887
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,ssim,False,15,0.0059025287628173,0.3724508019244446
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,ssim,False,3,0.0060255527496337,0.6263847703587266
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,ssim,False,0,0.0059344768524169,1.0
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,ssim,False,15,0.0057060718536376,0.460157135052089
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,ssim,False,5,0.0057637691497802,0.6974210106436152
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,ssim,False,5,0.005974531173706,0.5236997460408731
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,ssim,False,10,0.0058388710021972,0.3483819688066214
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,ssim,False,3,0.0058107376098632,0.5100878420311353
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,ssim,False,5,0.0059835910797119,0.4179435738430929
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,ssim,False,7,0.0059590339660644,0.4680138984143257
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,ssim,False,5,0.005833625793457,0.5740858593904544
