dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips-vgg,True,5,0.0076222419738769,0.6688176989555359
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips-vgg,True,1,0.0077097415924072,0.1688153147697448
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips-vgg,True,3,0.0076241493225097,0.3740330040454864
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips-vgg,True,7,0.0076038837432861,0.7359012961387634
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips-vgg,True,7,0.0075736045837402,0.5636802315711975
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,stlpips-vgg,True,1,0.0078141689300537,0.2006626725196838
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips-vgg,True,10,0.0076260566711425,0.6587172746658325
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,stlpips-vgg,True,5,0.0074186325073242,0.6077091693878174
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips-vgg,True,3,0.0075612068176269,0.7846669554710388
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips-vgg,True,3,0.0077133178710937,0.4558225870132446
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips-vgg,True,7,0.007512092590332,0.4395103454589844
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips-vgg,True,10,0.007451057434082,1.0209968090057373
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips-vgg,True,5,0.0076546669006347,0.7635037899017334
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips-vgg,True,1,0.0077552795410156,0.2309445589780807
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips-vgg,True,7,0.0076169967651367,0.662687361240387
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips-vgg,True,10,0.0074706077575683,0.7180725932121277
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips-vgg,True,15,0.0072872638702392,0.9732280969619752
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips-vgg,True,10,0.0072979927062988,0.9613562226295472
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips-vgg,True,1,0.0074093341827392,0.1032278686761856
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips-vgg,True,7,0.0073411464691162,0.839203953742981
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips-vgg,True,15,0.0072691440582275,0.840087354183197
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,stlpips-vgg,True,7,0.0071632862091064,0.7835004925727844
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips-vgg,True,5,0.0073282718658447,0.8654914498329163
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips-vgg,True,0,0.0077908039093017,0.0
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,stlpips-vgg,True,7,0.0074703693389892,0.8486943244934082
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips-vgg,True,10,0.0073060989379882,0.8366769552230835
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips-vgg,True,5,0.0071403980255126,0.6659791469573975
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips-vgg,True,1,0.0076823234558105,0.2614919245243072
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips-vgg,True,7,0.0072460174560546,0.8098930716514587
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips-vgg,True,10,0.0072321891784667,0.9110804200172424
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips-vgg,True,3,0.0072176456451416,0.617173969745636
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips-vgg,True,15,0.0073561668395996,0.8887351751327515
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips-vgg,True,3,0.0073468685150146,0.2722506821155548
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,stlpips-vgg,True,0,0.0076665878295898,0.0
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips-vgg,True,10,0.0072977542877197,0.8689830303192139
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips-vgg,True,0,0.0077996253967285,0.0
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips-vgg,True,1,0.0073573589324951,0.2025701105594635
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips-vgg,True,7,0.0072309970855712,0.4760993123054504
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips-vgg,True,15,0.0074403285980224,0.9524014592170716
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips-vgg,True,10,0.0073168277740478,0.7633375525474548
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips-vgg,True,15,0.0072071552276611,0.7194873690605164
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips-vgg,True,7,0.0071897506713867,0.5142148733139038
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips-vgg,True,1,0.0071778297424316,0.1540949493646621
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips-vgg,True,1,0.0074477195739746,0.0879788994789123
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,stlpips-vgg,True,5,0.0071372985839843,0.6263945698738098
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,stlpips-vgg,True,7,0.0072698593139648,0.8074997067451477
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,stlpips-vgg,True,0,0.0076136589050292,0.0
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,stlpips-vgg,True,0,0.0078163146972656,0.0
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,stlpips-vgg,True,5,0.0071747303009033,0.7656242847442627
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,stlpips-vgg,True,0,0.0076735019683837,0.0
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,stlpips-vgg,True,3,0.0073299407958984,0.5864964723587036
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,stlpips-vgg,True,10,0.007150650024414,0.6219466924667358
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,stlpips-vgg,True,15,0.0069694519042968,0.41973477602005
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,stlpips-vgg,True,3,0.0071983337402343,0.4796005189418793
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,stlpips-vgg,True,7,0.0068528652191162,0.263882428407669
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,stlpips-vgg,True,15,0.0073237419128417,0.8434666991233826
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,stlpips-vgg,True,1,0.0075001716613769,0.1805122643709182
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,stlpips-vgg,True,0,0.0076410770416259,0.0
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,stlpips-vgg,True,3,0.007383108139038,0.8165886998176575
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,stlpips-vgg,True,15,0.0069470405578613,0.6282913684844971
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,stlpips-vgg,True,0,0.0074937343597412,0.0
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,stlpips-vgg,True,10,0.0071756839752197,0.6514745354652405
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,stlpips-vgg,True,10,0.0071921348571777,0.5942544341087341
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,stlpips-vgg,True,3,0.0069959163665771,0.4372771978378296
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,stlpips-vgg,True,5,0.0071256160736083,0.5452336668968201
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,stlpips-vgg,True,3,0.0069820880889892,0.4560366868972778
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,stlpips-vgg,True,15,0.0072572231292724,0.9073834419250488
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,stlpips-vgg,True,0,0.0076789855957031,0.0
