dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips,True,5,0.005297660827636719,0.6546962857246399
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips,True,1,0.005118370056152344,0.16689282655715942
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips,True,3,0.005034685134887695,0.30517396330833435
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips,True,7,0.004924297332763672,0.6849188208580017
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips,True,7,0.004917621612548828,0.4985482692718506
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,stlpips,True,1,0.005234479904174805,0.09968245774507523
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips,True,10,0.0049991607666015625,0.6060217022895813
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,stlpips,True,5,0.004718303680419922,0.5651646852493286
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips,True,3,0.004907846450805664,0.6405830383300781
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips,True,3,0.005106210708618164,0.3831651508808136
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips,True,7,0.004864692687988281,0.39588457345962524
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips,True,10,0.004927158355712891,0.9007338881492615
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips,True,5,0.0050411224365234375,0.6585384607315063
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips,True,1,0.00506138801574707,0.15864023566246033
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips,True,7,0.004968166351318359,0.6713590621948242
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips,True,10,0.00475764274597168,0.6987513303756714
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips,True,15,0.004876613616943359,0.8916439414024353
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips,True,10,0.004908561706542969,0.8553954362869263
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips,True,1,0.0050411224365234375,0.11470402777194977
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips,True,7,0.004952192306518555,0.7964849472045898
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips,True,15,0.004952192306518555,0.83851557970047
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,stlpips,True,7,0.004786491394042969,0.6720219850540161
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips,True,5,0.004945516586303711,0.6982764601707458
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips,True,0,0.005831003189086914,0.01840955950319767
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,stlpips,True,7,0.0051305294036865234,0.718597412109375
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips,True,10,0.005019187927246094,0.8525815010070801
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips,True,5,0.004732608795166016,0.6344479918479919
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips,True,1,0.005295753479003906,0.18184658885002136
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips,True,7,0.004887819290161133,0.7747969627380371
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips,True,10,0.0048427581787109375,0.9428330659866333
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips,True,3,0.004822254180908203,0.4933938980102539
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips,True,15,0.004994392395019531,0.8254554271697998
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips,True,3,0.00497126579284668,0.21936410665512085
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,stlpips,True,0,0.005654096603393555,0.002222144277766347
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips,True,10,0.0048983097076416016,0.8387961387634277
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips,True,0,0.005858182907104492,0.0412885919213295
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips,True,1,0.004995584487915039,0.11653541028499603
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips,True,7,0.004847049713134766,0.394484281539917
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips,True,15,0.0051288604736328125,0.8465931415557861
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips,True,10,0.0049839019775390625,0.7103714346885681
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips,True,15,0.004898786544799805,0.648787260055542
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips,True,7,0.00483393669128418,0.5428115129470825
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips,True,1,0.004800558090209961,0.07955153286457062
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips,True,1,0.005276679992675781,0.10655726492404938
