dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.019308805465698242,0.20376212894916534
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.018617868423461914,0.7196049690246582
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.01849508285522461,0.5357543230056763
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.01845407485961914,0.17015819251537323
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.018443822860717773,0.2485145777463913
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.01881265640258789,0.7352960109710693
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.018540143966674805,0.14800232648849487
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.018274307250976562,0.23997533321380615
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.018505573272705078,0.4620790481567383
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.018630266189575195,0.474290668964386
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.018299102783203125,0.21955399215221405
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.018481016159057617,0.1760558933019638
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.01871347427368164,0.26977652311325073
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.0187528133392334,0.7327380776405334
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.018673419952392578,0.19289575517177582
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.018482208251953125,0.12856268882751465
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.018496036529541016,0.08345387130975723
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.018423795700073242,0.13497327268123627
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.01869368553161621,0.7164973020553589
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.018557071685791016,0.15761946141719818
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.018420696258544922,0.11663737148046494
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.01820516586303711,0.15369179844856262
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.018509864807128906,0.32566186785697937
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.019406557083129883,0.7639050483703613
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.018648147583007812,0.1921117752790451
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.01860189437866211,0.1095394417643547
