dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr,False,5,0.019314289093017578,0.296425998210907
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr,False,1,0.018652677536010742,0.688593327999115
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr,False,3,0.018484115600585938,0.5434890389442444
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr,False,7,0.0184781551361084,0.29559996724128723
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr,False,7,0.01840949058532715,0.33907249569892883
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr,False,1,0.018746376037597656,0.7858518958091736
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr,False,10,0.018541574478149414,0.2813524007797241
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr,False,5,0.01824021339416504,0.31823697686195374
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr,False,3,0.018561363220214844,0.4253425598144531
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr,False,3,0.018598318099975586,0.41494888067245483
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr,False,7,0.018245935440063477,0.33336400985717773
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr,False,10,0.018241405487060547,0.2695309519767761
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr,False,5,0.018422365188598633,0.3419128656387329
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr,False,1,0.01868414878845215,0.6979250311851501
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr,False,7,0.018469810485839844,0.29674962162971497
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr,False,10,0.018172740936279297,0.2727896273136139
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr,False,15,0.01829838752746582,0.25318530201911926
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr,False,10,0.018388032913208008,0.2855283319950104
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr,False,1,0.018396377563476562,0.7418873906135559
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr,False,7,0.01834583282470703,0.28252047300338745
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr,False,15,0.01845407485961914,0.2672986388206482
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr,False,7,0.018185853958129883,0.2918136715888977
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr,False,5,0.01833200454711914,0.316464900970459
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr,False,0,0.01924586296081543,0.90019291639328
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr,False,7,0.018681049346923828,0.2823112905025482
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr,False,10,0.018352508544921875,0.2902347445487976
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr,False,5,0.018148422241210938,0.3674999177455902
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr,False,1,0.018628597259521484,0.750243604183197
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr,False,7,0.018316268920898438,0.2728264629840851
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr,False,10,0.018329620361328125,0.2694539427757263
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr,False,3,0.018214941024780273,0.4235273003578186
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr,False,15,0.018581867218017578,0.2504158914089203
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr,False,3,0.018369436264038086,0.5266190767288208
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_fr,False,0,0.01908278465270996,0.9327870011329651
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_fr,False,10,0.018304824829101562,0.2673611044883728
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_fr,False,0,0.01955437660217285,0.8210787177085876
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_fr,False,1,0.0186002254486084,0.7139531970024109
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_fr,False,7,0.01820063591003418,0.3433624804019928
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_fr,False,15,0.018518686294555664,0.2514769732952118
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_fr,False,10,0.018399953842163086,0.2797528803348541
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_fr,False,15,0.018423795700073242,0.2671775817871094
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_fr,False,7,0.018140316009521484,0.30016061663627625
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_fr,False,1,0.01813507080078125,0.6395421624183655
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_fr,False,1,0.018646240234375,0.7980859875679016
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,topiq_fr,False,5,0.018262147903442383,0.3070363998413086
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_fr,False,7,0.018427133560180664,0.31410443782806396
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_fr,False,0,0.019258975982666016,0.924105167388916
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_fr,False,0,0.01954364776611328,0.900367259979248
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_fr,False,5,0.01854419708251953,0.3228181004524231
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_fr,False,0,0.019280672073364258,0.90920490026474
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_fr,False,3,0.018517017364501953,0.4436960816383362
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_fr,False,10,0.018300294876098633,0.29815107583999634
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_fr,False,15,0.0181734561920166,0.24976567924022675
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_fr,False,3,0.018399715423583984,0.43638452887535095
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_fr,False,7,0.01792621612548828,0.36327311396598816
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_fr,False,15,0.018424272537231445,0.28568804264068604
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_fr,False,1,0.01866936683654785,0.7153372764587402
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_fr,False,0,0.019312620162963867,0.9151598811149597
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_fr,False,3,0.018604278564453125,0.40763217210769653
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_fr,False,15,0.018054485321044922,0.2741325795650482
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_fr,False,0,0.018939733505249023,0.932307779788971
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_fr,False,10,0.01840662956237793,0.310619056224823
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_fr,False,10,0.01840806007385254,0.2807609736919403
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,topiq_fr,False,3,0.018057584762573242,0.4581699073314667
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,topiq_fr,False,5,0.018254518508911133,0.34224969148635864
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,topiq_fr,False,3,0.018187522888183594,0.4389662444591522
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,topiq_fr,False,15,0.018472909927368164,0.2660238742828369
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,topiq_fr,False,0,0.019158124923706055,0.9306800961494446
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,topiq_fr,False,1,0.01862621307373047,0.6863479018211365
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,topiq_fr,False,1,0.018757104873657227,0.6836857795715332
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,topiq_fr,False,1,0.018310546875,0.73237544298172
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,topiq_fr,False,15,0.01845526695251465,0.2609787881374359
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,topiq_fr,False,5,0.018544435501098633,0.3300088942050934
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,topiq_fr,False,15,0.0183107852935791,0.2562617063522339
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,topiq_fr,False,3,0.01806926727294922,0.4427865147590637
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,topiq_fr,False,10,0.018311023712158203,0.26982927322387695
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,topiq_fr,False,15,0.018545150756835938,0.25062426924705505
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,topiq_fr,False,3,0.01864790916442871,0.40206894278526306
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,topiq_fr,False,0,0.01874709129333496,0.9042783379554749
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,topiq_fr,False,15,0.018100500106811523,0.24004687368869781
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,topiq_fr,False,5,0.018213510513305664,0.3060383200645447
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,topiq_fr,False,5,0.01849651336669922,0.33228740096092224
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,topiq_fr,False,10,0.018377304077148438,0.27483248710632324
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,topiq_fr,False,3,0.018377304077148438,0.37323158979415894
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,topiq_fr,False,5,0.018449783325195312,0.3074492812156677
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,topiq_fr,False,7,0.018449068069458008,0.29847729206085205
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,topiq_fr,False,5,0.018430233001708984,0.32334330677986145
deblurred_pmp3,0096_lp_dnn_0_car_10_n03100240_8327,topiq_fr,False,0,0.01920461654663086,0.9198518991470337
deblurred_pmp3,0097_lp_dnn_0_chair_10_n04429376_24319,topiq_fr,False,0,0.019310474395751953,0.929131031036377
deblurred_pmp3,0098_lp_dnn_3_chair_10_n03376595_5112,topiq_fr,False,3,0.018689393997192383,0.4197738468647003
deblurred_pmp3,0099_lp_dnn_1_cat_10_n02124075_2268,topiq_fr,False,1,0.018714189529418945,0.6659924983978271
deblurred_pmp3,0100_lp_dnn_3_boat_10_n04273569_1137,topiq_fr,False,3,0.018136978149414062,0.45260515809059143
deblurred_pmp3,0101_lp_dnn_1_chair_10_n02791124_15383,topiq_fr,False,1,0.018581867218017578,0.7899566292762756
deblurred_pmp3,0102_lp_dnn_15_clock_10_n04548280_8998,topiq_fr,False,15,0.01806020736694336,0.2660634517669678
deblurred_pmp3,0103_lp_dnn_0_dog_10_n02097047_2800,topiq_fr,False,0,0.019304275512695312,0.8945459127426147
deblurred_pmp3,0104_lp_dnn_15_bicycle_10_n03792782_18294,topiq_fr,False,15,0.018618345260620117,0.2672068178653717
deblurred_pmp3,0105_lp_dnn_0_elephant_10_n02504013_24486,topiq_fr,False,0,0.019094228744506836,0.8715559840202332
deblurred_pmp3,0106_lp_dnn_7_airplane_10_n02690373_2923,topiq_fr,False,7,0.018294572830200195,0.3129686415195465
deblurred_pmp3,0107_lp_dnn_3_airplane_10_n02690373_15392,topiq_fr,False,3,0.018060922622680664,0.3951265513896942
deblurred_pmp3,0108_lp_dnn_5_oven_10_n04111531_6080,topiq_fr,False,5,0.01845860481262207,0.344942569732666
deblurred_pmp3,0109_lp_dnn_15_bear_10_n02134084_22736,topiq_fr,False,15,0.01825237274169922,0.3070083260536194
deblurred_pmp3,0110_lp_dnn_1_knife_10_n03041632_33326,topiq_fr,False,1,0.018724679946899414,0.7499043345451355
deblurred_pmp3,0113_lp_dnn_7_bicycle_10_n03792782_5416,topiq_fr,False,7,0.01870107650756836,0.28386035561561584
deblurred_pmp3,0114_lp_dnn_7_knife_10_n03041632_25772,topiq_fr,False,7,0.018657922744750977,0.2970920503139496
deblurred_pmp3,0115_lp_dnn_10_bicycle_10_n03792782_7108,topiq_fr,False,10,0.018441200256347656,0.276955246925354
deblurred_pmp3,0116_lp_dnn_0_chair_10_n03376595_1981,topiq_fr,False,0,0.019359827041625977,0.9036778211593628
deblurred_pmp3,0117_lp_dnn_15_oven_10_n04111531_6508,topiq_fr,False,15,0.018413782119750977,0.26167595386505127
deblurred_pmp3,0118_lp_dnn_15_bird_10_n01843383_2843,topiq_fr,False,15,0.018409252166748047,0.26065441966056824
deblurred_pmp3,0119_lp_dnn_5_cat_10_n02123597_5887,topiq_fr,False,5,0.01853179931640625,0.4426476061344147
deblurred_pmp3,0121_lp_dnn_1_bird_10_n01530575_10332,topiq_fr,False,1,0.018564462661743164,0.6348466873168945
deblurred_pmp3,0122_lp_dnn_15_elephant_10_n02504013_5887,topiq_fr,False,15,0.01843547821044922,0.2521018385887146
deblurred_pmp3,0123_lp_dnn_3_cat_10_n02124075_8693,topiq_fr,False,3,0.01865220069885254,0.47237661480903625
deblurred_pmp3,0124_lp_dnn_15_boat_10_n04612504_26151,topiq_fr,False,15,0.018185138702392578,0.25238364934921265
deblurred_pmp3,0125_lp_dnn_7_cat_10_n02125311_53412,topiq_fr,False,7,0.01829695701599121,0.2806125581264496
deblurred_pmp3,0126_lp_dnn_7_knife_10_n03041632_46914,topiq_fr,False,7,0.018282651901245117,0.3073868155479431
deblurred_pmp3,0127_lp_dnn_15_bicycle_10_n03792782_5629,topiq_fr,False,15,0.018457889556884766,0.26352691650390625
deblurred_pmp3,0129_lp_dnn_3_dog_10_n02101006_5024,topiq_fr,False,3,0.018732786178588867,0.4686655104160309
deblurred_pmp3,0130_lp_dnn_15_oven_10_n04111531_2350,topiq_fr,False,15,0.018273591995239258,0.24646276235580444
deblurred_pmp3,0131_lp_dnn_7_airplane_10_n02690373_4839,topiq_fr,False,7,0.018121004104614258,0.2843347489833832
deblurred_pmp3,0132_lp_dnn_5_car_10_n03100240_2075,topiq_fr,False,5,0.018416166305541992,0.2941596508026123
deblurred_pmp3,0133_lp_dnn_5_cat_10_n02123159_3729,topiq_fr,False,5,0.018402099609375,0.32232144474983215
deblurred_pmp3,0134_lp_dnn_10_knife_10_n03041632_3079,topiq_fr,False,10,0.018465757369995117,0.27856186032295227
deblurred_pmp3,0135_lp_dnn_15_elephant_10_n02504013_2052,topiq_fr,False,15,0.01838994026184082,0.25867438316345215
deblurred_pmp3,0137_lp_dnn_15_keyboard_10_n03085013_7955,topiq_fr,False,15,0.018220186233520508,0.2924109995365143
deblurred_pmp3,0139_lp_dnn_10_cat_10_n02125311_44401,topiq_fr,False,10,0.01845836639404297,0.2997705936431885
deblurred_pmp3,0140_lp_dnn_10_airplane_10_n02690373_10657,topiq_fr,False,10,0.018080472946166992,0.2654499411582947
deblurred_pmp3,0141_lp_dnn_5_bird_10_n02025239_7919,topiq_fr,False,5,0.018465280532836914,0.3251556158065796
deblurred_pmp3,0144_lp_dnn_5_keyboard_10_n04505470_4371,topiq_fr,False,5,0.01823282241821289,0.31744617223739624
deblurred_pmp3,0145_lp_dnn_0_keyboard_10_n03085013_14237,topiq_fr,False,0,0.019155025482177734,0.9100024104118347
deblurred_pmp3,0146_lp_dnn_0_clock_10_n03196217_6163,topiq_fr,False,0,0.01924896240234375,0.9152111411094666
deblurred_pmp3,0147_lp_dnn_15_chair_10_n02791124_3857,topiq_fr,False,15,0.01848769187927246,0.27781057357788086
deblurred_pmp3,0149_lp_dnn_0_truck_10_n04467665_17101,topiq_fr,False,0,0.019370555877685547,0.7823027968406677
deblurred_pmp3,0150_lp_dnn_1_chair_10_n04429376_19354,topiq_fr,False,1,0.018876075744628906,0.8235507607460022
deblurred_pmp3,0151_lp_dnn_0_knife_10_n03041632_42156,topiq_fr,False,0,0.019038677215576172,0.9138091206550598
deblurred_pmp3,0152_lp_dnn_1_car_10_n04285008_39,topiq_fr,False,1,0.01856255531311035,0.7483858466148376
deblurred_pmp3,0153_lp_dnn_1_boat_10_n03662601_1319,topiq_fr,False,1,0.018588781356811523,0.6566901803016663
deblurred_pmp3,0154_lp_dnn_7_truck_10_n03796401_4119,topiq_fr,False,7,0.018593549728393555,0.297115296125412
deblurred_pmp3,0155_lp_dnn_15_bottle_10_n03937543_2333,topiq_fr,False,15,0.01829075813293457,0.2855339050292969
deblurred_pmp3,0156_lp_dnn_3_bottle_10_n04591713_7134,topiq_fr,False,3,0.018101930618286133,0.4324646592140198
deblurred_pmp3,0157_lp_dnn_0_dog_10_n02107312_3673,topiq_fr,False,0,0.019366741180419922,0.9288590550422668
deblurred_pmp3,0158_lp_dnn_3_oven_10_n04111531_8373,topiq_fr,False,3,0.018404006958007812,0.4596714973449707
deblurred_pmp3,0159_lp_dnn_3_car_10_n03100240_13707,topiq_fr,False,3,0.018392086029052734,0.43090665340423584
deblurred_pmp3,0160_lp_dnn_1_chair_10_n02791124_241,topiq_fr,False,1,0.01839733123779297,0.7141343355178833
deblurred_pmp3,0161_lp_dnn_7_airplane_10_n02690373_5628,topiq_fr,False,7,0.01843428611755371,0.28528082370758057
deblurred_pmp3,0163_lp_dnn_7_keyboard_10_n04505470_4501,topiq_fr,False,7,0.01844334602355957,0.27911433577537537
deblurred_pmp3,0164_lp_dnn_1_bird_10_n02033041_11415,topiq_fr,False,1,0.018598318099975586,0.6516848206520081
deblurred_pmp3,0165_lp_dnn_1_knife_10_n03041632_6446,topiq_fr,False,1,0.018558025360107422,0.734819233417511
deblurred_pmp3,0166_lp_dnn_0_bird_10_n02011460_3892,topiq_fr,False,0,0.01950812339782715,0.9077944755554199
deblurred_pmp3,0167_lp_dnn_1_cat_10_n02125311_3174,topiq_fr,False,1,0.018785715103149414,0.7058188915252686
deblurred_pmp3,0168_lp_dnn_10_dog_10_n02088364_7448,topiq_fr,False,10,0.018351078033447266,0.2948351800441742
deblurred_pmp3,0169_lp_dnn_1_cat_10_n02123394_4299,topiq_fr,False,1,0.018589019775390625,0.6989895701408386
deblurred_pmp3,0170_lp_dnn_15_keyboard_10_n03085013_23731,topiq_fr,False,15,0.018392562866210938,0.2799008786678314
deblurred_pmp3,0171_lp_dnn_5_knife_10_n03041632_29285,topiq_fr,False,5,0.01842665672302246,0.34000900387763977
deblurred_pmp3,0172_lp_dnn_0_keyboard_10_n03085013_12164,topiq_fr,False,0,0.018936872482299805,0.9371852278709412
deblurred_pmp3,0173_lp_dnn_5_bird_10_n01582220_9023,topiq_fr,False,5,0.018301725387573242,0.37300488352775574
deblurred_pmp3,0174_lp_dnn_3_bottle_10_n03983396_12728,topiq_fr,False,3,0.01850724220275879,0.4579795300960541
deblurred_pmp3,0175_lp_dnn_7_dog_10_n02111277_50807,topiq_fr,False,7,0.018597841262817383,0.32621222734451294
deblurred_pmp3,0176_lp_dnn_5_boat_10_n04273569_2037,topiq_fr,False,5,0.018101930618286133,0.33764588832855225
deblurred_pmp3,0178_lp_dnn_10_boat_10_n03662601_12034,topiq_fr,False,10,0.0184628963470459,0.26500803232192993
deblurred_pmp3,0179_lp_dnn_15_airplane_10_n02690373_5845,topiq_fr,False,15,0.018388032913208008,0.24721260368824005
deblurred_pmp3,0180_lp_dnn_5_truck_10_n03417042_12128,topiq_fr,False,5,0.01860666275024414,0.32000020146369934
deblurred_pmp3,0181_lp_dnn_10_keyboard_10_n03085013_2432,topiq_fr,False,10,0.018384456634521484,0.2702704071998596
deblurred_pmp3,0182_lp_dnn_5_chair_10_n03376595_9692,topiq_fr,False,5,0.018481016159057617,0.396990031003952
deblurred_pmp3,0183_lp_dnn_3_chair_10_n03376595_12583,topiq_fr,False,3,0.018314838409423828,0.36616599559783936
deblurred_pmp3,0184_lp_dnn_0_bear_10_n02133161_2135,topiq_fr,False,0,0.0193939208984375,0.8928273916244507
deblurred_pmp3,0185_lp_dnn_10_airplane_10_n02690373_5176,topiq_fr,False,10,0.018184900283813477,0.26562073826789856
deblurred_pmp3,0186_lp_dnn_0_elephant_10_n02504013_10990,topiq_fr,False,0,0.019234895706176758,0.9187714457511902
deblurred_pmp3,0187_lp_dnn_10_boat_10_n02951358_3155,topiq_fr,False,10,0.0183258056640625,0.2669960856437683
deblurred_pmp3,0188_lp_dnn_1_knife_10_n03041632_2644,topiq_fr,False,1,0.018518447875976562,0.7227470874786377
deblurred_pmp3,0189_lp_dnn_5_airplane_10_n02690373_5184,topiq_fr,False,5,0.018254995346069336,0.3386065363883972
deblurred_pmp3,0190_lp_dnn_0_chair_10_n04099969_16161,topiq_fr,False,0,0.019259929656982422,0.9298272132873535
deblurred_pmp3,0191_lp_dnn_10_boat_10_n03344393_5343,topiq_fr,False,10,0.01820683479309082,0.29345840215682983
deblurred_pmp3,0192_lp_dnn_0_oven_10_n04111531_15052,topiq_fr,False,0,0.019185781478881836,0.8770915269851685
deblurred_pmp3,0193_lp_dnn_15_bicycle_10_n02835271_317,topiq_fr,False,15,0.01842021942138672,0.25488582253456116
deblurred_pmp3,0194_lp_dnn_0_bird_10_n02002556_15721,topiq_fr,False,0,0.018584489822387695,0.9132546782493591
deblurred_pmp3,0195_lp_dnn_5_chair_10_n03376595_11280,topiq_fr,False,5,0.018326282501220703,0.31148719787597656
deblurred_pmp3,0196_lp_dnn_3_keyboard_10_n04505470_4621,topiq_fr,False,3,0.018465518951416016,0.4194181561470032
deblurred_pmp3,0197_lp_dnn_7_boat_10_n03662601_6042,topiq_fr,False,7,0.018261194229125977,0.2789057493209839
deblurred_pmp3,0198_lp_dnn_1_dog_10_n02086646_2810,topiq_fr,False,1,0.01849961280822754,0.6550120711326599
deblurred_pmp3,0199_lp_dnn_15_elephant_10_n02504458_7835,topiq_fr,False,15,0.01849818229675293,0.26459524035453796
deblurred_pmp3,0200_lp_dnn_15_cat_10_n02123159_6281,topiq_fr,False,15,0.01825404167175293,0.26383525133132935
