dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,vif,False,5,0.0339467525482177,0.0980666354298591
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,vif,False,1,0.0338218212127685,0.4263575971126556
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,vif,False,3,0.0342628955841064,0.2706678509712219
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,vif,False,7,0.0340416431427001,0.0762644782662391
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,vif,False,7,0.0341899394989013,0.1202560812234878
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,vif,False,1,0.0348844528198242,0.4103615880012512
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,vif,False,10,0.0351347923278808,0.0657183304429054
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,vif,False,5,0.0359864234924316,0.0981072187423706
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,vif,False,3,0.0356135368347168,0.118835873901844
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,vif,False,3,0.0356523990631103,0.2468026578426361
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,vif,False,7,0.0354936122894287,0.1350033581256866
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,vif,False,10,0.0353562831878662,0.0213850662112236
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,vif,False,5,0.0354120731353759,0.0830012559890747
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,vif,False,1,0.0357141494750976,0.4516885876655578
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,vif,False,7,0.0354962348937988,0.0632470995187759
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,vif,False,10,0.0353353023529052,0.0547884739935398
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,vif,False,15,0.0353507995605468,0.0124651165679097
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,vif,False,10,0.0355637073516845,0.0218164846301078
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,vif,False,1,0.0355088710784912,0.5458422899246216
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,vif,False,7,0.0354921817779541,0.0376483649015426
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,vif,False,15,0.0354704856872558,0.0097047807648777
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,vif,False,7,0.0353164672851562,0.0494429618120193
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,vif,False,5,0.0354204177856445,0.0821189284324646
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,vif,False,0,0.0360429286956787,0.9999985694885254
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,vif,False,7,0.0355935096740722,0.0506183058023452
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,vif,False,10,0.0354485511779785,0.0120383193716406
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,vif,False,5,0.0351998805999755,0.0767596065998077
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,vif,False,1,0.0353174209594726,0.3874440789222717
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,vif,False,7,0.0348026752471923,0.0407841578125953
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,vif,False,10,0.0344715118408203,0.025239473208785
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,vif,False,3,0.0345244407653808,0.139514073729515
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,vif,False,15,0.0352189540863037,0.0093783950433135
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,vif,False,3,0.0353939533233642,0.3396473824977875
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,vif,False,0,0.0355737209320068,0.9999988675117492
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,vif,False,10,0.0355241298675537,0.0153408944606781
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,vif,False,0,0.036487340927124,0.9999993443489076
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,vif,False,1,0.035710334777832,0.5585034489631653
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,vif,False,7,0.0353534221649169,0.0878242850303649
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,vif,False,15,0.0357735157012939,0.0083189867436885
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,vif,False,10,0.0355563163757324,0.0316452719271183
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,vif,False,15,0.0353477001190185,0.0100194029510021
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,vif,False,7,0.0352816581726074,0.1044449433684349
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,vif,False,1,0.0351843833923339,0.2863197326660156
