dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,vsi,False,5,0.0079090595245361,0.9000342111471723
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,vsi,False,1,0.0077960491180419,0.9474189187411894
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,vsi,False,3,0.0077548027038574,0.9610029769216184
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,vsi,False,7,0.0076642036437988,0.8920188790564108
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,vsi,False,7,0.007627248764038,0.9456358168591548
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,vsi,False,1,0.0079414844512939,0.9590981817865588
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,vsi,False,10,0.0077180862426757,0.9007022180375939
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,vsi,False,5,0.0075013637542724,0.8878886766879172
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,vsi,False,3,0.0076348781585693,0.8596338052374562
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,vsi,False,3,0.0078547000885009,0.9474173259244209
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,vsi,False,7,0.0076358318328857,0.9155694361658908
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,vsi,False,10,0.0075166225433349,0.7647389449585698
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,vsi,False,5,0.0078201293945312,0.8678715384601409
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,vsi,False,1,0.0078158378601074,0.944923653783154
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,vsi,False,7,0.007781982421875,0.9187679682329898
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,vsi,False,10,0.0075266361236572,0.9067899425892012
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,vsi,False,15,0.0076589584350585,0.7844538080880898
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,vsi,False,10,0.0076673030853271,0.8078229015974446
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,vsi,False,1,0.0077452659606933,0.9707987676585056
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,vsi,False,7,0.0076868534088134,0.8666272864542669
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,vsi,False,15,0.0076675415039062,0.8531434999883556
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,vsi,False,7,0.0074880123138427,0.8744875875109847
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,vsi,False,5,0.0076296329498291,0.8584831447681394
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,vsi,False,0,0.0081522464752197,0.999999929428601
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,vsi,False,7,0.0078146457672119,0.844305992457984
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,vsi,False,10,0.00771164894104,0.8312603971596495
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,vsi,False,5,0.0075006484985351,0.8904258413402937
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,vsi,False,1,0.0079512596130371,0.945580494075924
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,vsi,False,7,0.00761079788208,0.8452739288740161
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,vsi,False,10,0.0075457096099853,0.798299224087211
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,vsi,False,3,0.0075514316558837,0.9165464799945964
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,vsi,False,15,0.0076711177825927,0.8137781553724138
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,vsi,False,3,0.0077009201049804,0.9677465487787238
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,vsi,False,0,0.0079953670501708,0.999999921807461
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,vsi,False,10,0.0076572895050048,0.8458655050376918
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,vsi,False,0,0.0082278251647949,0.9999999237147678
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,vsi,False,1,0.0076711177825927,0.9467899641970589
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,vsi,False,7,0.0075254440307617,0.8943885481308759
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,vsi,False,15,0.0078446865081787,0.7647761720791183
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,vsi,False,10,0.007617712020874,0.8495118521090592
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,vsi,False,15,0.0075035095214843,0.7984261884996775
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,vsi,False,7,0.0074074268341064,0.9257730873600502
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,vsi,False,1,0.00752854347229,0.911973762724672
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,vsi,False,1,0.0079081058502197,0.9406861767288556
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,vsi,False,5,0.0075993537902832,0.8808191123694973
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,vsi,False,7,0.0077288150787353,0.8673246287486647
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,vsi,False,0,0.0080888271331787,0.9999999153396444
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,vsi,False,0,0.0082926750183105,0.9999999256000744
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,vsi,False,5,0.0076484680175781,0.8647155924632948
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,vsi,False,0,0.0080978870391845,0.9999999249629564
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,vsi,False,3,0.0077712535858154,0.9207543855918257
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,vsi,False,10,0.0077459812164306,0.9028435720032596
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,vsi,False,15,0.0074458122253417,0.8943349566863903
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,vsi,False,3,0.0077359676361083,0.9231051704011732
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,vsi,False,7,0.0073015689849853,0.8993135757403717
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,vsi,False,15,0.0076820850372314,0.8521797815556986
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,vsi,False,1,0.0080697536468505,0.9362813710383252
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,vsi,False,0,0.0081229209899902,0.999999919906623
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,vsi,False,3,0.0078206062316894,0.837686865763945
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,vsi,False,15,0.0073978900909423,0.8387974933299839
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,vsi,False,0,0.0079364776611328,0.9999999279641992
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,vsi,False,10,0.0076310634613037,0.9189760880080348
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,vsi,False,10,0.0076425075531005,0.8500782388516096
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,vsi,False,3,0.0074489116668701,0.9373880267270736
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,vsi,False,5,0.0075950622558593,0.9380522941077996
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,vsi,False,3,0.0075116157531738,0.92602754260223
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,vsi,False,15,0.0077583789825439,0.8172016300068875
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,vsi,False,0,0.0081515312194824,0.9999999229019528
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,vsi,False,1,0.0078608989715576,0.9304530332266632
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,vsi,False,1,0.0079383850097656,0.951591457859554
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,vsi,False,1,0.0075709819793701,0.9626340696917712
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,vsi,False,15,0.0076501369476318,0.8246204649511059
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,vsi,False,5,0.0077176094055175,0.9089196981137402
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,vsi,False,15,0.0076332092285156,0.8635339378811621
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,vsi,False,3,0.0074126720428466,0.9020204658696854
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,vsi,False,10,0.0074231624603271,0.8561421861268059
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,vsi,False,15,0.0076773166656494,0.8394021691678395
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,vsi,False,3,0.0077641010284423,0.9094222411455116
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,vsi,False,0,0.0077564716339111,0.9999999233643164
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,vsi,False,15,0.0074152946472167,0.8399107118876837
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,vsi,False,5,0.0074703693389892,0.9174306318816722
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,vsi,False,5,0.0077185630798339,0.9072178386629272
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,vsi,False,10,0.0076031684875488,0.8329525261875941
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,vsi,False,3,0.0074656009674072,0.8774747588332013
