dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,brisque,True,5,0.2429783344268798,59.21893310546875
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,brisque,True,1,0.0144498348236083,27.61785888671875
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,brisque,True,3,0.0142972469329833,60.77459716796875
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,brisque,True,7,0.0143518447875976,52.68328857421875
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,brisque,True,7,0.0144097805023193,74.17987060546875
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,brisque,True,1,0.014615774154663,21.76190185546875
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,brisque,True,10,0.0143449306488037,73.76336669921875
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,brisque,True,5,0.0144433975219726,67.02362060546875
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,brisque,True,3,0.0143253803253173,55.00311279296875
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,brisque,True,3,0.0143380165100097,59.23260498046875
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,brisque,True,7,0.0142040252685546,54.10369873046875
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,brisque,True,10,0.0142724514007568,74.80047607421875
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,brisque,True,5,0.0142655372619628,62.16473388671875
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,brisque,True,1,0.014404296875,38.53045654296875
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,brisque,True,7,0.0143277645111083,71.85467529296875
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,brisque,True,10,0.0142641067504882,74.58905029296875
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,brisque,True,15,0.0143666267395019,85.31561279296875
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,brisque,True,10,0.0143046379089355,72.22381591796875
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,brisque,True,1,0.0144181251525878,34.41619873046875
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,brisque,True,7,0.0142469406127929,72.55535888671875
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,brisque,True,15,0.0142316818237304,85.29364013671875
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,brisque,True,7,0.0143661499023437,66.07196044921875
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,brisque,True,5,0.0143096446990966,65.42254638671875
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,brisque,True,0,0.014772891998291,6.40106201171875
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,brisque,True,7,0.014350414276123,73.59002685546875
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,brisque,True,10,0.0145215988159179,67.43963623046875
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,brisque,True,5,0.0143520832061767,48.47552490234375
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,brisque,True,1,0.0144722461700439,36.67010498046875
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,brisque,True,7,0.0143661499023437,75.82196044921875
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,brisque,True,10,0.0142803192138671,72.60565185546875
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,brisque,True,3,0.0142343044281005,63.95037841796875
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,brisque,True,15,0.0142445564270019,79.75213623046875
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,brisque,True,3,0.0142388343811035,53.23406982421875
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,brisque,True,0,0.0147395133972167,28.97967529296875
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,brisque,True,10,0.0143558979034423,71.21307373046875
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,brisque,True,0,0.0148894786834716,26.64031982421875
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,brisque,True,1,0.014362096786499,-2.98370361328125
