dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_rn50_512,False,5,0.08272051811218262,0.10450874269008636
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_rn50_512,False,1,0.012484312057495117,0.16696782410144806
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_rn50_512,False,3,0.012178659439086914,0.14643020927906036
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_rn50_512,False,7,0.012023687362670898,0.15047591924667358
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_rn50_512,False,7,0.011960029602050781,0.20202866196632385
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_rn50_512,False,1,0.012139558792114258,0.27226296067237854
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_rn50_512,False,10,0.01197052001953125,0.13759945333003998
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_rn50_512,False,5,0.011916637420654297,0.1197068989276886
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_rn50_512,False,3,0.012019157409667969,0.12096939980983734
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_rn50_512,False,3,0.012016773223876953,0.14882883429527283
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_rn50_512,False,7,0.011930227279663086,0.2087448090314865
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_rn50_512,False,10,0.012009382247924805,0.15784193575382233
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_rn50_512,False,5,0.011975288391113281,0.12350575625896454
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_rn50_512,False,1,0.012175321578979492,0.2696964144706726
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_rn50_512,False,7,0.011945009231567383,0.10188315063714981
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_rn50_512,False,10,0.011889934539794922,0.18674711883068085
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_rn50_512,False,15,0.011929512023925781,0.19164808094501495
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_rn50_512,False,10,0.011938333511352539,0.1945064216852188
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_rn50_512,False,1,0.012118339538574219,0.3673003911972046
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_rn50_512,False,7,0.011968612670898438,0.13263234496116638
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_rn50_512,False,15,0.011989355087280273,0.17511916160583496
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_rn50_512,False,7,0.011927366256713867,0.11024755239486694
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_rn50_512,False,5,0.012053728103637695,0.09370813518762589
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_rn50_512,False,0,0.012589454650878906,0.23765814304351807
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_rn50_512,False,7,0.011981010437011719,0.09343860298395157
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_rn50_512,False,10,0.01194453239440918,0.17519494891166687
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_rn50_512,False,5,0.011889934539794922,0.08552964776754379
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_rn50_512,False,1,0.012198925018310547,0.22569981217384338
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_rn50_512,False,7,0.011923789978027344,0.2047552764415741
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_rn50_512,False,10,0.012073516845703125,0.1409970223903656
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_rn50_512,False,3,0.011919736862182617,0.2033921331167221
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_rn50_512,False,15,0.011948823928833008,0.13517609238624573
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_rn50_512,False,3,0.011950254440307617,0.15680746734142303
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_rn50_512,False,0,0.012456893920898438,0.4864192008972168
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_rn50_512,False,10,0.011957883834838867,0.10561846941709518
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_rn50_512,False,0,0.012510061264038086,0.22550688683986664
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_rn50_512,False,1,0.01202249526977539,0.41170066595077515
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_rn50_512,False,7,0.011906147003173828,0.1553620994091034
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_rn50_512,False,15,0.01204824447631836,0.14309833943843842
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_rn50_512,False,10,0.011963844299316406,0.10944541543722153
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa+_rn50_512,False,15,0.011874198913574219,0.26240044832229614
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa+_rn50_512,False,7,0.011929988861083984,0.2014092057943344
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa+_rn50_512,False,1,0.011991739273071289,0.38019222021102905
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa+_rn50_512,False,1,0.01220393180847168,0.3115324079990387
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa+_rn50_512,False,5,0.01198720932006836,0.12018789350986481
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa+_rn50_512,False,7,0.01199197769165039,0.11567828059196472
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa+_rn50_512,False,0,0.01251220703125,0.46225613355636597
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa+_rn50_512,False,0,0.012707710266113281,0.40898314118385315
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa+_rn50_512,False,5,0.011978626251220703,0.08777498453855515
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa+_rn50_512,False,0,0.012549638748168945,0.45505908131599426
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa+_rn50_512,False,3,0.012033700942993164,0.16523659229278564
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa+_rn50_512,False,10,0.01195526123046875,0.13232435286045074
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa+_rn50_512,False,15,0.01179814338684082,0.23527030646800995
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa+_rn50_512,False,3,0.01199650764465332,0.16285066306591034
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa+_rn50_512,False,7,0.01186823844909668,0.24317702651023865
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa+_rn50_512,False,15,0.011937618255615234,0.12268509715795517
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa+_rn50_512,False,1,0.012251138687133789,0.2577880620956421
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa+_rn50_512,False,0,0.012490272521972656,0.4921368956565857
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa+_rn50_512,False,3,0.012058258056640625,0.14284323155879974
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa+_rn50_512,False,15,0.01180410385131836,0.24105747044086456
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa+_rn50_512,False,0,0.012538433074951172,0.6503358483314514
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa+_rn50_512,False,10,0.011910438537597656,0.14106519520282745
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa+_rn50_512,False,10,0.011955022811889648,0.15067622065544128
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa+_rn50_512,False,3,0.011917591094970703,0.19777682423591614
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa+_rn50_512,False,5,0.011907815933227539,0.14235550165176392
