dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_vitL14_512,False,5,0.2975189685821533,0.21563416719436646
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_vitL14_512,False,1,0.03731513023376465,0.46831759810447693
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_vitL14_512,False,3,0.03669023513793945,0.18984122574329376
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_vitL14_512,False,7,0.03705906867980957,0.16585563123226166
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_vitL14_512,False,7,0.03715348243713379,0.23587535321712494
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_vitL14_512,False,1,0.03734707832336426,0.35150346159935
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_vitL14_512,False,10,0.03717756271362305,0.14619530737400055
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_vitL14_512,False,5,0.03676271438598633,0.1623801738023758
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_vitL14_512,False,3,0.036184072494506836,0.1337905377149582
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_vitL14_512,False,3,0.03689455986022949,0.22007650136947632
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_vitL14_512,False,7,0.03673529624938965,0.277681827545166
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_vitL14_512,False,10,0.03690528869628906,0.21097053587436676
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_vitL14_512,False,5,0.03715348243713379,0.22043420374393463
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_vitL14_512,False,1,0.03733706474304199,0.5877314209938049
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_vitL14_512,False,7,0.03637242317199707,0.22632074356079102
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_vitL14_512,False,10,0.03655505180358887,0.18184137344360352
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_vitL14_512,False,15,0.036907196044921875,0.2113608717918396
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_vitL14_512,False,10,0.036919355392456055,0.18208114802837372
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_vitL14_512,False,1,0.03731894493103027,0.3330497145652771
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_vitL14_512,False,7,0.03722262382507324,0.14768587052822113
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_vitL14_512,False,15,0.036699771881103516,0.23604197800159454
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_vitL14_512,False,7,0.03597450256347656,0.24198254942893982
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_vitL14_512,False,5,0.03600955009460449,0.16621904075145721
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_vitL14_512,False,0,0.03780174255371094,0.4945034980773926
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_vitL14_512,False,7,0.037573814392089844,0.1403568536043167
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_vitL14_512,False,10,0.03725028038024902,0.2203185260295868
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_vitL14_512,False,5,0.03758978843688965,0.1884383112192154
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_vitL14_512,False,1,0.037035465240478516,0.5237429141998291
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_vitL14_512,False,7,0.036518096923828125,0.21578358113765717
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_vitL14_512,False,10,0.036759138107299805,0.2033461034297943
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_vitL14_512,False,3,0.03678083419799805,0.1631268709897995
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_vitL14_512,False,15,0.037139177322387695,0.18351271748542786
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_vitL14_512,False,3,0.037592172622680664,0.27095693349838257
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_vitL14_512,False,0,0.037695884704589844,0.5511915683746338
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_vitL14_512,False,10,0.03645968437194824,0.156072735786438
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_vitL14_512,False,0,0.037192583084106445,0.26625293493270874
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_vitL14_512,False,1,0.037232160568237305,0.5940544009208679
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_vitL14_512,False,7,0.03686356544494629,0.21169106662273407
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_vitL14_512,False,15,0.03716707229614258,0.2748589515686035
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_vitL14_512,False,10,0.037557363510131836,0.13378190994262695
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa+_vitL14_512,False,15,0.03727555274963379,0.2506515085697174
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa+_vitL14_512,False,7,0.03658914566040039,0.24770653247833252
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa+_vitL14_512,False,1,0.03673195838928223,0.46194252371788025
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa+_vitL14_512,False,1,0.037186622619628906,0.49224963784217834
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa+_vitL14_512,False,5,0.03694462776184082,0.3492257595062256
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa+_vitL14_512,False,7,0.03736758232116699,0.18157947063446045
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa+_vitL14_512,False,0,0.03757286071777344,0.5663991570472717
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa+_vitL14_512,False,0,0.03762960433959961,0.3955853283405304
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa+_vitL14_512,False,5,0.03660464286804199,0.1553942710161209
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa+_vitL14_512,False,0,0.03722381591796875,0.6796742677688599
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa+_vitL14_512,False,3,0.037094831466674805,0.12152215838432312
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa+_vitL14_512,False,10,0.03695964813232422,0.21847587823867798
