dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,0.9917476177215576,0.1252035051584243
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.0300295352935791,0.1760786026716232
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.0300312042236328,0.2289076894521713
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.0298950672149658,0.1787534207105636
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.0294384956359863,0.217015728354454
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.0286910533905029,0.58409184217453
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.0285885334014892,0.1796112358570099
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.0284750461578369,0.2229660600423813
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.0287573337554931,0.1556330174207687
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.0297684669494628,0.2665693461894989
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.0300941467285156,0.2071998566389084
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.03009033203125,0.202540636062622
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.0302062034606933,0.1449464261531829
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.029719591140747,0.6148067116737366
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.0298349857330322,0.1515382230281829
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.0298256874084472,0.2221700400114059
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.0298397541046142,0.2301816940307617
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.029719591140747,0.2201310247182846
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.0295796394348144,0.3904238939285278
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.0290737152099609,0.2067334204912185
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa,False,15,0.0288536548614501,0.2314586192369461
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa,False,7,0.0284459590911865,0.1424554735422134
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa,False,5,0.0285193920135498,0.1040764972567558
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa,False,0,0.0292282104492187,0.5281917452812195
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa,False,7,0.0300226211547851,0.1204193457961082
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa,False,10,0.0299198627471923,0.1852929443120956
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa,False,5,0.0301175117492675,0.1259896606206894
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa,False,1,0.029848575592041,0.4845335185527801
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa,False,7,0.0298268795013427,0.1963662207126617
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa,False,10,0.0297162532806396,0.1773567199707031
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa,False,3,0.0298078060150146,0.2314483970403671
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa,False,15,0.0298101902008056,0.1495414078235626
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa,False,3,0.0298912525177001,0.2265630066394806
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa,False,0,0.0315709114074707,0.4644343554973602
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa,False,10,0.0288209915161132,0.1109425202012062
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa,False,0,0.0287666320800781,0.2455526441335678
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa,False,1,0.0286176204681396,0.4244588911533355
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa,False,7,0.0287027359008789,0.1865065097808838
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa,False,15,0.0297780036926269,0.1896201521158218
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa,False,10,0.0302317142486572,0.1468057483434677
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa,False,15,0.0302214622497558,0.2787845730781555
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa,False,7,0.0299944877624511,0.2226753979921341
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa,False,1,0.0297610759735107,0.5860027074813843
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa,False,1,0.0299446582794189,0.5912405848503113
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa,False,5,0.029879093170166,0.1062171682715416
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa,False,7,0.0297644138336181,0.1423514038324356
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa,False,0,0.0299422740936279,0.6359152793884277
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa,False,0,0.029567003250122,0.7021985054016113
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa,False,5,0.0291666984558105,0.0983602777123451
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa,False,0,0.0287003517150878,0.6347883343696594
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa,False,3,0.028641939163208,0.1694463044404983
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa,False,10,0.0286540985107421,0.1874075382947921
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa,False,15,0.0295846462249755,0.2665314674377441
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa,False,3,0.0297040939331054,0.1960710734128952
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa,False,7,0.0301389694213867,0.2582387924194336
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa,False,15,0.0300242900848388,0.128636747598648
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa,False,1,0.029916763305664,0.3683484494686126
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa,False,0,0.0297894477844238,0.6542019844055176
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa,False,3,0.0297071933746337,0.1447656005620956
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa,False,15,0.029783010482788,0.2677936553955078
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa,False,0,0.0297834873199462,0.7288222908973694
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa,False,10,0.0295441150665283,0.1820864528417587
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa,False,10,0.0291979312896728,0.1887558400630951
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa,False,3,0.0287823677062988,0.231154516339302
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa,False,5,0.0286712646484375,0.202342227101326
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa,False,3,0.0285341739654541,0.2745657861232757
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa,False,15,0.029003620147705,0.1744136661291122
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa,False,0,0.0293741226196289,0.5657259821891785
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa,False,1,0.03005051612854,0.3251317143440246
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa,False,1,0.0300016403198242,0.4512681066989898
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa,False,1,0.0300469398498535,0.4061460494995117
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa,False,15,0.0297911167144775,0.1804748773574829
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa,False,5,0.029996633529663,0.0768808871507644
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa,False,15,0.0297062397003173,0.2122492045164108
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa,False,3,0.029853343963623,0.2424263954162597
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa,False,10,0.0297255516052246,0.2252312898635864
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa,False,15,0.0295391082763671,0.2239124029874801
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa,False,3,0.0289108753204345,0.1497254818677902
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,clipiqa,False,0,0.028663158416748,0.6842272877693176
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,clipiqa,False,15,0.0285754203796386,0.2225537747144699
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,clipiqa,False,5,0.0286812782287597,0.1354078501462936
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,clipiqa,False,5,0.0298013687133789,0.2167450189590454
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,clipiqa,False,10,0.0299155712127685,0.157274842262268
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,clipiqa,False,3,0.030203104019165,0.1682732701301574
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,clipiqa,False,5,0.0301826000213623,0.1511025875806808
