dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.015272378921508789,0.1977713406085968
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.015082597732543945,0.6577229499816895
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.01477956771850586,0.33929383754730225
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.014729499816894531,0.16420893371105194
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.014709711074829102,0.2170436978340149
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.014906883239746094,0.6459680795669556
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.014780521392822266,0.21563060581684113
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.014676570892333984,0.3195466995239258
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.014792203903198242,0.3114929497241974
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.014777898788452148,0.3407776951789856
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.01466512680053711,0.12098048627376556
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.014667272567749023,0.25838059186935425
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.014735698699951172,0.27129319310188293
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.014962434768676758,0.6268565654754639
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.014706611633300781,0.2284690886735916
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.014661788940429688,0.27679312229156494
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,cnniqa,False,15,0.014661788940429688,0.2604931592941284
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,cnniqa,False,10,0.014699935913085938,0.24854005873203278
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,cnniqa,False,1,0.014835119247436523,0.6504080891609192
