dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,ilniqe,True,5,0.850205659866333,94.63104014292968
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,ilniqe,True,1,0.77691650390625,55.122479261955746
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,ilniqe,True,3,0.8712997436523438,103.04379570360541
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,ilniqe,True,7,0.8511545658111572,117.57099982069005
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,ilniqe,True,7,0.8420979976654053,96.6130373923534
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,ilniqe,True,1,0.7070279121398926,55.85431955220972
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,ilniqe,True,10,0.7961270809173584,127.01652106043673
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,ilniqe,True,5,0.8787739276885986,108.42727285995426
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,ilniqe,True,3,0.8463635444641113,99.47545240775669
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,ilniqe,True,3,0.8742568492889404,100.34668844801335
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,ilniqe,True,7,0.8163692951202393,114.30687163972055
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,ilniqe,True,10,0.8322665691375732,126.24019856109703
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,ilniqe,True,5,0.8568012714385986,104.92871856790744
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,ilniqe,True,1,0.6855876445770264,52.09076892639099
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,ilniqe,True,7,0.8471086025238037,95.28124699500404
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,ilniqe,True,10,0.8280296325683594,102.16342438538041
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,ilniqe,True,15,0.8442599773406982,126.48765140150013
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,ilniqe,True,10,0.8612878322601318,115.53693900979566
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,ilniqe,True,1,0.7037229537963867,60.83742570946247
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,ilniqe,True,7,0.8798046112060547,107.92075734496993
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,ilniqe,True,15,0.8351132869720459,138.86461095518808
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,ilniqe,True,7,0.8332991600036621,121.43867719319296
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,ilniqe,True,5,0.8461058139801025,105.19919085116996
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,ilniqe,True,0,0.6935086250305176,42.20478450857113
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,ilniqe,True,7,0.8707780838012695,106.56406965396849
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,ilniqe,True,10,0.8376572132110596,139.59969340164258
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,ilniqe,True,5,0.8877596855163574,121.54275715084488
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,ilniqe,True,1,0.6941370964050293,52.702182094052255
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,ilniqe,True,7,0.880305290222168,109.55287274878253
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,ilniqe,True,10,0.7658531665802002,143.185956990074
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,ilniqe,True,3,0.8671605587005615,91.70914765197568
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,ilniqe,True,15,0.8499963283538818,121.50550287659905
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,ilniqe,True,3,0.8788981437683105,91.50985113929765
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,ilniqe,True,0,0.7821214199066162,43.7512286918915
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,ilniqe,True,10,0.8059723377227783,118.00706166339972
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,ilniqe,True,0,0.7001066207885742,57.9660056276915
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,ilniqe,True,1,0.7686853408813477,63.178608990954615
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,ilniqe,True,7,0.8880858421325684,118.62006870971561
