dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.8285517692565918,0.12195844948291779
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.8564484119415283,0.28504297137260437
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.8596236705780029,0.18562617897987366
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.8585727214813232,0.1010422483086586
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.8561620712280273,0.14007912576198578
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.8537209033966064,0.2672356367111206
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.8569495677947998,0.11908160150051117
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.8549065589904785,0.163437157869339
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.8571426868438721,0.16351984441280365
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.8571925163269043,0.17933866381645203
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.8556008338928223,0.1818048059940338
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.8560268878936768,0.12129658460617065
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.858623743057251,0.1243315115571022
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.8596112728118896,0.26794183254241943
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.8599865436553955,0.1308489292860031
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.8562986850738525,0.13511811196804047
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.856665849685669,0.07731025665998459
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.8579452037811279,0.10360083729028702
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-kadid,False,1,0.859421968460083,0.2527579069137573
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-kadid,False,7,0.8591926097869873,0.10340403765439987
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-kadid,False,15,0.8596186637878418,0.08698796480894089
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-kadid,False,7,0.8594412803649902,0.12146814912557602
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-kadid,False,5,0.8597850799560547,0.12046048790216446
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-kadid,False,0,0.8608589172363281,0.32803311944007874
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-kadid,False,7,0.8600485324859619,0.11162387579679489
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-kadid,False,10,0.8605647087097168,0.11209439486265182
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-kadid,False,5,0.8607068061828613,0.13894306123256683
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-kadid,False,1,0.8622324466705322,0.2683483064174652
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-kadid,False,7,0.8616833686828613,0.152134507894516
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-kadid,False,10,0.8613903522491455,0.08826272189617157
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-kadid,False,3,0.8612527847290039,0.21654368937015533
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-kadid,False,15,0.8616585731506348,0.0763615071773529
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-kadid,False,3,0.8599388599395752,0.20313197374343872
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-kadid,False,0,0.8620233535766602,0.35680076479911804
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-kadid,False,10,0.8618960380554199,0.08288824558258057
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-kadid,False,0,0.8624081611633301,0.25220629572868347
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-kadid,False,1,0.8631553649902344,0.30863484740257263
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-kadid,False,7,0.8615458011627197,0.17212018370628357
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-kadid,False,15,0.8607757091522217,0.10463476926088333
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-kadid,False,10,0.8598332405090332,0.13409820199012756
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-kadid,False,15,0.859142541885376,0.10621460527181625
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-kadid,False,7,0.8615999221801758,0.14609159529209137
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-kadid,False,1,0.8620944023132324,0.2987613379955292
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-kadid,False,1,0.8666541576385498,0.2647883892059326
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-kadid,False,5,0.8626554012298584,0.14379525184631348
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-kadid,False,7,0.8610332012176514,0.10716527700424194
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-kadid,False,0,0.8623065948486328,0.2863181233406067
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-kadid,False,0,0.8628184795379639,0.2981509268283844
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-kadid,False,5,0.8630340099334717,0.13570067286491394
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-kadid,False,0,0.8646082878112793,0.3295270800590515
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-kadid,False,3,0.8643617630004883,0.1976027637720108
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,maniqa-kadid,False,10,0.8618793487548828,0.11015600711107254
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,maniqa-kadid,False,15,0.8619816303253174,0.14342360198497772
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,maniqa-kadid,False,3,0.8625502586364746,0.21842023730278015
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,maniqa-kadid,False,7,0.8606672286987305,0.13678376376628876
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,maniqa-kadid,False,15,0.8623037338256836,0.1236894428730011
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,maniqa-kadid,False,1,0.8648719787597656,0.24553219974040985
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,maniqa-kadid,False,0,0.8635826110839844,0.37974730134010315
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,maniqa-kadid,False,3,0.8626716136932373,0.1546131819486618
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,maniqa-kadid,False,15,0.8607089519500732,0.10784696787595749
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,maniqa-kadid,False,0,0.861635684967041,0.3749188482761383
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,maniqa-kadid,False,10,0.8607316017150879,0.12927933037281036
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,maniqa-kadid,False,10,0.8624610900878906,0.10716408491134644
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,maniqa-kadid,False,3,0.8620104789733887,0.17543813586235046
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,maniqa-kadid,False,5,0.866919755935669,0.20047354698181152
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,maniqa-kadid,False,3,0.862835168838501,0.21326422691345215
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,maniqa-kadid,False,15,0.8618121147155762,0.09772927314043045
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,maniqa-kadid,False,0,0.8630874156951904,0.3488214910030365
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,maniqa-kadid,False,1,0.8631196022033691,0.29692426323890686
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,maniqa-kadid,False,1,0.8640673160552979,0.2714444696903229
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,maniqa-kadid,False,1,0.8645153045654297,0.28093528747558594
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,maniqa-kadid,False,15,0.8615798950195312,0.09681908786296844
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,maniqa-kadid,False,5,0.8636295795440674,0.13906393945217133
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,maniqa-kadid,False,15,0.8613946437835693,0.11258751153945923
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,maniqa-kadid,False,3,0.8629345893859863,0.2457350194454193
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,maniqa-kadid,False,10,0.8636159896850586,0.11868049949407578
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,maniqa-kadid,False,15,0.8637392520904541,0.12335025519132614
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,maniqa-kadid,False,3,0.8640530109405518,0.21090446412563324
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,maniqa-kadid,False,0,0.8621599674224854,0.3066715598106384
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,maniqa-kadid,False,15,0.8616414070129395,0.10656420141458511
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,maniqa-kadid,False,5,0.8625030517578125,0.13194799423217773
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,maniqa-kadid,False,5,0.8645374774932861,0.15596206486225128
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,maniqa-kadid,False,10,0.8647737503051758,0.1065451130270958
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,maniqa-kadid,False,3,0.8631722927093506,0.1723400503396988
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,maniqa-kadid,False,5,0.8637654781341553,0.14435307681560516
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,maniqa-kadid,False,7,0.863358736038208,0.1428368091583252
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,maniqa-kadid,False,5,0.8684146404266357,0.1584535837173462
deblurred_pmp3,0096_lp_dnn_0_car_10_n03100240_8327,maniqa-kadid,False,0,0.8638441562652588,0.35303789377212524
deblurred_pmp3,0097_lp_dnn_0_chair_10_n04429376_24319,maniqa-kadid,False,0,0.8636479377746582,0.3027670085430145
deblurred_pmp3,0098_lp_dnn_3_chair_10_n03376595_5112,maniqa-kadid,False,3,0.8628642559051514,0.17606106400489807
deblurred_pmp3,0099_lp_dnn_1_cat_10_n02124075_2268,maniqa-kadid,False,1,0.8672964572906494,0.255460262298584
deblurred_pmp3,0100_lp_dnn_3_boat_10_n04273569_1137,maniqa-kadid,False,3,0.8631198406219482,0.17083963751792908
deblurred_pmp3,0101_lp_dnn_1_chair_10_n02791124_15383,maniqa-kadid,False,1,0.8640596866607666,0.33540835976600647
deblurred_pmp3,0102_lp_dnn_15_clock_10_n04548280_8998,maniqa-kadid,False,15,0.8639016151428223,0.11121000349521637
deblurred_pmp3,0103_lp_dnn_0_dog_10_n02097047_2800,maniqa-kadid,False,0,0.8673162460327148,0.2790890038013458
deblurred_pmp3,0104_lp_dnn_15_bicycle_10_n03792782_18294,maniqa-kadid,False,15,0.8633716106414795,0.11205044388771057
deblurred_pmp3,0105_lp_dnn_0_elephant_10_n02504013_24486,maniqa-kadid,False,0,0.8642804622650146,0.2978953719139099
deblurred_pmp3,0106_lp_dnn_7_airplane_10_n02690373_2923,maniqa-kadid,False,7,0.8634233474731445,0.13030032813549042
deblurred_pmp3,0107_lp_dnn_3_airplane_10_n02690373_15392,maniqa-kadid,False,3,0.8646769523620605,0.1798192411661148
deblurred_pmp3,0108_lp_dnn_5_oven_10_n04111531_6080,maniqa-kadid,False,5,0.8649487495422363,0.13035519421100616
deblurred_pmp3,0109_lp_dnn_15_bear_10_n02134084_22736,maniqa-kadid,False,15,0.8630774021148682,0.1056896299123764
deblurred_pmp3,0110_lp_dnn_1_knife_10_n03041632_33326,maniqa-kadid,False,1,0.864142656326294,0.2785405218601227
deblurred_pmp3,0113_lp_dnn_7_bicycle_10_n03792782_5416,maniqa-kadid,False,7,0.8641335964202881,0.12525910139083862
deblurred_pmp3,0114_lp_dnn_7_knife_10_n03041632_25772,maniqa-kadid,False,7,0.8652966022491455,0.09777794778347015
deblurred_pmp3,0115_lp_dnn_10_bicycle_10_n03792782_7108,maniqa-kadid,False,10,0.8635244369506836,0.07929005473852158
deblurred_pmp3,0116_lp_dnn_0_chair_10_n03376595_1981,maniqa-kadid,False,0,0.8649585247039795,0.3372780978679657
deblurred_pmp3,0117_lp_dnn_15_oven_10_n04111531_6508,maniqa-kadid,False,15,0.8632292747497559,0.1427943855524063
deblurred_pmp3,0118_lp_dnn_15_bird_10_n01843383_2843,maniqa-kadid,False,15,0.8657510280609131,0.07246133685112
deblurred_pmp3,0119_lp_dnn_5_cat_10_n02123597_5887,maniqa-kadid,False,5,0.866178035736084,0.14394979178905487
deblurred_pmp3,0121_lp_dnn_1_bird_10_n01530575_10332,maniqa-kadid,False,1,0.8668653964996338,0.2942958474159241
deblurred_pmp3,0122_lp_dnn_15_elephant_10_n02504013_5887,maniqa-kadid,False,15,0.866645097732544,0.09246791899204254
deblurred_pmp3,0123_lp_dnn_3_cat_10_n02124075_8693,maniqa-kadid,False,3,0.8642263412475586,0.22480273246765137
deblurred_pmp3,0124_lp_dnn_15_boat_10_n04612504_26151,maniqa-kadid,False,15,0.8634130954742432,0.10767053067684174
deblurred_pmp3,0125_lp_dnn_7_cat_10_n02125311_53412,maniqa-kadid,False,7,0.863243579864502,0.16413255035877228
deblurred_pmp3,0126_lp_dnn_7_knife_10_n03041632_46914,maniqa-kadid,False,7,0.8626194000244141,0.18346922099590302
deblurred_pmp3,0127_lp_dnn_15_bicycle_10_n03792782_5629,maniqa-kadid,False,15,0.8665025234222412,0.10667528957128525
deblurred_pmp3,0129_lp_dnn_3_dog_10_n02101006_5024,maniqa-kadid,False,3,0.8646693229675293,0.20808526873588562
