dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8819549083709717,0.244153618812561
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.8800559043884277,0.6731852293014526
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.881030797958374,0.2801758944988251
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.8767759799957275,0.280777096748352
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8758611679077148,0.2164845466613769
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8797540664672852,0.6121951937675476
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.8800961971282959,0.239525482058525
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.8786463737487793,0.2894413769245147
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.8771064281463623,0.3639876544475555
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.8763561248779297,0.3225927948951721
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.8799371719360352,0.3320496380329132
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.880230188369751,0.2566568255424499
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8763797283172607,0.2107261270284652
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.8809547424316406,0.6151357293128967
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.8813784122467041,0.2551402747631073
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8786401748657227,0.2465029954910278
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.8816585540771484,0.2773220241069793
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.8783588409423828,0.229149043560028
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.8768396377563477,0.6151169538497925
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-pipal,False,7,0.8765287399291992,0.2331001162528991
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-pipal,False,15,0.8817043304443359,0.2692895233631134
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-pipal,False,7,0.8760154247283936,0.2485687285661697
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-pipal,False,5,0.8768649101257324,0.2169073820114135
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-pipal,False,0,0.8805141448974609,0.6364352107048035
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-pipal,False,7,0.8820595741271973,0.2014233320951461
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-pipal,False,10,0.8778057098388672,0.2626993954181671
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-pipal,False,5,0.8783278465270996,0.2276591211557388
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-pipal,False,1,0.877354621887207,0.6191596388816833
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-pipal,False,7,0.8795740604400635,0.245635911822319
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-pipal,False,10,0.8762161731719971,0.2424406707286834
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-pipal,False,3,0.878720760345459,0.3532105088233948
