dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-paq2piq,False,5,0.011756420135498047,53.216590881347656
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-paq2piq,False,1,0.011471986770629883,74.70526123046875
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-paq2piq,False,3,0.01123666763305664,59.2786865234375
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-paq2piq,False,7,0.0111846923828125,60.155479431152344
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-paq2piq,False,7,0.011198043823242188,56.095726013183594
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,musiq-paq2piq,False,1,0.011381864547729492,71.01062774658203
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-paq2piq,False,10,0.011167287826538086,56.08610534667969
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,musiq-paq2piq,False,5,0.0110931396484375,52.98006057739258
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-paq2piq,False,3,0.01127934455871582,57.273738861083984
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-paq2piq,False,3,0.011240243911743164,58.35034942626953
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-paq2piq,False,7,0.01109170913696289,56.13498306274414
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-paq2piq,False,10,0.011076927185058594,53.386131286621094
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-paq2piq,False,5,0.011102914810180664,53.503692626953125
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-paq2piq,False,1,0.011270761489868164,72.57717895507812
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-paq2piq,False,7,0.01106715202331543,46.972198486328125
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-paq2piq,False,10,0.011117219924926758,51.476898193359375
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-paq2piq,False,15,0.01107478141784668,50.14448928833008
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-paq2piq,False,10,0.011180877685546875,52.03624725341797
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-paq2piq,False,1,0.011169910430908203,73.02766418457031
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-paq2piq,False,7,0.011092901229858398,52.98495101928711
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-paq2piq,False,15,0.011017322540283203,46.03263854980469
