dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,musiq,False,5,0.011793136596679688,18.486011505126953
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,musiq,False,1,0.01145625114440918,48.91304397583008
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,musiq,False,3,0.011221885681152344,20.300737380981445
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq,False,7,0.011200666427612305,21.318927764892578
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,musiq,False,7,0.011154413223266602,21.497642517089844
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,musiq,False,1,0.011368989944458008,33.79753112792969
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,musiq,False,10,0.011157512664794922,18.090682983398438
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,musiq,False,5,0.01113748550415039,19.57482147216797
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,musiq,False,3,0.011303901672363281,22.59701919555664
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,musiq,False,3,0.011211872100830078,22.601491928100586
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq,False,7,0.011104822158813477,19.734514236450195
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,musiq,False,10,0.011045455932617188,17.264942169189453
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,musiq,False,5,0.011127471923828125,21.706926345825195
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,musiq,False,1,0.011292219161987305,37.38656234741211
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,musiq,False,7,0.011123895645141602,19.378265380859375
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,musiq,False,10,0.011069059371948242,16.680715560913086
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq,False,15,0.01107478141784668,16.364696502685547
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,musiq,False,10,0.011183977127075195,16.783737182617188
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,musiq,False,1,0.011288166046142578,28.860502243041992
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,musiq,False,7,0.011039972305297852,18.571170806884766
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq,False,15,0.010950565338134766,22.513614654541016
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,musiq,False,7,0.011055946350097656,16.2020263671875
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq,False,5,0.011138439178466797,19.309791564941406
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,musiq,False,0,0.011744022369384766,43.814208984375
