dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,niqe,True,5,0.025672197341918945,11.24591926334477
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,niqe,True,1,0.02619004249572754,9.44106046297005
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,niqe,True,3,0.025390148162841797,8.907638652836855
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,niqe,True,7,0.025470256805419922,12.912699183277946
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,niqe,True,7,0.024716615676879883,11.9643631874742
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,niqe,True,1,0.025248050689697266,6.672947833832824
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,niqe,True,10,0.02542567253112793,10.839485681540518
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,niqe,True,5,0.025819778442382812,9.726534152329538
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,niqe,True,3,0.022361278533935547,12.342158622602575
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,niqe,True,3,0.02352118492126465,8.711927755492763
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,niqe,True,7,0.02292609214782715,29.422814582881855
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,niqe,True,10,0.02297067642211914,13.178877573264623
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,niqe,True,5,0.02364182472229004,11.00311879173315
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,niqe,True,1,0.02273726463317871,6.902604897821659
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,niqe,True,7,0.023218631744384766,13.053760530576092
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,niqe,True,10,0.022257328033447266,13.499690941555633
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,niqe,True,15,0.022456884384155273,13.405402264606016
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,niqe,True,10,0.023751497268676758,11.947276523166266
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,niqe,True,1,0.02293848991394043,8.41542703874307
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,niqe,True,7,0.023082256317138672,12.648111829854404
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,niqe,True,15,0.02306079864501953,12.855919440537066
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,niqe,True,7,0.022449731826782227,13.11015799868312
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,niqe,True,5,0.02248239517211914,9.973531437621322
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,niqe,True,0,0.023609161376953125,3.747263713962531
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,niqe,True,7,0.022484540939331055,12.70991999645284
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,niqe,True,10,0.023151159286499023,11.793898966313993
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,niqe,True,5,0.022975921630859375,13.331046866825751
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,niqe,True,1,0.022485017776489258,7.984734615005952
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,niqe,True,7,0.02352285385131836,11.779899322714463
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,niqe,True,10,0.022712230682373047,11.693445772668296
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,niqe,True,3,0.022229671478271484,12.857979679677905
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,niqe,True,15,0.022961139678955078,12.579990530407105
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,niqe,True,3,0.023325443267822266,12.924325669124332
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,niqe,True,0,0.02294015884399414,3.385239258874911
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,niqe,True,10,0.023249387741088867,11.827866888372254
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,niqe,True,0,0.023727893829345703,3.4896375563920516
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,niqe,True,1,0.023349523544311523,10.391442634838548
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,niqe,True,7,0.02288055419921875,11.493525207516194
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,niqe,True,15,0.022435903549194336,11.783316114833564
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,niqe,True,10,0.02304530143737793,13.221186238781447
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,niqe,True,15,0.02246880531311035,13.824552183681583
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,niqe,True,7,0.02332305908203125,12.95582335879614
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,niqe,True,1,0.023197412490844727,6.85193590113711
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,niqe,True,1,0.02251744270324707,8.228504885784375
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,niqe,True,5,0.023306846618652344,16.774077122466718
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,niqe,True,7,0.02251124382019043,11.983309965172843
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,niqe,True,0,0.023082971572875977,4.960918604215426
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,niqe,True,0,0.023573875427246094,4.056449290926349
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,niqe,True,5,0.022641897201538086,11.364813735429097
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,niqe,True,0,0.02350616455078125,2.8111399806977673
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,niqe,True,3,0.02335190773010254,11.324244959771516
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,niqe,True,10,0.022888898849487305,13.466675764507812
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,niqe,True,15,0.022845745086669922,14.632913159459095
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,niqe,True,3,0.022871732711791992,10.740005073588748
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,niqe,True,7,0.022725343704223633,18.021417314233123
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,niqe,True,15,0.022856473922729492,12.828208224776812
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,niqe,True,1,0.022887468338012695,8.532716632659186
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,niqe,True,0,0.023200273513793945,5.094660741372638
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,niqe,True,3,0.022709369659423828,14.278449279471785
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,niqe,True,15,0.02299046516418457,16.45406322960376
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,niqe,True,0,0.023562192916870117,4.811682086667069
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,niqe,True,10,0.022620677947998047,12.398559962115469
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,niqe,True,10,0.02378535270690918,11.877283473175863
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,niqe,True,3,0.023313045501708984,11.784916174816752
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,niqe,True,5,0.02277207374572754,11.499181987317481
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,niqe,True,3,0.023348331451416016,15.353479287660216
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,niqe,True,15,0.022544384002685547,13.959348974427838
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,niqe,True,0,0.022913217544555664,2.985057702708294
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,niqe,True,1,0.023232221603393555,11.283945315472227
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,niqe,True,1,0.0235595703125,8.001719429844602
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,niqe,True,1,0.02267313003540039,10.439581274466812
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,niqe,True,15,0.022851228713989258,13.229372727772564
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,niqe,True,5,0.02304673194885254,11.540906070749525
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,niqe,True,15,0.022453784942626953,13.327727789714736
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,niqe,True,3,0.023018360137939453,10.084106292538983
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,niqe,True,10,0.022871971130371094,12.43074169356262
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,niqe,True,15,0.023275136947631836,12.654106295345526
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,niqe,True,3,0.022619962692260742,16.850387952214465
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,niqe,True,0,0.02418684959411621,4.306721416728555
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,niqe,True,15,0.022764205932617188,13.150915284323911
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,niqe,True,5,0.023169517517089844,12.064909386896433
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,niqe,True,5,0.02257227897644043,13.609543381223544
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,niqe,True,10,0.0229644775390625,13.382327002959665
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,niqe,True,3,0.023092985153198242,17.480833310995944
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,niqe,True,5,0.022446870803833008,11.023399311622006
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,niqe,True,7,0.02203226089477539,11.348305722747504
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,niqe,True,5,0.023010730743408203,11.611498209566923
deblurred_pmp3,0096_lp_dnn_0_car_10_n03100240_8327,niqe,True,0,0.023248910903930664,3.537949966617654
deblurred_pmp3,0097_lp_dnn_0_chair_10_n04429376_24319,niqe,True,0,0.023659467697143555,4.270045023919489
deblurred_pmp3,0098_lp_dnn_3_chair_10_n03376595_5112,niqe,True,3,0.022446632385253906,13.819480633244657
deblurred_pmp3,0099_lp_dnn_1_cat_10_n02124075_2268,niqe,True,1,0.023639917373657227,9.563498067804856
deblurred_pmp3,0100_lp_dnn_3_boat_10_n04273569_1137,niqe,True,3,0.023233413696289062,10.998171323256228
deblurred_pmp3,0101_lp_dnn_1_chair_10_n02791124_15383,niqe,True,1,0.02334737777709961,7.781095454202831
deblurred_pmp3,0102_lp_dnn_15_clock_10_n04548280_8998,niqe,True,15,0.022552967071533203,12.472561516544507
deblurred_pmp3,0103_lp_dnn_0_dog_10_n02097047_2800,niqe,True,0,0.023790836334228516,3.6473943407071783
deblurred_pmp3,0104_lp_dnn_15_bicycle_10_n03792782_18294,niqe,True,15,0.022754430770874023,12.58729776138257
deblurred_pmp3,0105_lp_dnn_0_elephant_10_n02504013_24486,niqe,True,0,0.02326512336730957,4.852427627829353
deblurred_pmp3,0106_lp_dnn_7_airplane_10_n02690373_2923,niqe,True,7,0.022876262664794922,12.157054036511502
deblurred_pmp3,0107_lp_dnn_3_airplane_10_n02690373_15392,niqe,True,3,0.02330946922302246,13.787639924582834
deblurred_pmp3,0108_lp_dnn_5_oven_10_n04111531_6080,niqe,True,5,0.023144006729125977,10.169044098534023
deblurred_pmp3,0109_lp_dnn_15_bear_10_n02134084_22736,niqe,True,15,0.02299642562866211,12.03104803217514
deblurred_pmp3,0110_lp_dnn_1_knife_10_n03041632_33326,niqe,True,1,0.023794889450073242,8.992897163586996
deblurred_pmp3,0113_lp_dnn_7_bicycle_10_n03792782_5416,niqe,True,7,0.022855758666992188,12.17844207408995
deblurred_pmp3,0114_lp_dnn_7_knife_10_n03041632_25772,niqe,True,7,0.02229166030883789,12.970531944230071
deblurred_pmp3,0115_lp_dnn_10_bicycle_10_n03792782_7108,niqe,True,10,0.022655963897705078,11.356176895623623
deblurred_pmp3,0116_lp_dnn_0_chair_10_n03376595_1981,niqe,True,0,0.023452043533325195,4.067644343650959
deblurred_pmp3,0117_lp_dnn_15_oven_10_n04111531_6508,niqe,True,15,0.022205829620361328,13.055421408813741
deblurred_pmp3,0118_lp_dnn_15_bird_10_n01843383_2843,niqe,True,15,0.0222017765045166,13.913757723891784
deblurred_pmp3,0119_lp_dnn_5_cat_10_n02123597_5887,niqe,True,5,0.022714614868164062,12.60097284497387
deblurred_pmp3,0121_lp_dnn_1_bird_10_n01530575_10332,niqe,True,1,0.022870302200317383,7.709929858645405
deblurred_pmp3,0122_lp_dnn_15_elephant_10_n02504013_5887,niqe,True,15,0.022797107696533203,11.365278694258446
deblurred_pmp3,0123_lp_dnn_3_cat_10_n02124075_8693,niqe,True,3,0.023062944412231445,11.267146106631701
deblurred_pmp3,0124_lp_dnn_15_boat_10_n04612504_26151,niqe,True,15,0.02225041389465332,13.577647450616396
deblurred_pmp3,0125_lp_dnn_7_cat_10_n02125311_53412,niqe,True,7,0.022948503494262695,11.570145705224764
deblurred_pmp3,0126_lp_dnn_7_knife_10_n03041632_46914,niqe,True,7,0.02261519432067871,11.836322369128016
deblurred_pmp3,0127_lp_dnn_15_bicycle_10_n03792782_5629,niqe,True,15,0.022787809371948242,12.078837070177741
deblurred_pmp3,0129_lp_dnn_3_dog_10_n02101006_5024,niqe,True,3,0.023495912551879883,11.096730245054024
deblurred_pmp3,0130_lp_dnn_15_oven_10_n04111531_2350,niqe,True,15,0.02265763282775879,13.156239865354637
deblurred_pmp3,0131_lp_dnn_7_airplane_10_n02690373_4839,niqe,True,7,0.02293539047241211,14.502502932837137
deblurred_pmp3,0132_lp_dnn_5_car_10_n03100240_2075,niqe,True,5,0.022373199462890625,13.335652380166511
deblurred_pmp3,0133_lp_dnn_5_cat_10_n02123159_3729,niqe,True,5,0.023042678833007812,14.446064533631603
deblurred_pmp3,0134_lp_dnn_10_knife_10_n03041632_3079,niqe,True,10,0.022481679916381836,11.516562378220062
deblurred_pmp3,0135_lp_dnn_15_elephant_10_n02504013_2052,niqe,True,15,0.023103713989257812,12.11151579978207
deblurred_pmp3,0137_lp_dnn_15_keyboard_10_n03085013_7955,niqe,True,15,0.02267289161682129,12.895526858048903
deblurred_pmp3,0139_lp_dnn_10_cat_10_n02125311_44401,niqe,True,10,0.021845340728759766,12.347477883380165
deblurred_pmp3,0140_lp_dnn_10_airplane_10_n02690373_10657,niqe,True,10,0.023373842239379883,12.699949693164877
deblurred_pmp3,0141_lp_dnn_5_bird_10_n02025239_7919,niqe,True,5,0.023362398147583008,10.964365938136316
