dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.003724813461303711,50.37415313720703
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.0034110546112060547,70.21378326416016
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.003158092498779297,53.18103790283203
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.0031206607818603516,51.79765319824219
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.0030791759490966797,48.450679779052734
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.003292083740234375,70.15585327148438
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.003100872039794922,44.59303665161133
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.003047943115234375,47.590370178222656
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.003196239471435547,56.919219970703125
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.003148317337036133,60.38811492919922
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.003028392791748047,50.37852478027344
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.003038167953491211,43.7193489074707
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.0030961036682128906,46.148658752441406
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.003276348114013672,69.6594009399414
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.0030689239501953125,46.896881103515625
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.0030241012573242188,43.63731384277344
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.0030417442321777344,40.6024169921875
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.0030608177185058594,44.082157135009766
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.0031986236572265625,70.1701889038086
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.003056049346923828,44.59510040283203
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.002974271774291992,46.85096740722656
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.0030171871185302734,47.59238815307617
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.0030968189239501953,47.82151412963867
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.003625154495239258,64.20611572265625
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0030930042266845703,45.86749267578125
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,paq2piq,False,10,0.0030319690704345703,44.852298736572266
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,paq2piq,False,5,0.003023386001586914,52.966156005859375
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,paq2piq,False,1,0.003322124481201172,70.81909942626953
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,paq2piq,False,7,0.0030465126037597656,44.67051696777344
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,paq2piq,False,10,0.003071308135986328,47.54347229003906
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,paq2piq,False,3,0.003044605255126953,61.07917785644531
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,paq2piq,False,15,0.0031502246856689453,41.74504852294922
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,paq2piq,False,3,0.003070831298828125,59.32994842529297
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,paq2piq,False,0,0.0035638809204101562,72.2960433959961
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,paq2piq,False,10,0.003082275390625,44.32190704345703
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,paq2piq,False,0,0.003657817840576172,65.2070541381836
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,paq2piq,False,1,0.0031585693359375,72.94783020019531
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,paq2piq,False,7,0.003047943115234375,50.221946716308594
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,paq2piq,False,15,0.0030777454376220703,43.5856819152832
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,paq2piq,False,10,0.003053426742553711,45.79387664794922
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,paq2piq,False,15,0.002942800521850586,43.821990966796875
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,paq2piq,False,7,0.0030176639556884766,48.63197326660156
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,paq2piq,False,1,0.0030775070190429688,72.0116958618164
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,paq2piq,False,1,0.0033228397369384766,70.0450439453125
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,paq2piq,False,5,0.0030951499938964844,53.67351531982422
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,paq2piq,False,7,0.0030930042266845703,49.042320251464844
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,paq2piq,False,0,0.003625154495239258,71.3554458618164
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,paq2piq,False,0,0.0037529468536376953,70.70990753173828
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,paq2piq,False,5,0.003088235855102539,54.712074279785156
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,paq2piq,False,0,0.003659486770629883,71.74894714355469
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,paq2piq,False,3,0.003152132034301758,63.18695068359375
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,paq2piq,False,10,0.0030837059020996094,47.54840087890625
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,paq2piq,False,15,0.0029871463775634766,45.331607818603516
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,paq2piq,False,3,0.00313568115234375,60.623233795166016
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,paq2piq,False,7,0.0030078887939453125,49.02676773071289
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,paq2piq,False,15,0.003065824508666992,44.132198333740234
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,paq2piq,False,1,0.0033309459686279297,68.60971069335938
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,paq2piq,False,0,0.003657817840576172,69.8909683227539
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,paq2piq,False,3,0.003173828125,61.08030319213867
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,paq2piq,False,15,0.002933502197265625,44.94589614868164
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,paq2piq,False,0,0.0035643577575683594,72.30904388427734
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,paq2piq,False,10,0.003020048141479492,42.067955017089844
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,paq2piq,False,10,0.0031049251556396484,43.98231506347656
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,paq2piq,False,3,0.0031366348266601562,56.036468505859375
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,paq2piq,False,5,0.003034830093383789,49.46796798706055
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,paq2piq,False,3,0.0030477046966552734,64.79199981689453
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,paq2piq,False,15,0.0031206607818603516,44.45680236816406
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,paq2piq,False,0,0.0036652088165283203,67.83226013183594
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,paq2piq,False,1,0.0032651424407958984,73.87470245361328
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,paq2piq,False,1,0.0032956600189208984,70.44337463378906
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,paq2piq,False,1,0.0032510757446289062,69.28058624267578
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,paq2piq,False,15,0.0030126571655273438,46.452266693115234
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,paq2piq,False,5,0.0031082630157470703,49.20705032348633
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,paq2piq,False,15,0.0029802322387695312,42.978450775146484
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,paq2piq,False,3,0.003123044967651367,68.8644790649414
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,paq2piq,False,10,0.0030069351196289062,43.563758850097656
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,paq2piq,False,15,0.0030107498168945312,41.792659759521484
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,paq2piq,False,3,0.003147125244140625,67.13092041015625
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,paq2piq,False,0,0.003392934799194336,68.30450439453125
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,paq2piq,False,15,0.003053426742553711,38.331119537353516
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,paq2piq,False,5,0.003001689910888672,50.945220947265625
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,paq2piq,False,5,0.003092527389526367,55.588226318359375
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,paq2piq,False,10,0.00305938720703125,43.32056427001953
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,paq2piq,False,3,0.003081083297729492,59.12394714355469
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,paq2piq,False,5,0.003099679946899414,49.764549255371094
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,paq2piq,False,7,0.0031054019927978516,45.3712043762207
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,paq2piq,False,5,0.0030744075775146484,54.42216110229492
deblurred_pmp3,0096_lp_dnn_0_car_10_n03100240_8327,paq2piq,False,0,0.003632068634033203,68.7955093383789
deblurred_pmp3,0097_lp_dnn_0_chair_10_n04429376_24319,paq2piq,False,0,0.0036165714263916016,68.36492156982422
deblurred_pmp3,0098_lp_dnn_3_chair_10_n03376595_5112,paq2piq,False,3,0.0031354427337646484,61.274227142333984
deblurred_pmp3,0099_lp_dnn_1_cat_10_n02124075_2268,paq2piq,False,1,0.0033075809478759766,67.58357238769531
deblurred_pmp3,0100_lp_dnn_3_boat_10_n04273569_1137,paq2piq,False,3,0.003035306930541992,58.256492614746094
deblurred_pmp3,0101_lp_dnn_1_chair_10_n02791124_15383,paq2piq,False,1,0.0032503604888916016,71.15995788574219
deblurred_pmp3,0102_lp_dnn_15_clock_10_n04548280_8998,paq2piq,False,15,0.0030307769775390625,40.784732818603516
deblurred_pmp3,0103_lp_dnn_0_dog_10_n02097047_2800,paq2piq,False,0,0.0036690235137939453,70.8117446899414
deblurred_pmp3,0104_lp_dnn_15_bicycle_10_n03792782_18294,paq2piq,False,15,0.003099203109741211,40.38825225830078
deblurred_pmp3,0105_lp_dnn_0_elephant_10_n02504013_24486,paq2piq,False,0,0.003523111343383789,70.23126220703125
deblurred_pmp3,0106_lp_dnn_7_airplane_10_n02690373_2923,paq2piq,False,7,0.003010272979736328,47.6332893371582
deblurred_pmp3,0107_lp_dnn_3_airplane_10_n02690373_15392,paq2piq,False,3,0.0029745101928710938,62.018516540527344
deblurred_pmp3,0108_lp_dnn_5_oven_10_n04111531_6080,paq2piq,False,5,0.003154277801513672,50.26057434082031
deblurred_pmp3,0109_lp_dnn_15_bear_10_n02134084_22736,paq2piq,False,15,0.0030584335327148438,41.26188659667969
deblurred_pmp3,0110_lp_dnn_1_knife_10_n03041632_33326,paq2piq,False,1,0.0033071041107177734,72.10142517089844
deblurred_pmp3,0113_lp_dnn_7_bicycle_10_n03792782_5416,paq2piq,False,7,0.0031075477600097656,48.374122619628906
deblurred_pmp3,0114_lp_dnn_7_knife_10_n03041632_25772,paq2piq,False,7,0.003075122833251953,44.610809326171875
deblurred_pmp3,0115_lp_dnn_10_bicycle_10_n03792782_7108,paq2piq,False,10,0.003087759017944336,45.63081359863281
deblurred_pmp3,0116_lp_dnn_0_chair_10_n03376595_1981,paq2piq,False,0,0.0036652088165283203,71.10031127929688
deblurred_pmp3,0117_lp_dnn_15_oven_10_n04111531_6508,paq2piq,False,15,0.0030252933502197266,46.34602355957031
deblurred_pmp3,0118_lp_dnn_15_bird_10_n01843383_2843,paq2piq,False,15,0.0031108856201171875,46.946044921875
deblurred_pmp3,0119_lp_dnn_5_cat_10_n02123597_5887,paq2piq,False,5,0.0031311511993408203,55.813621520996094
deblurred_pmp3,0121_lp_dnn_1_bird_10_n01530575_10332,paq2piq,False,1,0.003224611282348633,72.06426239013672
deblurred_pmp3,0122_lp_dnn_15_elephant_10_n02504013_5887,paq2piq,False,15,0.003060579299926758,40.932456970214844
deblurred_pmp3,0123_lp_dnn_3_cat_10_n02124075_8693,paq2piq,False,3,0.003133535385131836,59.53745651245117
deblurred_pmp3,0124_lp_dnn_15_boat_10_n04612504_26151,paq2piq,False,15,0.002984762191772461,43.5764045715332
deblurred_pmp3,0125_lp_dnn_7_cat_10_n02125311_53412,paq2piq,False,7,0.0030612945556640625,44.9530029296875
deblurred_pmp3,0126_lp_dnn_7_knife_10_n03041632_46914,paq2piq,False,7,0.002973318099975586,47.54002380371094
deblurred_pmp3,0127_lp_dnn_15_bicycle_10_n03792782_5629,paq2piq,False,15,0.0030558109283447266,42.26750564575195
deblurred_pmp3,0129_lp_dnn_3_dog_10_n02101006_5024,paq2piq,False,3,0.003105640411376953,56.45701217651367
deblurred_pmp3,0130_lp_dnn_15_oven_10_n04111531_2350,paq2piq,False,15,0.003034830093383789,44.1096305847168
deblurred_pmp3,0131_lp_dnn_7_airplane_10_n02690373_4839,paq2piq,False,7,0.002947568893432617,48.27411651611328
deblurred_pmp3,0132_lp_dnn_5_car_10_n03100240_2075,paq2piq,False,5,0.0030705928802490234,50.76662826538086
