dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,pi,True,5,2.099930763244629,9.293033194720213
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,pi,True,1,2.081751108169556,5.247062026283907
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,pi,True,3,2.1413300037384038,7.940554756162785
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,pi,True,7,2.1190545558929443,12.867285681185866
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,pi,True,7,1.9863357543945312,9.822217850244964
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,pi,True,1,2.0510034561157227,3.840280621972469
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,pi,True,10,2.0072853565216064,9.795157266709715
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,pi,True,5,2.1314120292663574,9.686584720747764
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,pi,True,3,2.151493787765503,8.851430837709646
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,pi,True,3,2.0069966316223145,8.848119187953913
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,pi,True,7,2.160040140151977,18.205656098990936
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,pi,True,10,2.0216619968414307,10.79392052768738
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,pi,True,5,1.9533350467681885,8.569279269686232
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,pi,True,1,1.9986042976379397,5.10540094480926
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,pi,True,7,2.0676701068878174,9.366012855402897
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,pi,True,10,2.0435266494750977,10.67188297332978
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,pi,True,15,1.9936914443969729,10.92891405031415
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,pi,True,10,1.9255852699279783,10.40942805598759
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,pi,True,1,2.0999197959899902,5.458492944279003
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,pi,True,7,2.0500495433807373,9.69604562210794
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,pi,True,15,2.057506561279297,11.027903237964118
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,pi,True,7,1.9876351356506348,10.616835480253458
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,pi,True,5,2.037170886993408,8.828761478226234
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,pi,True,0,2.115817785263061,3.2872432457581398
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,pi,True,7,2.021810293197632,10.596285290469892
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,pi,True,10,2.028784990310669,10.149744852445234
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,pi,True,5,2.0286648273468018,9.756453811056586
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,pi,True,1,1.9953324794769287,4.833728672107125
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,pi,True,7,1.9844834804534912,9.584618402933671
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,pi,True,10,2.037313222885132,10.57649172525105
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,pi,True,3,2.093280792236328,9.356628684240782
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,pi,True,15,2.04007625579834,10.431940118059956
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,pi,True,3,2.114731550216675,10.106453030136596
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,pi,True,0,2.0869312286376958,2.3363692876670137
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,pi,True,10,2.101409435272217,9.833889317614853
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,pi,True,0,2.0478739738464355,2.601357213258101
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,pi,True,1,2.012702465057373,8.07025365498328
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,pi,True,7,2.044674634933472,9.78911895687632
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,pi,True,15,1.9904327392578125,10.288828373394177
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,pi,True,10,2.0862295627593994,11.120869635702732
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,pi,True,15,2.0208842754364014,11.235973784766768
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,pi,True,7,2.121610164642334,9.980010233249102
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,pi,True,1,2.018157958984375,3.9907401003492
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,pi,True,1,2.0063226222991943,5.558084918488922
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,pi,True,5,2.0779025554656982,11.546466181089867
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,pi,True,7,2.007333993911743,10.436868816346657
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,pi,True,0,2.113316774368286,3.2494782161099502
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,pi,True,0,2.138793468475342,2.4289432910497184
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,pi,True,5,2.0918281078338623,9.263055002205718
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,pi,True,0,2.1361653804779053,2.078573932109322
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,pi,True,3,2.1204795837402344,8.945845405187839
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,pi,True,10,2.109084367752075,10.807627354957624
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,pi,True,15,2.077562093734741,11.90817869893004
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,pi,True,3,2.051690101623535,8.786452754209247
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,pi,True,7,2.1265652179718018,15.901223199887824
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,pi,True,15,1.9421865940093996,10.682649832196711
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238,pi,True,1,2.1395151615142822,4.808979243096195
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414,pi,True,0,1.9624974727630613,3.152766313698204
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711,pi,True,3,2.0587263107299805,10.542766578389523
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463,pi,True,15,2.117942571640014,11.59702757233842
deblurred_pmp3,0067_lp_dnn_0_truck_10_n03417042_10099,pi,True,0,2.0040152072906494,2.903628489837521
deblurred_pmp3,0068_lp_dnn_10_bear_10_n02134418_3793,pi,True,10,2.061487913131714,10.96475532192792
deblurred_pmp3,0069_lp_dnn_10_bottle_10_n03937543_9524,pi,True,10,2.100120782852173,11.142715340858537
deblurred_pmp3,0070_lp_dnn_3_cat_10_n02123394_1038,pi,True,3,1.9921789169311523,9.160894143221988
deblurred_pmp3,0071_lp_dnn_5_dog_10_n02110185_7886,pi,True,5,2.1455814838409424,9.5710709596286
deblurred_pmp3,0072_lp_dnn_3_clock_10_n02708093_4912,pi,True,3,2.006943702697754,10.650135805532488
deblurred_pmp3,0073_lp_dnn_15_dog_10_n02108422_932,pi,True,15,2.0033020973205566,10.787280263411624
deblurred_pmp3,0074_lp_dnn_0_truck_10_n04467665_18621,pi,True,0,2.0457217693328857,2.566685826022605
deblurred_pmp3,0075_lp_dnn_1_truck_10_n04467665_50932,pi,True,1,2.0111773014068604,6.116932304648784
deblurred_pmp3,0076_lp_dnn_1_dog_10_n02102480_7293,pi,True,1,2.018352031707764,5.606953821332565
deblurred_pmp3,0077_lp_dnn_1_bottle_10_n04591713_4764,pi,True,1,2.015586376190185,5.615776688937701
deblurred_pmp3,0078_lp_dnn_15_clock_10_n02708093_274,pi,True,15,2.037204504013061,10.876935548542182
deblurred_pmp3,0079_lp_dnn_5_bottle_10_n04557648_29772,pi,True,5,2.113145351409912,9.148151907579692
deblurred_pmp3,0080_lp_dnn_15_car_10_n03100240_22499,pi,True,15,2.046722650527954,9.908470610999748
deblurred_pmp3,0081_lp_dnn_3_clock_10_n02708093_6252,pi,True,3,2.061543226242065,10.026913436232466
deblurred_pmp3,0082_lp_dnn_10_airplane_10_n02690373_5427,pi,True,10,2.0286333560943604,10.430606557803776
deblurred_pmp3,0083_lp_dnn_15_dog_10_n02107142_46045,pi,True,15,1.9905023574829104,10.89648006265216
deblurred_pmp3,0085_lp_dnn_3_bicycle_10_n03792782_12421,pi,True,3,2.11124324798584,10.447139568184484
deblurred_pmp3,0086_lp_dnn_0_airplane_10_n02690373_1310,pi,True,0,2.052010536193848,3.5101510552071526
deblurred_pmp3,0087_lp_dnn_15_oven_10_n04111531_8793,pi,True,15,2.076582431793213,11.940983040098022
deblurred_pmp3,0088_lp_dnn_5_airplane_10_n02690373_633,pi,True,5,2.0689289569854736,10.02601416177938
deblurred_pmp3,0089_lp_dnn_5_clock_10_n02708093_2307,pi,True,5,2.061130285263061,10.595540961622545
deblurred_pmp3,0090_lp_dnn_10_oven_10_n04111531_13795,pi,True,10,2.027586936950684,10.77607420020147
deblurred_pmp3,0091_lp_dnn_3_boat_10_n03662601_1427,pi,True,3,1.9821538925170896,11.487728327268355
deblurred_pmp3,0092_lp_dnn_5_boat_10_n04612504_15944,pi,True,5,2.0230135917663574,9.639157119500162
deblurred_pmp3,0094_lp_dnn_7_elephant_10_n02504458_1848,pi,True,7,2.068080425262451,10.728426447862777
deblurred_pmp3,0095_lp_dnn_5_oven_10_n04111531_4155,pi,True,5,2.0587782859802246,10.621900375828735
deblurred_pmp3,0096_lp_dnn_0_car_10_n03100240_8327,pi,True,0,2.077131748199463,2.325298680034944
