dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.040953,52.1191323135434
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.040247,27.2452748946325
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.040745,53.8416850984593
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.040537,57.5392645318963
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.044721,61.0445048884276
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.047299,25.4749806026227
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.046143,61.1017100987712
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.042993,57.5516723732846
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.041874,46.3490816707774
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.044386,46.5635316020284
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.044285,60.1017986426593
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.043583,61.3487551054547
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.042657,55.1772574912049
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.042281,13.3796224987832
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.043273,54.6801249633904
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.043069,60.4923991003732
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.046246,59.2905868095888
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.043703,60.3742354642035
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.043995,29.3686875243539
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.043126,62.6460435401244
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.042524,59.3380352726586
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.042836,60.6284191585038
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.043098,59.1647368559871
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.043617,23.4564210251246
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.040717,59.8534808585525
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238.png,sseq,True,10,0.042538,57.3135913139999
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332.png,sseq,True,5,0.041657,61.0672149453978
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244.png,sseq,True,1,0.041241,26.6248056414241
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,sseq,True,7,0.04121,45.1413585165582
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,sseq,True,10,0.040621,59.8182447780801
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,sseq,True,3,0.041807,50.4688167143565
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336.png,sseq,True,15,0.041397,59.5993167856536
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495.png,sseq,True,3,0.040297,45.8152362828895
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625.png,sseq,True,0,0.040614,35.2885634655791
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107.png,sseq,True,10,0.039703,57.4069814680121
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649.png,sseq,True,0,0.040321,31.7340032953843
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282.png,sseq,True,1,0.040467,32.0934350224491
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534.png,sseq,True,7,0.041508,62.0280688301282
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813.png,sseq,True,15,0.040124,61.4252981333604
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425.png,sseq,True,10,0.041035,58.4647166345204
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427.png,sseq,True,15,0.040717,58.677169430065
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907.png,sseq,True,7,0.041173,55.2289063123088
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773.png,sseq,True,1,0.041487,45.1737335689663
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188.png,sseq,True,1,0.041071,19.8421097022564
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428.png,sseq,True,5,0.041125,61.7016303700937
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923.png,sseq,True,7,0.040595,57.4852155972667
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570.png,sseq,True,0,0.040997,23.3553118157245
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586.png,sseq,True,0,0.041448,9.3808605747539
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144.png,sseq,True,5,0.039809,57.3873220005426
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680.png,sseq,True,0,0.040379,30.6872445502831
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596.png,sseq,True,3,0.039556,50.1071252989921
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450.png,sseq,True,10,0.040439,55.4283210327144
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462.png,sseq,True,15,0.040721,63.3335205944082
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683.png,sseq,True,3,0.039607,47.148343643716
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309.png,sseq,True,7,0.039697,64.899053271184
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923.png,sseq,True,15,0.03965,60.5805022187336
deblurred_pmp3,0063_lp_dnn_1_chair_10_n04429376_5238.png,sseq,True,1,0.041406,17.2731970305974
deblurred_pmp3,0064_lp_dnn_0_clock_10_n03196217_2414.png,sseq,True,0,0.040894,20.115043083033
deblurred_pmp3,0065_lp_dnn_3_bird_10_n01797886_2711.png,sseq,True,3,0.040856,47.3475323102881
deblurred_pmp3,0066_lp_dnn_15_truck_10_n04467665_68463.png,sseq,True,15,0.041442,71.2786779353857
