dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.0149497985839843,0.6777883768081665
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.0526394844055175,0.7354087233543396
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.0554637908935546,0.6465780138969421
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.0563969612121582,0.6618621349334717
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.0633852481842041,0.621695339679718
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.0635256767272949,0.7135688066482544
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.0310935974121093,0.5858325958251953
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.0150811672210693,0.6139302253723145
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.0175480842590332,0.6312903165817261
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.0202453136444091,0.6220434308052063
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.0203833580017089,0.6217775344848633
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.0204572677612304,0.6466291546821594
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.0210349559783935,0.6530754566192627
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.0212178230285644,0.712904691696167
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.0208749771118164,0.6486623883247375
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.0206482410430908,0.6428577303886414
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.0203216075897216,0.6210528612136841
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.0203282833099365,0.6603270173072815
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.0202903747558593,0.7115070223808289
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.0203065872192382,0.6326783895492554
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.0205707550048828,0.6003901362419128
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.0207650661468505,0.6523340344429016
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-flive,False,5,0.0211186408996582,0.6512162089347839
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-flive,False,0,0.0212042331695556,0.638314962387085
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-flive,False,7,0.0189347267150878,0.645796537399292
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-flive,False,10,0.018977403640747,0.6396974921226501
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-flive,False,5,0.0210373401641845,0.6734334826469421
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-flive,False,1,0.0210816860198974,0.7089962959289551
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-flive,False,7,0.0211288928985595,0.6349821090698242
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-flive,False,10,0.0210921764373779,0.660767138004303
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-flive,False,3,0.0211856365203857,0.720757782459259
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-flive,False,15,0.0210871696472167,0.6501900553703308
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-flive,False,3,0.0210061073303222,0.6639895439147949
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-flive,False,0,0.0207076072692871,0.7213781476020813
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-flive,False,10,0.020491600036621,0.6110234260559082
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-flive,False,0,0.0204606056213378,0.5879524946212769
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-flive,False,1,0.0202159881591796,0.7627939581871033
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-flive,False,7,0.0202844142913818,0.605269730091095
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-flive,False,15,0.0203428268432617,0.6036016345024109
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-flive,False,10,0.0209064483642578,0.5879790782928467
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-flive,False,15,0.0210978984832763,0.5871803760528564
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-flive,False,7,0.0210905075073242,0.6734744906425476
