dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,tres-flive,False,5,0.28111863136291504,80.1940689086914
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,tres-flive,False,1,0.2832314968109131,83.705078125
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,tres-flive,False,3,0.2808077335357666,71.43193817138672
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,tres-flive,False,7,0.2826378345489502,82.28240203857422
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,tres-flive,False,7,0.2825205326080322,75.0212631225586
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,tres-flive,False,1,0.28528404235839844,82.89970397949219
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,tres-flive,False,10,0.2857673168182373,77.23463439941406
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,tres-flive,False,5,0.2826993465423584,79.17417907714844
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,tres-flive,False,3,0.28209400177001953,80.1834487915039
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,tres-flive,False,3,0.2823328971862793,77.0752182006836
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres-flive,False,7,0.2836954593658447,86.7445297241211
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,tres-flive,False,10,0.28533267974853516,76.52490234375
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,tres-flive,False,5,0.28745579719543457,75.37713623046875
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,tres-flive,False,1,0.2835733890533447,83.60072326660156
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,tres-flive,False,7,0.2855644226074219,74.15251159667969
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,tres-flive,False,10,0.28708672523498535,78.70005798339844
