dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3,0003_lp_dnn_5_truck_10_n04467665_34253,tres,False,5,0.29421210289001465,23.07525634765625
deblurred_pmp3,0004_lp_dnn_1_clock_10_n04548280_5320,tres,False,1,0.2978200912475586,68.57501983642578
deblurred_pmp3,0005_lp_dnn_3_dog_10_n02108915_3652,tres,False,3,0.2990405559539795,30.56778335571289
deblurred_pmp3,0006_lp_dnn_7_keyboard_10_n04505470_578,tres,False,7,0.2972686290740967,24.994598388671875
deblurred_pmp3,0007_lp_dnn_7_cat_10_n02123597_3842,tres,False,7,0.2951087951660156,24.930261611938477
deblurred_pmp3,0008_lp_dnn_1_bear_10_n02134418_14,tres,False,1,0.2977619171142578,58.057640075683594
deblurred_pmp3,0009_lp_dnn_10_knife_10_n03041632_29920,tres,False,10,0.2951016426086426,16.288185119628906
deblurred_pmp3,0010_lp_dnn_5_bird_10_n01795545_952,tres,False,5,0.2972111701965332,27.305477142333984
deblurred_pmp3,0011_lp_dnn_3_bear_10_n02132136_6441,tres,False,3,0.2980988025665283,47.83819580078125
deblurred_pmp3,0012_lp_dnn_3_bird_10_n01829413_8792,tres,False,3,0.296816349029541,36.040164947509766
deblurred_pmp3,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres,False,7,0.2950592041015625,30.32759666442871
deblurred_pmp3,0014_lp_dnn_10_chair_10_n03376595_9176,tres,False,10,0.29515933990478516,31.131122589111328
deblurred_pmp3,0017_lp_dnn_5_oven_10_n04111531_1580,tres,False,5,0.29628562927246094,28.70781707763672
deblurred_pmp3,0018_lp_dnn_1_elephant_10_n02504458_900,tres,False,1,0.2971782684326172,52.75137710571289
deblurred_pmp3,0019_lp_dnn_7_dog_10_n02106662_2384,tres,False,7,0.2974119186401367,26.22490692138672
deblurred_pmp3,0020_lp_dnn_10_truck_10_n03796401_22618,tres,False,10,0.2950119972229004,22.85572624206543
deblurred_pmp3,0021_lp_dnn_15_elephant_10_n02504013_5463,tres,False,15,0.2939636707305908,20.38021469116211
deblurred_pmp3,0022_lp_dnn_10_chair_10_n04429376_16459,tres,False,10,0.2965261936187744,14.919443130493164
deblurred_pmp3,0023_lp_dnn_1_cat_10_n02123045_12206,tres,False,1,0.29731106758117676,54.38820266723633
deblurred_pmp3,0024_lp_dnn_7_truck_10_n03417042_2633,tres,False,7,0.29689550399780273,25.73780632019043
deblurred_pmp3,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres,False,15,0.29607391357421875,19.04751205444336
deblurred_pmp3,0026_lp_dnn_7_car_10_n02814533_44503,tres,False,7,0.2959270477294922,31.5451602935791
deblurred_pmp3,0027_lp_dnn_5_elephant_10_n02504458_5797,tres,False,5,0.2963378429412842,30.389144897460938
deblurred_pmp3,0028_lp_dnn_0_chair_10_n04429376_8237,tres,False,0,0.297041654586792,64.42986297607422
deblurred_pmp3,0029_lp_dnn_7_cat_10_n02123159_587,tres,False,7,0.29900360107421875,20.461694717407227
deblurred_pmp3,0030_lp_dnn_10_bird_10_n02028035_17238,tres,False,10,0.2980782985687256,16.612781524658203
deblurred_pmp3,0032_lp_dnn_5_boat_10_n04273569_22332,tres,False,5,0.29680657386779785,34.69200897216797
deblurred_pmp3,0033_lp_dnn_1_elephant_10_n02504013_1244,tres,False,1,0.29781174659729004,63.795955657958984
deblurred_pmp3,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres,False,7,0.29540419578552246,28.90677261352539
deblurred_pmp3,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres,False,10,0.29777073860168457,21.27095603942871
deblurred_pmp3,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres,False,3,0.29688048362731934,36.892173767089844
deblurred_pmp3,0037_lp_dnn_15_truck_10_n03417042_1336,tres,False,15,0.29482078552246094,16.363122940063477
deblurred_pmp3,0038_lp_dnn_3_knife_10_n03041632_7495,tres,False,3,0.29766058921813965,36.221527099609375
deblurred_pmp3,0039_lp_dnn_0_car_10_n03100240_9625,tres,False,0,0.29675769805908203,72.73271179199219
deblurred_pmp3,0040_lp_dnn_10_elephant_10_n02504458_6107,tres,False,10,0.294205904006958,16.051063537597656
deblurred_pmp3,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres,False,0,0.29642271995544434,52.0532112121582
deblurred_pmp3,0042_lp_dnn_1_clock_10_n03196217_8282,tres,False,1,0.29561614990234375,93.2642593383789
deblurred_pmp3,0043_lp_dnn_7_keyboard_10_n03085013_21534,tres,False,7,0.2964591979980469,23.977766036987305
deblurred_pmp3,0044_lp_dnn_15_elephant_10_n02504013_22813,tres,False,15,0.29540300369262695,12.362089157104492
deblurred_pmp3,0045_lp_dnn_10_truck_10_n03796401_16425,tres,False,10,0.29520726203918457,41.084774017333984
deblurred_pmp3,0046_lp_dnn_15_airplane_10_n02690373_9427,tres,False,15,0.2961764335632324,23.100297927856445
deblurred_pmp3,0047_lp_dnn_7_bird_10_n02009912_11907,tres,False,7,0.2973501682281494,28.4387149810791
deblurred_pmp3,0048_lp_dnn_1_airplane_10_n02690373_5773,tres,False,1,0.2971017360687256,76.23888397216797
deblurred_pmp3,0050_lp_dnn_1_bird_10_n01819313_18188,tres,False,1,0.2978677749633789,70.93476104736328
deblurred_pmp3,0051_lp_dnn_5_car_10_n04285008_7428,tres,False,5,0.2958660125732422,21.310787200927734
deblurred_pmp3,0052_lp_dnn_7_bottle_10_n04591713_6923,tres,False,7,0.29594993591308594,17.067638397216797
deblurred_pmp3,0053_lp_dnn_0_knife_10_n03041632_22570,tres,False,0,0.29817676544189453,79.655517578125
deblurred_pmp3,0054_lp_dnn_0_bear_10_n02132136_7586,tres,False,0,0.2971034049987793,65.31642150878906
deblurred_pmp3,0055_lp_dnn_5_clock_10_n04548280_9144,tres,False,5,0.29523205757141113,18.39508628845215
deblurred_pmp3,0056_lp_dnn_0_bottle_10_n04591713_2680,tres,False,0,0.29778075218200684,68.14663696289062
deblurred_pmp3,0057_lp_dnn_3_cat_10_n02123045_1596,tres,False,3,0.2972228527069092,39.05000305175781
deblurred_pmp3,0058_lp_dnn_10_cat_10_n02123597_19450,tres,False,10,0.2944803237915039,13.708806037902832
deblurred_pmp3,0059_lp_dnn_15_chair_10_n03376595_3462,tres,False,15,0.29477572441101074,24.123029708862305
deblurred_pmp3,0060_lp_dnn_3_bottle_10_n04591713_3683,tres,False,3,0.2956855297088623,22.584823608398438
deblurred_pmp3,0061_lp_dnn_7_clock_10_n03196217_4309,tres,False,7,0.29626011848449707,22.48143768310547
deblurred_pmp3,0062_lp_dnn_15_bear_10_n02134084_4923,tres,False,15,0.2966732978820801,15.531611442565918
