subj,object_response,category,condition,imagename
alexnet,truck,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
alexnet,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
alexnet,oven,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
alexnet,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
alexnet,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
alexnet,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
alexnet,bottle,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
alexnet,clock,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
alexnet,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
alexnet,elephant,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
alexnet,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
alexnet,keyboard,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
alexnet,keyboard,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
alexnet,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
alexnet,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
alexnet,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
alexnet,knife,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
alexnet,knife,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
alexnet,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
alexnet,oven,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
alexnet,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
alexnet,truck,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
alexnet,dog,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
alexnet,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
alexnet,keyboard,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
alexnet,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
alexnet,oven,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
alexnet,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
alexnet,clock,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
alexnet,keyboard,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
alexnet,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
alexnet,knife,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
alexnet,knife,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png
alexnet,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png
alexnet,keyboard,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png
alexnet,bicycle,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png
alexnet,clock,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png
alexnet,keyboard,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png
alexnet,keyboard,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png
alexnet,truck,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png
alexnet,knife,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png
alexnet,keyboard,bird,7,0047_lp_dnn_7_bird_10_n02009912_11907.png
alexnet,airplane,airplane,1,0048_lp_dnn_1_airplane_10_n02690373_5773.png
alexnet,bird,bird,1,0050_lp_dnn_1_bird_10_n01819313_18188.png
alexnet,keyboard,car,5,0051_lp_dnn_5_car_10_n04285008_7428.png
alexnet,keyboard,bottle,7,0052_lp_dnn_7_bottle_10_n04591713_6923.png
alexnet,chair,knife,0,0053_lp_dnn_0_knife_10_n03041632_22570.png
alexnet,bear,bear,0,0054_lp_dnn_0_bear_10_n02132136_7586.png
alexnet,clock,clock,5,0055_lp_dnn_5_clock_10_n04548280_9144.png
