dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,ahiq,False,5,0.5891578197479248,0.0218714699149131
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,ahiq,False,1,0.5958786010742188,0.5656132102012634
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,ahiq,False,3,0.5922291278839111,0.251338392496109
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,ahiq,False,7,0.5970258712768555,-0.009552295319736
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,ahiq,False,7,0.5936627388000488,-0.0514213629066944
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,ahiq,False,1,0.5957355499267578,0.4391148686408996
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,ahiq,False,10,0.5935237407684326,-0.2345238775014877
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,ahiq,False,5,0.5932180881500244,0.0741808637976646
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,ahiq,False,3,0.5931212902069092,0.2366140931844711
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,ahiq,False,3,0.5945205688476562,0.1679681688547134
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,ahiq,False,7,0.5939557552337646,-0.0498531609773635
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,ahiq,False,10,0.5943222045898438,-0.229923203587532
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,ahiq,False,5,0.5945193767547607,0.0190763305872678
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,ahiq,False,1,0.5950829982757568,0.5151325464248657
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,ahiq,False,7,0.596430778503418,0.0580974631011486
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,ahiq,False,10,0.5950653553009033,-0.0945796146988868
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,ahiq,False,15,0.5965609550476074,-0.2764308750629425
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,ahiq,False,10,0.5952901840209961,-0.1382316797971725
