dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,ckdn,False,5,0.006287813186645508,0.3288596570491791
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,ckdn,False,1,0.006002664566040039,0.5729959607124329
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,ckdn,False,3,0.005823373794555664,0.40636321902275085
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,ckdn,False,7,0.005808115005493164,0.23828516900539398
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,ckdn,False,7,0.005704164505004883,0.28034037351608276
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,ckdn,False,1,0.006006717681884766,0.5237258076667786
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,ckdn,False,10,0.005784273147583008,0.23816005885601044
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,ckdn,False,5,0.005548954010009766,0.3191182613372803
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,ckdn,False,3,0.00570988655090332,0.33766722679138184
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,ckdn,False,3,0.0058863162994384766,0.33837711811065674
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,ckdn,False,7,0.005690097808837891,0.28168901801109314
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,ckdn,False,10,0.005510568618774414,0.20591439306735992
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,ckdn,False,5,0.005807638168334961,0.29201027750968933
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,ckdn,False,1,0.005919218063354492,0.586155354976654
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,ckdn,False,7,0.005752086639404297,0.2845650315284729
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,ckdn,False,10,0.005590200424194336,0.29109618067741394
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,ckdn,False,15,0.005662202835083008,0.2190912365913391
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,ckdn,False,10,0.005780220031738281,0.22900690138339996
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,ckdn,False,1,0.005822420120239258,0.5595901608467102
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,ckdn,False,7,0.00571894645690918,0.240998774766922
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,ckdn,False,15,0.0055389404296875,0.28493496775627136
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,ckdn,False,7,0.005500316619873047,0.33095574378967285
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,ckdn,False,5,0.005707979202270508,0.3032573163509369
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,ckdn,False,0,0.006568431854248047,0.45965468883514404
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,ckdn,False,7,0.005821943283081055,0.2320636808872223
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,ckdn,False,10,0.005673646926879883,0.24153360724449158
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,ckdn,False,5,0.005487918853759766,0.33614274859428406
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,ckdn,False,1,0.0059926509857177734,0.5711098909378052
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,ckdn,False,7,0.005611896514892578,0.26694679260253906
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,ckdn,False,10,0.005539655685424805,0.20879966020584106
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,ckdn,False,3,0.005574703216552734,0.39690613746643066
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,ckdn,False,15,0.0057086944580078125,0.22208815813064575
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,ckdn,False,3,0.00577998161315918,0.39155060052871704
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,ckdn,False,0,0.006418943405151367,0.5651718378067017
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,ckdn,False,10,0.005605936050415039,0.2351604551076889
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,ckdn,False,0,0.006691932678222656,0.4928566813468933
