dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,cw_ssim,False,5,0.05886387825012207,0.9793744888643815
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,cw_ssim,False,1,0.05887126922607422,0.9973633474443793
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,cw_ssim,False,3,0.058829307556152344,0.9937906856640291
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,cw_ssim,False,7,0.05876803398132324,0.9699033489125782
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,cw_ssim,False,7,0.05878329277038574,0.9458687410964924
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,cw_ssim,False,1,0.05904078483581543,0.9988247012133653
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,cw_ssim,False,10,0.05877804756164551,0.7177867899435005
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,cw_ssim,False,5,0.058602094650268555,0.9537998701156158
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,cw_ssim,False,3,0.058775901794433594,0.989913934376192
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,cw_ssim,False,3,0.059018611907958984,0.9964734112857752
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,cw_ssim,False,7,0.05852365493774414,0.9447549701974508
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,cw_ssim,False,10,0.05859041213989258,0.7169064287902106
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,cw_ssim,False,5,0.058835744857788086,0.9713401008111865
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,cw_ssim,False,1,0.05880022048950195,0.9991557976302285
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,cw_ssim,False,7,0.05884671211242676,0.9274096076732976
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,cw_ssim,False,10,0.05869626998901367,0.7562713060549293
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,cw_ssim,False,15,0.05868959426879883,0.3261583761762963
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,cw_ssim,False,10,0.05881190299987793,0.7046371909798843
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,cw_ssim,False,1,0.05881357192993164,0.9985605905111181
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,cw_ssim,False,7,0.0589141845703125,0.8811184058612715
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,cw_ssim,False,15,0.05848979949951172,0.4077156361041585
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,cw_ssim,False,7,0.058664560317993164,0.8922927459839634
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,cw_ssim,False,5,0.05864739418029785,0.9742861152359701
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,cw_ssim,False,0,0.05974006652832031,0.9648416585874735
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,cw_ssim,False,7,0.058867454528808594,0.9013119054586343
