dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,dists,True,5,0.010091066360473633,0.3552591800689697
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,dists,True,1,0.01007390022277832,0.1423732042312622
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,dists,True,3,0.009942770004272461,0.3144381046295166
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,dists,True,7,0.009734630584716797,0.381263792514801
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,dists,True,7,0.009629487991333008,0.34126293659210205
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,dists,True,1,0.009881019592285156,0.1262006163597107
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,dists,True,10,0.009702444076538086,0.42941439151763916
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,dists,True,5,0.009409666061401367,0.3664973974227905
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,dists,True,3,0.009594440460205078,0.364742636680603
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,dists,True,3,0.009783744812011719,0.29579901695251465
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,dists,True,7,0.009612560272216797,0.3736869692802429
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,dists,True,10,0.009427785873413086,0.4680277109146118
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,dists,True,5,0.009717464447021484,0.3660431504249573
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,dists,True,1,0.009706735610961914,0.17672479152679443
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,dists,True,7,0.0096588134765625,0.37382060289382935
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,dists,True,10,0.009469747543334961,0.41876018047332764
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,dists,True,15,0.00965738296508789,0.5269178152084351
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,dists,True,10,0.009578704833984375,0.4496181607246399
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,dists,True,1,0.009706735610961914,0.12967491149902344
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,dists,True,7,0.009614706039428711,0.41154032945632935
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,dists,True,15,0.00944209098815918,0.5396575927734375
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,dists,True,7,0.009490966796875,0.4069773554801941
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,dists,True,5,0.009601116180419922,0.4023851156234741
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,dists,True,0,0.01045846939086914,0.06865876913070679
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,dists,True,7,0.009833812713623047,0.4432339072227478
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,dists,True,10,0.00955343246459961,0.5097250938415527
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,dists,True,5,0.009385347366333008,0.3475484848022461
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,dists,True,1,0.009904861450195312,0.15610194206237793
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,dists,True,7,0.009528160095214844,0.4030013084411621
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,dists,True,10,0.009468793869018555,0.45956093072891235
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,dists,True,3,0.009478569030761719,0.29966872930526733
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,dists,True,15,0.009601116180419922,0.5234789848327637
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,dists,True,3,0.009720802307128906,0.25455278158187866
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,dists,True,0,0.010315656661987305,0.01635885238647461
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,dists,True,10,0.00953364372253418,0.44838786125183105
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,dists,True,0,0.010509729385375977,0.0760810375213623
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,dists,True,1,0.00959634780883789,0.12147480249404907
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,dists,True,7,0.009469032287597656,0.3262639045715332
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,dists,True,15,0.009688615798950195,0.5240691900253296
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,dists,True,10,0.009615421295166016,0.42513924837112427
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,dists,True,15,0.009462833404541016,0.5473685264587402
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,dists,True,7,0.009379863739013672,0.35885554552078247
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,dists,True,1,0.009406328201293945,0.14642983675003052
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,dists,True,1,0.009994745254516602,0.10983628034591675
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,dists,True,5,0.009599924087524414,0.3507157564163208
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,dists,True,7,0.009723901748657227,0.40602266788482666
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,dists,True,0,0.010482311248779297,0.009090065956115723
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,dists,True,0,0.010727167129516602,0.03112882375717163
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,dists,True,5,0.009657621383666992,0.3825804591178894
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,dists,True,0,0.010513067245483398,0.028826475143432617
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,dists,True,3,0.009789466857910156,0.31460893154144287
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,dists,True,10,0.009545326232910156,0.40147626399993896
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,dists,True,15,0.009371757507324219,0.454473078250885
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,dists,True,3,0.009650707244873047,0.29168593883514404
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,dists,True,7,0.009226799011230469,0.3147391676902771
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,dists,True,15,0.009718656539916992,0.5104084014892578
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,dists,True,1,0.009985208511352539,0.13424909114837646
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,dists,True,0,0.010534524917602539,0.0019316673278808594
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,dists,True,3,0.00986790657043457,0.3383936285972595
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,dists,True,15,0.009409189224243164,0.5202896595001221
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,dists,True,0,0.01024627685546875,0.008585035800933838
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,dists,True,10,0.009619474411010742,0.4347255825996399
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,dists,True,10,0.009632349014282227,0.41797947883605957
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,dists,True,3,0.009485721588134766,0.3206031918525696
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,dists,True,5,0.009546995162963867,0.35325801372528076
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,dists,True,3,0.009444236755371094,0.28667551279067993
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,dists,True,15,0.009668350219726562,0.5037121176719666
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,dists,True,0,0.010530471801757812,0.008810043334960938
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,dists,True,1,0.009852886199951172,0.13469713926315308
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,dists,True,1,0.009999752044677734,0.09017622470855713
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,dists,True,1,0.009523630142211914,0.17529332637786865
