dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,fsim,False,5,0.0118210315704345,0.6554206609725952
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,fsim,False,1,0.0116119384765625,0.9162279963493348
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,fsim,False,3,0.011467695236206,0.836829423904419
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,fsim,False,7,0.0113959312438964,0.699353039264679
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,fsim,False,7,0.0112524032592773,0.767659604549408
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,fsim,False,1,0.0116736888885498,0.9395989775657654
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,fsim,False,10,0.0114591121673583,0.7012878656387329
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,fsim,False,5,0.0113337039947509,0.6937451958656311
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,fsim,False,3,0.0114276409149169,0.593965470790863
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,fsim,False,3,0.0114519596099853,0.8104060888290405
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,fsim,False,7,0.0114276409149169,0.7272761464118958
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,fsim,False,10,0.0111193656921386,0.4149024188518524
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,fsim,False,5,0.0115365982055664,0.6402857303619385
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,fsim,False,1,0.0114343166351318,0.8911397457122803
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,fsim,False,7,0.0113399028778076,0.6717150211334229
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,fsim,False,10,0.0111646652221679,0.67024165391922
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,fsim,False,15,0.0113389492034912,0.4203627407550812
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,fsim,False,10,0.0114390850067138,0.534433126449585
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,fsim,False,1,0.0113930702209472,0.9136152267456056
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,fsim,False,7,0.0114369392395019,0.6064247488975525
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,fsim,False,15,0.0112993717193603,0.5613824725151062
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,fsim,False,7,0.0111804008483886,0.6374053955078125
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,fsim,False,5,0.011329174041748,0.5819897651672363
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,fsim,False,0,0.0122969150543212,0.9999998211860656
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,fsim,False,7,0.0114138126373291,0.5557286739349365
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,fsim,False,10,0.0113370418548583,0.5524150133132935
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,fsim,False,5,0.0111913681030273,0.6429746150970459
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,fsim,False,1,0.0116519927978515,0.9078001976013184
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,fsim,False,7,0.0112974643707275,0.5688352584838867
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,fsim,False,10,0.01123046875,0.5217786431312561
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,fsim,False,3,0.0111398696899414,0.6798465251922607
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,fsim,False,15,0.0112833976745605,0.5437493324279785
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,fsim,False,3,0.0113608837127685,0.8349513411521912
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,fsim,False,0,0.0116229057312011,0.9999998211860656
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,fsim,False,10,0.0114436149597167,0.5235887765884399
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,fsim,False,0,0.0118854045867919,0.9999999403953552
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,fsim,False,1,0.011357307434082,0.9226998686790466
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,fsim,False,7,0.0112919807434082,0.6800107359886169
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,fsim,False,15,0.0114948749542236,0.4106757640838623
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,fsim,False,10,0.0113415718078613,0.5967604517936707
