dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,gmsd,True,5,0.0032010078430175,0.2687640786170959
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,gmsd,True,1,0.0029666423797607,0.064189538359642
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,gmsd,True,3,0.0028965473175048,0.1043474599719047
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,gmsd,True,7,0.002861738204956,0.2732477486133575
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,gmsd,True,7,0.0028345584869384,0.1899073123931884
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,gmsd,True,1,0.0030725002288818,0.0308550279587507
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,gmsd,True,10,0.0028913021087646,0.2612926661968231
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,gmsd,True,5,0.0026779174804687,0.2653190791606903
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,gmsd,True,3,0.0028142929077148,0.1802556067705154
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,gmsd,True,3,0.0029621124267578,0.1376246958971023
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,gmsd,True,7,0.0027821063995361,0.2345091998577118
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,gmsd,True,10,0.0026750564575195,0.3122986257076263
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,gmsd,True,5,0.0029096603393554,0.2424779832363128
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,gmsd,True,1,0.0029425621032714,0.0800942629575729
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,gmsd,True,7,0.0028786659240722,0.2398471236228943
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,gmsd,True,10,0.0027120113372802,0.2817789912223816
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,gmsd,True,15,0.0027670860290527,0.3171363770961761
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,gmsd,True,10,0.0028038024902343,0.297027587890625
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,gmsd,True,1,0.0028886795043945,0.0576258189976215
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,gmsd,True,7,0.0028412342071533,0.2899675071239471
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,gmsd,True,15,0.0026805400848388,0.3159300684928894
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,gmsd,True,7,0.002659797668457,0.2821980118751526
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,gmsd,True,5,0.0028185844421386,0.2240847796201706
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,gmsd,True,0,0.0032954216003417,0.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,gmsd,True,7,0.0029420852661132,0.2860921621322632
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,gmsd,True,10,0.0027544498443603,0.2900127470493316
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,gmsd,True,5,0.002652883529663,0.2530147135257721
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,gmsd,True,1,0.0030772686004638,0.0510934740304946
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,gmsd,True,7,0.0027656555175781,0.3085167109966278
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,gmsd,True,10,0.0027096271514892,0.3208503425121307
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,gmsd,True,3,0.0027170181274414,0.1833942234516143
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,gmsd,True,15,0.0028197765350341,0.3219204545021057
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,gmsd,True,3,0.0028445720672607,0.1593795716762542
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,gmsd,True,0,0.0031678676605224,0.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,gmsd,True,10,0.0028340816497802,0.2825637459754944
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,gmsd,True,0,0.0033245086669921,0.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,gmsd,True,1,0.002826452255249,0.0977763831615448
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,gmsd,True,7,0.0027234554290771,0.2718360722064972
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,gmsd,True,15,0.0028886795043945,0.3117730021476745
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,gmsd,True,10,0.0028188228607177,0.3027958869934082
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,gmsd,True,15,0.0027000904083251,0.3455307781696319
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,gmsd,True,7,0.0026330947875976,0.2636190056800842
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,gmsd,True,1,0.0026557445526123,0.0530138649046421
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,gmsd,True,1,0.0030720233917236,0.0694672986865043
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,gmsd,True,5,0.0028047561645507,0.2459400445222854
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,gmsd,True,7,0.0029361248016357,0.2642588317394256
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,gmsd,True,0,0.0032629966735839,0.0
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,gmsd,True,0,0.0034868717193603,0.0
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,gmsd,True,5,0.0028448104858398,0.2589176297187805
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,gmsd,True,0,0.0033254623413085,0.0
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,gmsd,True,3,0.0029973983764648,0.1572505980730056
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,gmsd,True,10,0.0027875900268554,0.2595832049846649
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,gmsd,True,15,0.0026381015777587,0.2455849349498748
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,gmsd,True,3,0.0028638839721679,0.1449645310640335
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,gmsd,True,7,0.0024693012237548,0.3461517691612243
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,gmsd,True,15,0.0028562545776367,0.2822824120521545
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,gmsd,True,1,0.0031430721282958,0.061011504381895
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,gmsd,True,0,0.0033056735992431,0.0
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,gmsd,True,3,0.0030388832092285,0.1793961971998214
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,gmsd,True,15,0.0025904178619384,0.29249307513237
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,gmsd,True,0,0.0031425952911376,0.0
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,gmsd,True,10,0.0028297901153564,0.2550556361675262
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,gmsd,True,10,0.0028572082519531,0.2982949912548065
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,gmsd,True,3,0.002662181854248,0.2086374908685684
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,gmsd,True,5,0.0027947425842285,0.2097440361976623
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,gmsd,True,3,0.0026395320892333,0.1394943445920944
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,gmsd,True,15,0.0028634071350097,0.2868601977825165
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,gmsd,True,0,0.0033180713653564,0.0
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,gmsd,True,1,0.0030446052551269,0.0509134009480476
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,gmsd,True,1,0.0031821727752685,0.0686093419790268
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,gmsd,True,1,0.0027799606323242,0.0499026253819465
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,gmsd,True,15,0.0028276443481445,0.2852648794651031
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,gmsd,True,5,0.002941608428955,0.2233672142028808
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,gmsd,True,15,0.0027635097503662,0.2902669906616211
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,gmsd,True,3,0.0026412010192871,0.2370631396770477
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,gmsd,True,10,0.0026459693908691,0.2978099584579468
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,gmsd,True,15,0.0028445720672607,0.3039687871932983
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,gmsd,True,3,0.0029816627502441,0.1696172058582306
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,gmsd,True,0,0.0028939247131347,0.0
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,gmsd,True,15,0.0026028156280517,0.3187617659568786
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,gmsd,True,5,0.0027112960815429,0.2045064866542816
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,gmsd,True,5,0.0029077529907226,0.2233941256999969
