dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,lpips-vgg,True,5,0.0071923732757568,0.5112264752388
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,lpips-vgg,True,1,0.0071330070495605,0.2034092843532562
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,lpips-vgg,True,3,0.0070617198944091,0.5087541341781616
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips-vgg,True,7,0.0070550441741943,0.5267844200134277
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,lpips-vgg,True,7,0.0070099830627441,0.4789203405380249
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,lpips-vgg,True,1,0.0072450637817382,0.2057915925979614
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,lpips-vgg,True,10,0.0070526599884033,0.5943320393562317
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,lpips-vgg,True,5,0.0068504810333251,0.5084563493728638
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,lpips-vgg,True,3,0.0070021152496337,0.6824695467948914
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,lpips-vgg,True,3,0.0071361064910888,0.4453103542327881
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips-vgg,True,7,0.0069468021392822,0.5031295418739319
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,lpips-vgg,True,10,0.0068721771240234,0.7794119119644165
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,lpips-vgg,True,5,0.0070955753326416,0.5937066078186035
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,lpips-vgg,True,1,0.0070953369140625,0.2635402679443359
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,lpips-vgg,True,7,0.0071430206298828,0.6339656114578247
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,lpips-vgg,True,10,0.0069243907928466,0.5982781052589417
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips-vgg,True,15,0.0069668292999267,0.8443635106086731
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,lpips-vgg,True,10,0.0070552825927734,0.674997091293335
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,lpips-vgg,True,1,0.0072758197784423,0.1588746160268783
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,lpips-vgg,True,7,0.0070676803588867,0.6412444710731506
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips-vgg,True,15,0.0068864822387695,0.7573230266571045
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,lpips-vgg,True,7,0.0068554878234863,0.626706063747406
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips-vgg,True,5,0.0069911479949951,0.716873288154602
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,lpips-vgg,True,0,0.0074818134307861,0.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,lpips-vgg,True,7,0.0071334838867187,0.6629797220230103
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,lpips-vgg,True,10,0.0069477558135986,0.7016437649726868
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,lpips-vgg,True,5,0.0068237781524658,0.6208662986755371
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,lpips-vgg,True,1,0.0072596073150634,0.2288271188735962
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,lpips-vgg,True,7,0.0069341659545898,0.580715537071228
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,lpips-vgg,True,10,0.0069501399993896,0.6987643241882324
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,lpips-vgg,True,3,0.0068867206573486,0.5038439035415649
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,lpips-vgg,True,15,0.0069875717163085,0.7706119418144226
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,lpips-vgg,True,3,0.0070295333862304,0.3925950825214386
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,lpips-vgg,True,0,0.0073354244232177,0.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,lpips-vgg,True,10,0.0069251060485839,0.7847572565078735
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,lpips-vgg,True,0,0.0074799060821533,0.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,lpips-vgg,True,1,0.0069983005523681,0.2054610550403595
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,lpips-vgg,True,7,0.006892442703247,0.5259237289428711
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,lpips-vgg,True,15,0.0069150924682617,0.8189077377319336
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,lpips-vgg,True,10,0.006692886352539,0.645097017288208
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,lpips-vgg,True,15,0.0065538883209228,0.7420480251312256
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,lpips-vgg,True,7,0.0064570903778076,0.5642335414886475
