dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,lpips,True,5,0.0050737857818603516,0.6619042754173279
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,lpips,True,1,0.004775047302246094,0.08437246084213257
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,lpips,True,3,0.00460505485534668,0.45763537287712097
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips,True,7,0.004589557647705078,0.6661238074302673
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,lpips,True,7,0.004526376724243164,0.48981526494026184
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,lpips,True,1,0.004778385162353516,0.08963248133659363
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,lpips,True,10,0.0045719146728515625,0.655386745929718
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,lpips,True,5,0.004366159439086914,0.5845781564712524
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,lpips,True,3,0.0045108795166015625,0.7622352242469788
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,lpips,True,3,0.004687786102294922,0.3685321807861328
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips,True,7,0.004444599151611328,0.4475215971469879
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,lpips,True,10,0.004615068435668945,0.8633606433868408
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,lpips,True,5,0.004637002944946289,0.6747039556503296
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,lpips,True,1,0.004628658294677734,0.1513058841228485
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,lpips,True,7,0.00459742546081543,0.6117898225784302
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,lpips,True,10,0.004393815994262695,0.6647884845733643
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips,True,15,0.004471778869628906,0.9263758063316345
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,lpips,True,10,0.004477500915527344,0.8340940475463867
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,lpips,True,1,0.0046100616455078125,0.06846816837787628
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,lpips,True,7,0.0045206546783447266,0.785073459148407
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips,True,15,0.0043528079986572266,0.8002001047134399
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,lpips,True,7,0.004427671432495117,0.69049072265625
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips,True,5,0.004536867141723633,0.7957289814949036
