dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,mad,True,5,0.10354208946228027,208.14939147503688
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,mad,True,1,0.10387921333312988,87.41890256499289
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,mad,True,3,0.10385513305664062,83.27421617111644
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,mad,True,7,0.10385799407958984,222.44064792986802
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,mad,True,7,0.10392069816589355,165.02369342912525
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,mad,True,1,0.1042177677154541,47.402653723347555
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,mad,True,10,0.10403227806091309,221.456492801629
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,mad,True,5,0.1037445068359375,186.1147146807894
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,mad,True,3,0.10386395454406738,138.347565221477
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,mad,True,3,0.10412931442260742,142.0219769400444
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,mad,True,7,0.10383844375610352,190.59830072455478
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,mad,True,10,0.10377764701843262,243.54582035786035
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,mad,True,5,0.10401105880737305,194.3326600272997
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,mad,True,1,0.10395336151123047,77.54391003263345
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,mad,True,7,0.10403990745544434,203.3671067832053
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,mad,True,10,0.10371780395507812,245.81447527183505
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,mad,True,15,0.10396718978881836,209.3253517392223
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,mad,True,10,0.10385751724243164,209.5808233679617
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,mad,True,1,0.10403943061828613,77.40051092202687
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,mad,True,7,0.10392570495605469,228.37814668933677
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,mad,True,15,0.10370206832885742,205.45969615048517
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,mad,True,7,0.10377955436706543,219.4284218361808
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,mad,True,5,0.1039583683013916,157.96859932905005
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,mad,True,0,0.10478878021240234,35.96252558327965
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,mad,True,7,0.10398507118225098,199.0748445496104
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,mad,True,10,0.10382246971130371,202.91356975764702
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,mad,True,5,0.10381436347961426,143.14272928597364
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,mad,True,1,0.10420036315917969,53.08493808223213
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,mad,True,7,0.10382246971130371,254.89321051225411
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,mad,True,10,0.10390138626098633,265.03533931478273
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,mad,True,3,0.10381555557250977,150.50769316462782
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,mad,True,15,0.10389256477355957,268.07396114985187
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,mad,True,3,0.10398554801940918,141.18744825744605
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,mad,True,0,0.10462665557861328,10.890302526649567
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,mad,True,10,0.10383939743041992,197.50141140882965
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,mad,True,0,0.10485959053039551,47.90112071291788
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,mad,True,1,0.10400104522705078,88.03045096668258
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,mad,True,7,0.1037592887878418,222.8970581522167
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,mad,True,15,0.10407137870788574,229.18785124325032
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,mad,True,10,0.10391926765441895,225.32451559373584
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,mad,True,15,0.10392332077026367,245.7850660122199
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,mad,True,7,0.10370135307312012,253.41608731873782
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,mad,True,1,0.10370922088623047,68.23286716382455
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,mad,True,1,0.10432648658752441,58.42331099131807
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,mad,True,5,0.10392093658447266,211.20245536171598
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,mad,True,7,0.10422992706298828,224.9452962300145
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,mad,True,0,0.10475015640258789,10.164934899339027
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,mad,True,0,0.10506224632263184,17.240722528850505
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,mad,True,5,0.1040494441986084,192.6270884726983
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,mad,True,0,0.10488009452819824,37.71198869215404
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,mad,True,3,0.10427069664001465,139.1661809073119
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,mad,True,10,0.10388875007629395,211.89856157724194
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,mad,True,15,0.10373997688293457,209.06367166600367
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,mad,True,3,0.10397100448608398,162.24398301891395
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,mad,True,7,0.10351133346557617,178.20652737893806
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,mad,True,15,0.10397887229919434,198.5070836663473
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,mad,True,1,0.10425972938537598,71.60066244361843
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,mad,True,0,0.10477709770202637,0.7491149015112183
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,mad,True,3,0.10420727729797363,162.60017575814132
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,mad,True,15,0.10370278358459473,211.1790822095627
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,mad,True,0,0.10455727577209473,6.070851350185835
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,mad,True,10,0.10391831398010254,160.29815572722913
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,mad,True,10,0.10393118858337402,216.1945906520978
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,mad,True,3,0.1035614013671875,155.1216781845178
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,mad,True,5,0.10393023490905762,152.3659604906891
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,mad,True,3,0.10365796089172363,179.90469850987876
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,mad,True,15,0.10403800010681152,216.56036549251252
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,mad,True,0,0.10488605499267578,5.3972860942818714
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,mad,True,1,0.10419440269470215,56.74476728063104
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,mad,True,1,0.1043398380279541,61.1663941051074
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,mad,True,1,0.10383987426757812,95.86763608737688
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,mad,True,15,0.10397839546203613,192.24419765883079
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,mad,True,5,0.10403919219970703,206.77543724461034
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,mad,True,15,0.10377240180969238,231.8408316157524
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,mad,True,3,0.1036369800567627,238.11922190482713
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,mad,True,10,0.10365939140319824,230.9989727505447
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,mad,True,15,0.1039884090423584,242.5370161135982
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,mad,True,3,0.10402965545654297,176.3655444911125
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,mad,True,0,0.10428166389465332,8.808160067594667
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,mad,True,15,0.10363006591796875,251.64934078411073
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,mad,True,5,0.10371565818786621,194.97550466598113
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,mad,True,5,0.1040947437286377,187.34517844736402
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,mad,True,10,0.1038506031036377,208.78937614793267
deblurred_pmp3_lambda0,0091_lp_dnn_3_boat_10_n03662601_1427,mad,True,3,0.10370612144470215,149.65200676665856
deblurred_pmp3_lambda0,0092_lp_dnn_5_boat_10_n04612504_15944,mad,True,5,0.10403084754943848,187.77914112995055
deblurred_pmp3_lambda0,0094_lp_dnn_7_elephant_10_n02504458_1848,mad,True,7,0.10509037971496582,191.41991323678212
deblurred_pmp3_lambda0,0095_lp_dnn_5_oven_10_n04111531_4155,mad,True,5,0.10407185554504395,220.4621829851211
deblurred_pmp3_lambda0,0096_lp_dnn_0_car_10_n03100240_8327,mad,True,0,0.10477089881896973,3.385345244244697
deblurred_pmp3_lambda0,0097_lp_dnn_0_chair_10_n04429376_24319,mad,True,0,0.10476469993591309,13.165030712851479
