dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,ms_ssim,False,5,0.009270429611206,0.8241443981225527
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,ms_ssim,False,1,0.0092580318450927,0.9794618641978744
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,ms_ssim,False,3,0.0091884136199951,0.9505683316427762
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,ms_ssim,False,7,0.0091638565063476,0.7951056348912362
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,ms_ssim,False,7,0.0091493129730224,0.8660233708655636
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,ms_ssim,False,1,0.0093538761138916,0.9848587295632316
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,ms_ssim,False,10,0.0091567039489746,0.6757703167347886
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,ms_ssim,False,5,0.0089471340179443,0.8247455491693796
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,ms_ssim,False,3,0.0091063976287841,0.7825073745929827
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,ms_ssim,False,3,0.009263277053833,0.9279726894027788
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,ms_ssim,False,7,0.0091533660888671,0.8684993896426717
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,ms_ssim,False,10,0.0089838504791259,0.5093820894047252
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,ms_ssim,False,5,0.009202241897583,0.810766362580463
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,ms_ssim,False,1,0.0092191696166992,0.9701988752004695
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,ms_ssim,False,7,0.0091843605041503,0.7849365213106113
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,ms_ssim,False,10,0.0090138912200927,0.7564068713347986
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,ms_ssim,False,15,0.0090727806091308,0.4377516331137864
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,ms_ssim,False,10,0.0090882778167724,0.5113931794736197
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,ms_ssim,False,1,0.0091981887817382,0.9787913273955394
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,ms_ssim,False,7,0.0091192722320556,0.648416292103499
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,ms_ssim,False,15,0.0089814662933349,0.546883572183208
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,ms_ssim,False,7,0.009063720703125,0.76951124160601
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,ms_ssim,False,5,0.0091197490692138,0.7710690203582108
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,ms_ssim,False,0,0.0095918178558349,1.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,ms_ssim,False,7,0.0092456340789794,0.6457055772813383
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,ms_ssim,False,10,0.0090706348419189,0.4992598138137279
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,ms_ssim,False,5,0.0089211463928222,0.7934660514573253
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,ms_ssim,False,1,0.0093653202056884,0.9738661032610824
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,ms_ssim,False,7,0.0090458393096923,0.6500076791808646
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,ms_ssim,False,10,0.0089964866638183,0.4410589726887299
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,ms_ssim,False,3,0.0089924335479736,0.8945990567807707
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,ms_ssim,False,15,0.0091338157653808,0.4401406648816173
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,ms_ssim,False,3,0.009232759475708,0.9637866380972944
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,ms_ssim,False,0,0.0094389915466308,1.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,ms_ssim,False,10,0.0090737342834472,0.6159491497990361
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,ms_ssim,False,0,0.009615421295166,1.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,ms_ssim,False,1,0.0091135501861572,0.9932044980422298
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,ms_ssim,False,7,0.009012222290039,0.751659684089162
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,ms_ssim,False,15,0.009181261062622,0.4331497687859088
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,ms_ssim,False,10,0.0091300010681152,0.575638371482044
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,ms_ssim,False,15,0.0089845657348632,0.5974354878344706
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,ms_ssim,False,7,0.0089385509490966,0.8233426283539942
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,ms_ssim,False,1,0.0089612007141113,0.9903061698577592
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,ms_ssim,False,1,0.009465217590332,0.9742938458884552
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,ms_ssim,False,5,0.009089708328247,0.8394117287648221
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,ms_ssim,False,7,0.0092346668243408,0.7506653793714543
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,ms_ssim,False,0,0.0095579624176025,1.0
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,ms_ssim,False,0,0.0097467899322509,1.0
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,ms_ssim,False,5,0.0091543197631835,0.7930356925659561
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,ms_ssim,False,0,0.0096137523651123,1.0
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,ms_ssim,False,3,0.0092873573303222,0.9037048417512988
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,ms_ssim,False,10,0.0090994834899902,0.7254827469580183
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,ms_ssim,False,15,0.0089178085327148,0.7190780322595992
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,ms_ssim,False,3,0.0091533660888671,0.940506059287876
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,ms_ssim,False,7,0.0088765621185302,0.5744594730508301
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,ms_ssim,False,15,0.0091650485992431,0.561427294732361
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,ms_ssim,False,1,0.0094485282897949,0.958464201675584
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,ms_ssim,False,0,0.0095899105072021,1.0
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,ms_ssim,False,3,0.0093445777893066,0.8197235934334425
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,ms_ssim,False,15,0.0088710784912109,0.6668092721445217
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,ms_ssim,False,0,0.0094575881958007,1.0
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,ms_ssim,False,10,0.0091471672058105,0.6731931879349216
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,ms_ssim,False,10,0.0092370510101318,0.6365274100485211
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,ms_ssim,False,3,0.0090143680572509,0.9312698032755624
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,ms_ssim,False,5,0.0090975761413574,0.8874258320142162
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,ms_ssim,False,3,0.0090472698211669,0.9292856833559332
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,ms_ssim,False,15,0.0091636180877685,0.4741068767396462
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,ms_ssim,False,0,0.009601354598999,1.0
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,ms_ssim,False,1,0.0093412399291992,0.9871474620546238
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,ms_ssim,False,1,0.0093722343444824,0.9867291671314132
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,ms_ssim,False,1,0.0090751647949218,0.965973461474022
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,ms_ssim,False,15,0.0091335773468017,0.5193470305676873
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,ms_ssim,False,5,0.009225845336914,0.8124221648373274
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,ms_ssim,False,15,0.0090699195861816,0.5144387568776327
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,ms_ssim,False,3,0.0089373588562011,0.8989259227388304
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,ms_ssim,False,10,0.0089435577392578,0.6641892589020465
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,ms_ssim,False,15,0.0092203617095947,0.5387032347475461
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,ms_ssim,False,3,0.0092966556549072,0.9232397175806254
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,ms_ssim,False,0,0.0091934204101562,1.0
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,ms_ssim,False,15,0.0089111328125,0.4109372563639224
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,ms_ssim,False,5,0.0090007781982421,0.8658658193402701
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,ms_ssim,False,5,0.0092270374298095,0.8190569912904971
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,ms_ssim,False,10,0.0090696811676025,0.6304097731337996
deblurred_pmp3_lambda0,0091_lp_dnn_3_boat_10_n03662601_1427,ms_ssim,False,3,0.0089688301086425,0.8829768235677556
deblurred_pmp3_lambda0,0092_lp_dnn_5_boat_10_n04612504_15944,ms_ssim,False,5,0.009228229522705,0.7752764961100111
deblurred_pmp3_lambda0,0094_lp_dnn_7_elephant_10_n02504458_1848,ms_ssim,False,7,0.0092082023620605,0.7429929974170751
deblurred_pmp3_lambda0,0095_lp_dnn_5_oven_10_n04111531_4155,ms_ssim,False,5,0.009068489074707,0.7926621884769831
deblurred_pmp3_lambda0,0096_lp_dnn_0_car_10_n03100240_8327,ms_ssim,False,0,0.0096771717071533,1.0
deblurred_pmp3_lambda0,0097_lp_dnn_0_chair_10_n04429376_24319,ms_ssim,False,0,0.0095918178558349,1.0
deblurred_pmp3_lambda0,0098_lp_dnn_3_chair_10_n03376595_5112,ms_ssim,False,3,0.0091426372528076,0.8664556699196226
deblurred_pmp3_lambda0,0099_lp_dnn_1_cat_10_n02124075_2268,ms_ssim,False,1,0.0093653202056884,0.9692158578789272
deblurred_pmp3_lambda0,0100_lp_dnn_3_boat_10_n04273569_1137,ms_ssim,False,3,0.0095438957214355,0.906120496032678
deblurred_pmp3_lambda0,0101_lp_dnn_1_chair_10_n02791124_15383,ms_ssim,False,1,0.0093147754669189,0.981783523424736
deblurred_pmp3_lambda0,0102_lp_dnn_15_clock_10_n04548280_8998,ms_ssim,False,15,0.008876085281372,0.7473094560291105
deblurred_pmp3_lambda0,0103_lp_dnn_0_dog_10_n02097047_2800,ms_ssim,False,0,0.0096063613891601,1.0
deblurred_pmp3_lambda0,0104_lp_dnn_15_bicycle_10_n03792782_18294,ms_ssim,False,15,0.0091149806976318,0.3670858807578597
deblurred_pmp3_lambda0,0105_lp_dnn_0_elephant_10_n02504013_24486,ms_ssim,False,0,0.0094280242919921,1.0
deblurred_pmp3_lambda0,0106_lp_dnn_7_airplane_10_n02690373_2923,ms_ssim,False,7,0.0090367794036865,0.7560645973517127
deblurred_pmp3_lambda0,0107_lp_dnn_3_airplane_10_n02690373_15392,ms_ssim,False,3,0.0089845657348632,0.9362164865903548
deblurred_pmp3_lambda0,0108_lp_dnn_5_oven_10_n04111531_6080,ms_ssim,False,5,0.0092170238494873,0.8561600624095536
deblurred_pmp3_lambda0,0109_lp_dnn_15_bear_10_n02134084_22736,ms_ssim,False,15,0.0090374946594238,0.5959119121040569
deblurred_pmp3_lambda0,0110_lp_dnn_1_knife_10_n03041632_33326,ms_ssim,False,1,0.0093224048614501,0.9763216607226748
deblurred_pmp3_lambda0,0113_lp_dnn_7_bicycle_10_n03792782_5416,ms_ssim,False,7,0.0092480182647705,0.5874700586849202
deblurred_pmp3_lambda0,0114_lp_dnn_7_knife_10_n03041632_25772,ms_ssim,False,7,0.0092532634735107,0.5327273976551201
deblurred_pmp3_lambda0,0115_lp_dnn_10_bicycle_10_n03792782_7108,ms_ssim,False,10,0.0091567039489746,0.5436516583842953
deblurred_pmp3_lambda0,0116_lp_dnn_0_chair_10_n03376595_1981,ms_ssim,False,0,0.0096509456634521,1.0
deblurred_pmp3_lambda0,0117_lp_dnn_15_oven_10_n04111531_6508,ms_ssim,False,15,0.0091392993927001,0.547082741284233
deblurred_pmp3_lambda0,0118_lp_dnn_15_bird_10_n01843383_2843,ms_ssim,False,15,0.0091018676757812,0.4034525326079465
deblurred_pmp3_lambda0,0119_lp_dnn_5_cat_10_n02123597_5887,ms_ssim,False,5,0.0092580318450927,0.8890743628346552
deblurred_pmp3_lambda0,0121_lp_dnn_1_bird_10_n01530575_10332,ms_ssim,False,1,0.0093357563018798,0.985295226474512
