dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,nlpd,True,5,0.0105671882629394,0.6258162260055542
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,nlpd,True,1,0.010716438293457,0.2376303076744079
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,nlpd,True,3,0.0105419158935546,0.3118824958801269
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,nlpd,True,7,0.0104994773864746,0.6233658194541931
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,nlpd,True,7,0.0104756355285644,0.4033360481262207
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,nlpd,True,1,0.0107014179229736,0.1965115070343017
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,nlpd,True,10,0.0104916095733642,0.6473274827003479
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,nlpd,True,5,0.0102999210357666,0.5497922301292419
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,nlpd,True,3,0.0104572772979736,0.5507910251617432
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,nlpd,True,3,0.0106849670410156,0.3941324353218078
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,nlpd,True,7,0.0104241371154785,0.5143479108810425
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,nlpd,True,10,0.0102918148040771,0.8780052661895752
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,nlpd,True,5,0.0105748176574707,0.6255846619606018
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,nlpd,True,1,0.0105583667755126,0.3080843389034271
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,nlpd,True,7,0.0105268955230712,0.6571948528289795
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,nlpd,True,10,0.010378360748291,0.6650577187538147
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,nlpd,True,15,0.0104124546051025,0.8804673552513123
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,nlpd,True,10,0.0104367733001708,0.8522791862487793
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,nlpd,True,1,0.0105645656585693,0.2007879614830017
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,nlpd,True,7,0.0105841159820556,0.7465102076530457
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,nlpd,True,15,0.0103535652160644,0.5812276005744934
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,nlpd,True,7,0.010303258895874,0.6532600522041321
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,nlpd,True,5,0.0104358196258544,0.6154347658157349
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,nlpd,True,0,0.0110619068145751,0.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,nlpd,True,7,0.0105886459350585,0.7614571452140808
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,nlpd,True,10,0.010406494140625,0.6298009157180786
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,nlpd,True,5,0.010390281677246,0.4908998608589172
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,nlpd,True,1,0.0108513832092285,0.263429194688797
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,nlpd,True,7,0.010401964187622,0.7572864294052124
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,nlpd,True,10,0.0104143619537353,0.8861286044120789
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,nlpd,True,3,0.0103521347045898,0.4097025990486145
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,nlpd,True,15,0.0104703903198242,0.8916785717010498
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,nlpd,True,3,0.0104842185974121,0.371350884437561
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,nlpd,True,0,0.0109241008758544,0.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,nlpd,True,10,0.010422945022583,0.7071239352226257
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,nlpd,True,0,0.0110764503479003,0.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,nlpd,True,1,0.0117819309234619,0.2252616882324218
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,nlpd,True,7,0.0106639862060546,0.6589511036872864
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,nlpd,True,15,0.010577917098999,0.9333243370056152
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,nlpd,True,10,0.0105884075164794,0.8277038335800171
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,nlpd,True,15,0.0103545188903808,0.6748174428939819
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,nlpd,True,7,0.0103135108947753,0.5092162489891052
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,nlpd,True,1,0.0103020668029785,0.1934740543365478
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,nlpd,True,1,0.010737657546997,0.2977277636528015
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,nlpd,True,5,0.0104343891143798,0.5292041301727295
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,nlpd,True,7,0.01055908203125,0.6593660712242126
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,nlpd,True,0,0.0110611915588378,0.0
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,nlpd,True,0,0.0111563205718994,0.0
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,nlpd,True,5,0.010244607925415,0.6582685708999634
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,nlpd,True,0,0.0110104084014892,0.0
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,nlpd,True,3,0.0105922222137451,0.4198903441429138
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,nlpd,True,10,0.0104172229766845,0.6559288501739502
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,nlpd,True,15,0.0102620124816894,0.5265288352966309
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,nlpd,True,3,0.0104296207427978,0.3802798688411712
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,nlpd,True,7,0.0101327896118164,0.6474283933639526
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,nlpd,True,15,0.010502815246582,0.7593110799789429
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,nlpd,True,1,0.0107936859130859,0.2900792360305786
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,nlpd,True,0,0.0111129283905029,0.0
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,nlpd,True,3,0.0107131004333496,0.5343069434165955
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,nlpd,True,15,0.0102810859680175,0.5824261903762817
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,nlpd,True,0,0.0109593868255615,0.0
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,nlpd,True,10,0.010498046875,0.6116258502006531
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,nlpd,True,10,0.0104837417602539,0.7470176219940186
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,nlpd,True,3,0.0102956295013427,0.4751320481300354
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,nlpd,True,5,0.0104365348815917,0.4464362561702728
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,nlpd,True,3,0.0102636814117431,0.2629930377006531
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,nlpd,True,15,0.0105164051055908,0.8548005819320679
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,nlpd,True,0,0.0110354423522949,0.0
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,nlpd,True,1,0.0104725360870361,0.2130775302648544
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,nlpd,True,1,0.0106513500213623,0.2518840432167053
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,nlpd,True,1,0.0103816986083984,0.1847879737615585
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,nlpd,True,15,0.0104408264160156,0.7381168603897095
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,nlpd,True,5,0.0105800628662109,0.5921291708946228
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,nlpd,True,15,0.010392427444458,0.8013863563537598
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,nlpd,True,3,0.0102732181549072,0.5498203039169312
