dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,pieapp,True,5,0.014451265335083,4.647299766540527
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,pieapp,True,1,0.0083370208740234,0.3414873480796814
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,pieapp,True,3,0.00809907913208,1.5505064725875854
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,pieapp,True,7,0.0080599784851074,5.493057727813721
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,pieapp,True,7,0.0080246925354003,3.423151016235352
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,pieapp,True,1,0.0082631111145019,0.4622291326522827
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,pieapp,True,10,0.0080866813659667,5.778022766113281
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,pieapp,True,5,0.0078787803649902,4.139970779418945
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,pieapp,True,3,0.0080292224884033,3.376448154449463
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,pieapp,True,3,0.0081748962402343,2.2874460220336914
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,pieapp,True,7,0.0079755783081054,5.9925971031188965
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,pieapp,True,10,0.0079565048217773,7.498646259307861
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,pieapp,True,5,0.0081305503845214,4.21446418762207
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,pieapp,True,1,0.0081222057342529,0.4437011778354645
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,pieapp,True,7,0.0080835819244384,4.1976728439331055
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,pieapp,True,10,0.0079143047332763,4.714158535003662
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,pieapp,True,15,0.0078876018524169,4.579274654388428
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,pieapp,True,10,0.008061408996582,6.011373519897461
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,pieapp,True,1,0.008113145828247,0.2683468163013458
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,pieapp,True,7,0.008002758026123,5.864794731140137
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,pieapp,True,15,0.0077557563781738,4.092116832733154
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,pieapp,True,7,0.0078551769256591,5.346733093261719
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,pieapp,True,5,0.0080294609069824,4.459473609924316
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,pieapp,True,0,0.0084438323974609,-1.862645149230957e-09
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,pieapp,True,7,0.0080714225769042,6.084309101104736
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,pieapp,True,10,0.0079500675201416,4.077000617980957
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,pieapp,True,5,0.0078446865081787,2.3703372478485107
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,pieapp,True,1,0.0082287788391113,0.6034054160118103
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,pieapp,True,7,0.0079090595245361,6.562294483184815
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,pieapp,True,10,0.0079128742218017,7.312839984893799
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,pieapp,True,3,0.0079061985015869,2.5809326171875
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,pieapp,True,15,0.0080344676971435,6.519817352294922
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,pieapp,True,3,0.0080499649047851,2.049718141555786
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,pieapp,True,0,0.0083427429199218,-1.862645149230957e-09
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,pieapp,True,10,0.0079619884490966,4.800570964813232
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,pieapp,True,0,0.0084927082061767,-1.862645149230957e-09
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,pieapp,True,1,0.0080373287200927,0.3101550936698913
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,pieapp,True,7,0.0080146789550781,8.54653549194336
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,pieapp,True,15,0.0080912113189697,5.693282127380371
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,pieapp,True,10,0.0080420970916748,5.674431800842285
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,pieapp,True,15,0.0079181194305419,4.578639030456543
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,pieapp,True,7,0.00783371925354,3.95057225227356
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,pieapp,True,1,0.0078747272491455,0.6281964182853699
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,pieapp,True,1,0.0082604885101318,0.6620392799377441
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,pieapp,True,5,0.0079867839813232,4.954291343688965
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,pieapp,True,7,0.0081102848052978,6.952969074249268
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,pieapp,True,0,0.0084316730499267,-1.862645149230957e-09
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,pieapp,True,0,0.0086374282836914,-1.862645149230957e-09
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,pieapp,True,5,0.0080201625823974,5.382534503936768
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,pieapp,True,0,0.0084848403930664,-1.862645149230957e-09
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,pieapp,True,3,0.008263349533081,2.785672903060913
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,pieapp,True,10,0.0079891681671142,4.586204051971436
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,pieapp,True,15,0.0078210830688476,4.244852542877197
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,pieapp,True,3,0.008073091506958,2.741871118545532
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,pieapp,True,7,0.0076408386230468,1.5918112993240356
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,pieapp,True,15,0.0080275535583496,3.7042529582977295
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,pieapp,True,1,0.0082941055297851,0.6391173601150513
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,pieapp,True,0,0.0084164142608642,-1.862645149230957e-09
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,pieapp,True,3,0.0081725120544433,3.739568948745728
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,pieapp,True,15,0.0077533721923828,4.55211067199707
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,pieapp,True,0,0.0082662105560302,-1.862645149230957e-09
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,pieapp,True,10,0.0079903602600097,1.7731757164001465
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,pieapp,True,10,0.0080101490020751,6.602097511291504
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,pieapp,True,3,0.007892370223999,2.125643491744995
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,pieapp,True,5,0.0079426765441894,3.323655843734741
