dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,psnr,False,5,0.0024335384368896,19.25543975830078
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,psnr,False,1,0.002281904220581,28.326335906982425
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,psnr,False,3,0.0022046566009521,29.419979095458984
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,psnr,False,7,0.0022010803222656,18.886459350585938
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,psnr,False,7,0.002145767211914,25.16415405273437
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,psnr,False,1,0.0023834705352783,29.98974227905273
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,psnr,False,10,0.0021846294403076,19.145767211914062
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,psnr,False,5,0.0019843578338623,21.345212936401367
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,psnr,False,3,0.0021383762359619,21.16623306274414
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,psnr,False,3,0.0022926330566406,24.70591735839844
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,psnr,False,7,0.002089500427246,20.613061904907227
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,psnr,False,10,0.0019996166229248,15.655387878417969
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,psnr,False,5,0.0022449493408203,19.799724578857425
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,psnr,False,1,0.0022354125976562,26.173248291015625
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,psnr,False,7,0.0022003650665283,20.519454956054688
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,psnr,False,10,0.0020389556884765,19.26197052001953
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,psnr,False,15,0.0020992755889892,16.66059112548828
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,psnr,False,10,0.0021181106567382,17.062698364257812
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,psnr,False,1,0.0022141933441162,30.14388656616211
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,psnr,False,7,0.0021593570709228,17.953723907470703
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,psnr,False,15,0.0020177364349365,22.535341262817383
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,psnr,False,7,0.0019853115081787,17.71359634399414
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,psnr,False,5,0.0021491050720214,21.577953338623047
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,psnr,False,0,0.0026090145111083,80.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,psnr,False,7,0.0022592544555664,18.17838287353516
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,psnr,False,10,0.0020959377288818,21.13947868347168
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,psnr,False,5,0.0019733905792236,23.14831924438477
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,psnr,False,1,0.002399206161499,26.688377380371094
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,psnr,False,7,0.0020914077758789,17.65642738342285
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,psnr,False,10,0.0020315647125244,16.4328670501709
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,psnr,False,3,0.0020356178283691,21.71644401550293
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,psnr,False,15,0.0021393299102783,15.4588041305542
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,psnr,False,3,0.0021698474884033,24.70362663269043
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,psnr,False,0,0.0024933815002441,80.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,psnr,False,10,0.0020744800567626,19.66050338745117
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,psnr,False,0,0.0026502609252929,80.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,psnr,False,1,0.0021564960479736,30.767099380493164
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,psnr,False,7,0.0020642280578613,18.139524459838867
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,psnr,False,15,0.0022299289703369,16.440555572509766
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,psnr,False,10,0.0021724700927734,15.947041511535645
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,psnr,False,15,0.0020360946655273,18.80242156982422
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,psnr,False,7,0.001953125,19.550830841064453
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,psnr,False,1,0.001990795135498,28.92050552368164
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,psnr,False,1,0.0023841857910156,24.22191619873047
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,psnr,False,5,0.0021095275878906,18.022510528564453
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,psnr,False,7,0.0023064613342285,17.781822204589844
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,psnr,False,0,0.0025868415832519,80.0
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,psnr,False,0,0.0027961730957031,80.0
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,psnr,False,5,0.002159833908081,19.20970726013184
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,psnr,False,0,0.0026371479034423,80.0
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,psnr,False,3,0.0022981166839599,24.187580108642575
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,psnr,False,10,0.0021183490753173,20.048458099365234
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,psnr,False,15,0.0019643306732177,22.611217498779297
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,psnr,False,3,0.0021808147430419,24.020530700683597
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,psnr,False,7,0.001810073852539,17.215755462646484
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,psnr,False,15,0.0021808147430419,18.778846740722656
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,psnr,False,1,0.0024640560150146,25.702777862548828
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,psnr,False,0,0.0026094913482666,80.0
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,psnr,False,3,0.0023612976074218,19.54640007019043
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,psnr,False,15,0.0019135475158691,18.60299491882324
