dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,ssim,False,5,0.0062930583953857,0.5885423851457848
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,ssim,False,1,0.0063579082489013,0.8909149780964053
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,ssim,False,3,0.0062944889068603,0.7593730800080724
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,ssim,False,7,0.0062723159790039,0.5404525300651274
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,ssim,False,7,0.0062458515167236,0.7158330755212751
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,ssim,False,1,0.0064661502838134,0.8854982227997186
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,ssim,False,10,0.0062959194183349,0.5663675592244659
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,ssim,False,5,0.0061025619506835,0.6031203676562436
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,ssim,False,3,0.0062437057495117,0.3066074076667764
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,ssim,False,3,0.0064072608947753,0.7369275605261926
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,ssim,False,7,0.0061917304992675,0.6308413623211264
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,ssim,False,10,0.0060987472534179,0.1610586086407142
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,ssim,False,5,0.0063788890838623,0.5175642990624434
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,ssim,False,1,0.0063447952270507,0.7974502597048283
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,ssim,False,7,0.0063066482543945,0.5301814570592751
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,ssim,False,10,0.0062134265899658,0.6027231569984246
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,ssim,False,15,0.0062048435211181,0.2275159126175939
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,ssim,False,10,0.006223440170288,0.3281079786668233
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,ssim,False,1,0.0063271522521972,0.9079764075648358
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,ssim,False,7,0.0062592029571533,0.395687282466549
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,ssim,False,15,0.0061039924621582,0.4618742944653542
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,ssim,False,7,0.0061004161834716,0.5320739851993668
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,ssim,False,5,0.0062344074249267,0.3775882008822989
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,ssim,False,0,0.0067040920257568,1.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,ssim,False,7,0.0063552856445312,0.3655962994462896
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,ssim,False,10,0.006188154220581,0.4214637371565173
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,ssim,False,5,0.0060701370239257,0.4994738066295323
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,ssim,False,1,0.0065264701843261,0.8077728204063254
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,ssim,False,7,0.0062172412872314,0.4748542546917788
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,ssim,False,10,0.0061206817626953,0.3441551391921214
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,ssim,False,3,0.0061500072479248,0.5793771298639997
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,ssim,False,15,0.0063178539276123,0.3831077699909318
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,ssim,False,3,0.0062754154205322,0.8329444683384994
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,ssim,False,0,0.0065762996673583,1.0
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,ssim,False,10,0.0061831474304199,0.334429535737432
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,ssim,False,0,0.0063543319702148,1.0
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,ssim,False,1,0.005871295928955,0.9688437358460306
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,ssim,False,7,0.0057687759399414,0.6523826157039757
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,ssim,False,15,0.0059161186218261,0.2364675293318033
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,ssim,False,10,0.0058827400207519,0.4253800923975167
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,ssim,False,15,0.0057356357574462,0.5600889248072003
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,ssim,False,7,0.0056748390197753,0.7131929136908073
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,ssim,False,1,0.0057101249694824,0.9471782243960032
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,ssim,False,1,0.0061094760894775,0.8502292918270893
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,ssim,False,5,0.0058391094207763,0.5744995019938612
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,ssim,False,7,0.0059461593627929,0.4743824784516425
