dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips-vgg,True,5,0.010738849639892578,0.6730657815933228
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips-vgg,True,1,0.0106658935546875,0.1346684992313385
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips-vgg,True,3,0.010434627532958984,0.3696768283843994
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips-vgg,True,7,0.010450601577758789,0.7304986119270325
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips-vgg,True,7,0.010107040405273438,0.5864385366439819
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,stlpips-vgg,True,1,0.010343790054321289,0.18692249059677124
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips-vgg,True,10,0.010112762451171875,0.7222594022750854
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,stlpips-vgg,True,5,0.009857654571533203,0.6127370595932007
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips-vgg,True,3,0.010048627853393555,0.7833137512207031
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips-vgg,True,3,0.0102996826171875,0.4639977216720581
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips-vgg,True,7,0.010013818740844727,0.4357159733772278
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips-vgg,True,10,0.009885549545288086,1.0369948148727417
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips-vgg,True,5,0.010185480117797852,0.7712774872779846
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips-vgg,True,1,0.01021432876586914,0.24051512777805328
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips-vgg,True,7,0.010149478912353516,0.6614605188369751
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips-vgg,True,10,0.009947776794433594,0.7250445485115051
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips-vgg,True,15,0.010017633438110352,0.9950408935546875
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips-vgg,True,10,0.010048866271972656,0.9720098972320557
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips-vgg,True,1,0.010151386260986328,0.06331373751163483
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips-vgg,True,7,0.01015329360961914,0.8468565344810486
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips-vgg,True,15,0.009900093078613281,0.8523957133293152
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,stlpips-vgg,True,7,0.009871959686279297,0.7930002212524414
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips-vgg,True,5,0.010132312774658203,0.8755566477775574
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips-vgg,True,0,0.01093435287475586,0.019688241183757782
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,stlpips-vgg,True,7,0.010219097137451172,0.8493325710296631
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips-vgg,True,10,0.01000833511352539,0.8528512716293335
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips-vgg,True,5,0.009853839874267578,0.6751416921615601
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips-vgg,True,1,0.010388612747192383,0.2463320791721344
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips-vgg,True,7,0.010010004043579102,0.798255980014801
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips-vgg,True,10,0.010028600692749023,0.9356924295425415
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips-vgg,True,3,0.009958028793334961,0.6277051568031311
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips-vgg,True,15,0.010067939758300781,0.9381539225578308
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips-vgg,True,3,0.010124444961547852,0.2872946858406067
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,stlpips-vgg,True,0,0.010796070098876953,0.0013622511178255081
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips-vgg,True,10,0.010010242462158203,0.924911618232727
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips-vgg,True,0,0.010974645614624023,0.04394150152802467
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips-vgg,True,1,0.01007223129272461,0.07353119552135468
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips-vgg,True,7,0.009965181350708008,0.4813668429851532
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips-vgg,True,15,0.01018214225769043,1.031456708908081
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips-vgg,True,10,0.010167837142944336,0.7922461032867432
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips-vgg,True,15,0.009938240051269531,0.722122073173523
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips-vgg,True,7,0.009849071502685547,0.5167697668075562
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips-vgg,True,1,0.009878873825073242,0.11218667030334473
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips-vgg,True,1,0.010378837585449219,0.17502953112125397
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,stlpips-vgg,True,5,0.010046005249023438,0.6177409291267395
