dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips,True,5,0.0045757293701171,0.656606137752533
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips,True,1,0.0045232772827148,0.0127242356538772
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips,True,3,0.0044834613800048,0.3086883127689361
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips,True,7,0.0044472217559814,0.676723301410675
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips,True,7,0.0044026374816894,0.5201740860939026
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,stlpips,True,1,0.004655122756958,0.0282373987138271
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips,True,10,0.0044376850128173,0.6708292365074158
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,stlpips,True,5,0.0042605400085449,0.5680742263793945
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips,True,3,0.0043971538543701,0.6398780941963196
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips,True,3,0.0045413970947265,0.3931080996990204
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips,True,7,0.0043542385101318,0.4013627767562866
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips,True,10,0.0042612552642822,0.918540060520172
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips,True,5,0.0067718029022216,0.6631489396095276
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips,True,1,0.0045323371887207,0.0342266634106636
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips,True,7,0.004479169845581,0.6800935864448547
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips,True,10,0.004291296005249,0.7087172269821167
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips,True,15,0.0043666362762451,0.9165774583816528
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips,True,10,0.004373550415039,0.8773632049560547
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips,True,1,0.0044751167297363,0.0239390432834625
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips,True,7,0.0044314861297607,0.8029864430427551
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips,True,15,0.0042669773101806,0.8583109974861145
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,stlpips,True,7,0.0042624473571777,0.67751145362854
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips,True,5,0.004479169845581,0.708547055721283
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips,True,0,0.0048794746398925,0.0
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,stlpips,True,7,0.0045385360717773,0.7261594533920288
