dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.0196201801300048,0.2048261314630508
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.0195722579956054,0.7435448169708252
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.0195074081420898,0.5242127776145935
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.0194923877716064,0.1763564795255661
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.0194864273071289,0.2387644946575164
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.0197744369506835,0.7352406978607178
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.0194470882415771,0.1334433108568191
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.019301414489746,0.2390436083078384
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.019465684890747,0.4444811642169952
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.01963472366333,0.4775283336639404
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.019331932067871,0.2236517965793609
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.0193846225738525,0.1723717898130417
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.0195834636688232,0.261026918888092
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.0195620059967041,0.7318394184112549
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.0195209980010986,0.1797717958688736
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.019454002380371,0.1245329901576042
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.0194530487060546,0.077740766108036
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.0195856094360351,0.1263252198696136
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.0195014476776123,0.7550469636917114
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.0195097923278808,0.1491727977991104
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.0193159580230712,0.1093989461660385
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.0201563835144042,0.1601721495389938
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.0196864604949951,0.3156553208827972
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.0201923847198486,0.8191967010498047
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.0195927619934082,0.1880765706300735
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.0195951461791992,0.113094724714756
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr-pipal,False,5,0.0193126201629638,0.2676486074924469
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr-pipal,False,1,0.019719123840332,0.7398214340209961
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr-pipal,False,7,0.019352912902832,0.1661144644021988
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr-pipal,False,10,0.0194506645202636,0.1135683804750442
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr-pipal,False,3,0.0193548202514648,0.4270953238010406
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr-pipal,False,15,0.0194482803344726,0.0953360795974731
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr-pipal,False,3,0.0195801258087158,0.4322851002216339
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,topiq_fr-pipal,False,0,0.0198526382446289,0.8298529386520386
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_fr-pipal,False,10,0.019444465637207,0.1512074023485183
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_fr-pipal,False,0,0.0202059745788574,0.7921356558799744
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_fr-pipal,False,1,0.0194480419158935,0.7190041542053223
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_fr-pipal,False,7,0.0193748474121093,0.1674183160066604
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_fr-pipal,False,15,0.0194458961486816,0.128031849861145
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_fr-pipal,False,10,0.0196118354797363,0.1289384514093399
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_fr-pipal,False,15,0.0193855762481689,0.0914156064391136
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_fr-pipal,False,7,0.0193941593170166,0.1733547896146774
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_fr-pipal,False,1,0.0194432735443115,0.7175556421279907
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_fr-pipal,False,1,0.0197172164916992,0.7581647038459778
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,topiq_fr-pipal,False,5,0.0194547176361084,0.2151289135217666
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_fr-pipal,False,7,0.01959228515625,0.1960661560297012
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_fr-pipal,False,0,0.0198941230773925,0.7940616011619568
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_fr-pipal,False,0,0.0201044082641601,0.90820050239563
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_fr-pipal,False,5,0.0194146633148193,0.2691004872322082
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_fr-pipal,False,0,0.0199699401855468,0.8355063199996948
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_fr-pipal,False,3,0.0197563171386718,0.4429537057876587
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_fr-pipal,False,10,0.0194153785705566,0.1295930594205856
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_fr-pipal,False,15,0.0192344188690185,0.0940029323101043
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_fr-pipal,False,3,0.0195538997650146,0.4422141313552856
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_fr-pipal,False,7,0.0191078186035156,0.1734180599451065
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_fr-pipal,False,15,0.0195131301879882,0.1175943836569786
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_fr-pipal,False,1,0.0198311805725097,0.7588549852371216
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_fr-pipal,False,0,0.019956350326538,0.8832022547721863
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_fr-pipal,False,3,0.0196011066436767,0.4308139383792877
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_fr-pipal,False,15,0.0192906856536865,0.0735623240470886
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_fr-pipal,False,0,0.0199339389801025,0.8440268039703369
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_fr-pipal,False,10,0.019456148147583,0.1462795138359069
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_fr-pipal,False,10,0.0195093154907226,0.1161277815699577
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,topiq_fr-pipal,False,3,0.0193228721618652,0.4181551933288574
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,topiq_fr-pipal,False,5,0.0193517208099365,0.2887478470802307
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,topiq_fr-pipal,False,3,0.0193455219268798,0.3891270160675049
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,topiq_fr-pipal,False,15,0.0195260047912597,0.1149663999676704
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,topiq_fr-pipal,False,0,0.0198500156402587,0.8359947204589844
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,topiq_fr-pipal,False,1,0.0197184085845947,0.7409263253211975
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,topiq_fr-pipal,False,1,0.0197370052337646,0.7423385381698608
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,topiq_fr-pipal,False,1,0.0193660259246826,0.7486721277236938
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,topiq_fr-pipal,False,15,0.0197248458862304,0.1046030148863792
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,topiq_fr-pipal,False,5,0.0204265117645263,0.2758926153182983
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,topiq_fr-pipal,False,15,0.0197227001190185,0.1006111651659011
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,topiq_fr-pipal,False,3,0.0195047855377197,0.3866536915302276
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,topiq_fr-pipal,False,10,0.0193541049957275,0.1303878724575042
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,topiq_fr-pipal,False,15,0.0195903778076171,0.1026512160897255
