dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr,False,5,0.019263744354248047,0.29758456349372864
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr,False,1,0.018695592880249023,0.798271894454956
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr,False,3,0.01857161521911621,0.5464547276496887
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr,False,7,0.018466472625732422,0.2977181375026703
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr,False,7,0.018433094024658203,0.3318348526954651
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr,False,1,0.018767595291137695,0.8768375515937805
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr,False,10,0.018481969833374023,0.26557010412216187
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr,False,5,0.018225669860839844,0.31975364685058594
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr,False,3,0.01843404769897461,0.42480456829071045
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr,False,3,0.018613815307617188,0.41607385873794556
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr,False,7,0.018388748168945312,0.33268430829048157
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr,False,10,0.01832413673400879,0.26684343814849854
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr,False,5,0.01848602294921875,0.3344042897224426
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr,False,1,0.018541336059570312,0.751021683216095
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr,False,7,0.01842188835144043,0.29056715965270996
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr,False,10,0.01825118064880371,0.26710835099220276
