dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,vif,False,5,0.0364847183227539,0.0967023074626922
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,vif,False,1,0.03729248046875,0.4129410684108734
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,vif,False,3,0.0367419719696044,0.2576155662536621
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,vif,False,7,0.0364501476287841,0.0784848183393478
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,vif,False,7,0.0367887020111084,0.1158486157655716
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,vif,False,1,0.0368933677673339,0.5696721076965332
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,vif,False,10,0.0375590324401855,0.0627942979335784
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,vif,False,5,0.0365591049194335,0.0936843827366828
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,vif,False,3,0.0366086959838867,0.0908725261688232
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,vif,False,3,0.0365893840789794,0.2545104920864105
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,vif,False,7,0.0362324714660644,0.1360101103782653
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,vif,False,10,0.0363171100616455,0.0213220138102769
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,vif,False,5,0.0363547801971435,0.0710625573992729
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,vif,False,1,0.0363562107086181,0.4391473233699798
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,vif,False,7,0.0364251136779785,0.0524510070681571
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,vif,False,10,0.0360636711120605,0.0492813885211944
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,vif,False,15,0.0360021591186523,0.01053855009377
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,vif,False,10,0.0362205505371093,0.0237573366612195
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,vif,False,1,0.0362992286682128,0.4578476548194885
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,vif,False,7,0.0363373756408691,0.0321682505309581
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,vif,False,15,0.0363342761993408,0.0083488281816244
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,vif,False,7,0.0363287925720214,0.0613934062421321
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,vif,False,5,0.0364243984222412,0.0841096267104148
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,vif,False,0,0.0368452072143554,0.9999985694885254
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,vif,False,7,0.0364880561828613,0.0495273396372795
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,vif,False,10,0.0362753868103027,0.0183367077261209
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,vif,False,5,0.0363657474517822,0.0789672508835792
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,vif,False,1,0.0364737510681152,0.4623636603355407
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,vif,False,7,0.036280870437622,0.0382863581180572
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,vif,False,10,0.0364682674407959,0.0251309610903263
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,vif,False,3,0.0364246368408203,0.1663830131292343
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,vif,False,15,0.036428689956665,0.0132827032357454
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,vif,False,3,0.0366616249084472,0.3120097219944
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,vif,False,0,0.0378282070159912,0.9999988675117492
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,vif,False,10,0.0368132591247558,0.0228879265487194
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,vif,False,0,0.0373668670654296,0.9999993443489076
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,vif,False,1,0.0365161895751953,0.5817194581031799
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,vif,False,7,0.0362632274627685,0.082886204123497
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,vif,False,15,0.0362129211425781,0.0120434891432523
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,vif,False,10,0.0359597206115722,0.0271077696233987
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,vif,False,15,0.0360729694366455,0.0086065297946333
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,vif,False,7,0.035792589187622,0.0970485880970954
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,vif,False,1,0.0360455513000488,0.4677816927433014
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,vif,False,1,0.0364909172058105,0.4190126955509186
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,vif,False,5,0.0364060401916503,0.1149255111813545
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,vif,False,7,0.0362370014190673,0.0544416271150112
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,vif,False,0,0.0364596843719482,0.9999988079071044
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,vif,False,0,0.0370450019836425,0.999999463558197
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,vif,False,5,0.0365843772888183,0.0764580368995666
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,vif,False,0,0.0366730690002441,0.9999988079071044
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,vif,False,3,0.0366356372833251,0.200037196278572
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,vif,False,10,0.0363469123840332,0.0506942570209503
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,vif,False,15,0.0362262725830078,0.0212871264666318
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,vif,False,3,0.0365316867828369,0.2589378356933594
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,vif,False,7,0.0360336303710937,0.1452893912792205
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,vif,False,15,0.03639817237854,0.0186842363327741
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,vif,False,1,0.036708116531372,0.350696861743927
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,vif,False,0,0.0366787910461425,0.9999988079071044
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,vif,False,3,0.0365192890167236,0.1329328566789627
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,vif,False,15,0.0362210273742675,0.0229904241859912
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,vif,False,0,0.036635398864746,0.9999990463256836
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,vif,False,10,0.0372929573059082,0.0301096998155117
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,vif,False,10,0.0370802879333496,0.0343048609793186
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,vif,False,3,0.0365750789642334,0.2398142665624618
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,vif,False,5,0.0364902019500732,0.113856516778469
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,vif,False,3,0.0361783504486084,0.2484393864870071
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,vif,False,15,0.0364267826080322,0.0153474751859903
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,vif,False,0,0.036766767501831,0.9999983310699464
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,vif,False,1,0.0369203090667724,0.5277567505836487
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,vif,False,1,0.0366847515106201,0.4967486560344696
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,vif,False,1,0.0363616943359375,0.3518981039524078
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,vif,False,15,0.036555528640747,0.0130248870700597
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,vif,False,5,0.0364847183227539,0.0966619178652763
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,vif,False,15,0.0363333225250244,0.0125511605292558
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,vif,False,3,0.0364706516265869,0.217394471168518
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,vif,False,10,0.036219835281372,0.0231587924063205
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,vif,False,15,0.0362739562988281,0.0132793933153152
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,vif,False,3,0.0364837646484375,0.2209711372852325
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,vif,False,0,0.0362079143524169,0.9999983906745912
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,vif,False,15,0.0362374782562255,0.0135833788663148
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,vif,False,5,0.0361344814300537,0.1076640710234642
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,vif,False,5,0.0363991260528564,0.0941483601927757
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,vif,False,10,0.0363926887512207,0.0185070857405662
deblurred_pmp3_lambda0,0091_lp_dnn_3_boat_10_n03662601_1427,vif,False,3,0.0364096164703369,0.1627762466669082
deblurred_pmp3_lambda0,0092_lp_dnn_5_boat_10_n04612504_15944,vif,False,5,0.0364515781402587,0.073779322206974
deblurred_pmp3_lambda0,0094_lp_dnn_7_elephant_10_n02504458_1848,vif,False,7,0.0364618301391601,0.0497111566364765
deblurred_pmp3_lambda0,0095_lp_dnn_5_oven_10_n04111531_4155,vif,False,5,0.0363883972167968,0.1047439947724342
deblurred_pmp3_lambda0,0096_lp_dnn_0_car_10_n03100240_8327,vif,False,0,0.0367040634155273,0.9999994039535522
deblurred_pmp3_lambda0,0097_lp_dnn_0_chair_10_n04429376_24319,vif,False,0,0.038543701171875,0.9999991059303284
deblurred_pmp3_lambda0,0098_lp_dnn_3_chair_10_n03376595_5112,vif,False,3,0.0372240543365478,0.2175644040107727
deblurred_pmp3_lambda0,0099_lp_dnn_1_cat_10_n02124075_2268,vif,False,1,0.0371234416961669,0.3868925273418426
deblurred_pmp3_lambda0,0100_lp_dnn_3_boat_10_n04273569_1137,vif,False,3,0.0363762378692626,0.1394171267747879
deblurred_pmp3_lambda0,0101_lp_dnn_1_chair_10_n02791124_15383,vif,False,1,0.0365972518920898,0.4254251718521118
deblurred_pmp3_lambda0,0102_lp_dnn_15_clock_10_n04548280_8998,vif,False,15,0.0363345146179199,0.0284963529556989
deblurred_pmp3_lambda0,0103_lp_dnn_0_dog_10_n02097047_2800,vif,False,0,0.0368261337280273,0.9999986290931702
deblurred_pmp3_lambda0,0104_lp_dnn_15_bicycle_10_n03792782_18294,vif,False,15,0.0365979671478271,0.0058597745373845
deblurred_pmp3_lambda0,0105_lp_dnn_0_elephant_10_n02504013_24486,vif,False,0,0.0365533828735351,0.9999985098838806
deblurred_pmp3_lambda0,0106_lp_dnn_7_airplane_10_n02690373_2923,vif,False,7,0.0363848209381103,0.0400559864938259
deblurred_pmp3_lambda0,0107_lp_dnn_3_airplane_10_n02690373_15392,vif,False,3,0.0364153385162353,0.1538480818271637
