dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,vsi,False,5,0.009786367416381836,0.8975257248345997
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,vsi,False,1,0.00979924201965332,0.9788757853557795
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,vsi,False,3,0.009626388549804688,0.9612519942496565
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,vsi,False,7,0.009665250778198242,0.895044894691611
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,vsi,False,7,0.009608745574951172,0.9452684558870131
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,vsi,False,1,0.009854316711425781,0.9837479949518505
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,vsi,False,10,0.009592771530151367,0.8967812430243507
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,vsi,False,5,0.00938725471496582,0.8865584770372686
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,vsi,False,3,0.009557962417602539,0.8574572080424822
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,vsi,False,3,0.009743452072143555,0.948592150320447
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,vsi,False,7,0.009541749954223633,0.9147252306404929
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,vsi,False,10,0.009381771087646484,0.763994999330582
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,vsi,False,5,0.009711265563964844,0.8672766987890318
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,vsi,False,1,0.009663581848144531,0.968168956811624
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,vsi,False,7,0.009653568267822266,0.9162436201843803
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,vsi,False,10,0.00940251350402832,0.9059869658843881
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,vsi,False,15,0.009506702423095703,0.776841655911056
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,vsi,False,10,0.009518861770629883,0.8110331880425589
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,vsi,False,1,0.00962376594543457,0.9766920722496495
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,vsi,False,7,0.009559154510498047,0.8658107044701395
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,vsi,False,15,0.00939178466796875,0.834786309491505
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,vsi,False,7,0.00945425033569336,0.886414816491063
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,vsi,False,5,0.009609460830688477,0.8577418172296613
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,vsi,False,0,0.0103912353515625,0.9956691843801527
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,vsi,False,7,0.009694814682006836,0.8476189888347145
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,vsi,False,10,0.009450197219848633,0.8511244933320562
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,vsi,False,5,0.009356021881103516,0.8914075430191002
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,vsi,False,1,0.009967327117919922,0.9738653323592735
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,vsi,False,7,0.009495973587036133,0.8478971406755347
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,vsi,False,10,0.009293079376220703,0.7956871218439076
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,vsi,False,3,0.009086370468139648,0.919956359852269
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,vsi,False,15,0.009208202362060547,0.8122690366796835
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,vsi,False,3,0.009409189224243164,0.9664101213094178
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,vsi,False,0,0.009837865829467773,0.985772525584781
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,vsi,False,10,0.00909733772277832,0.8410986730473057
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,vsi,False,0,0.010022878646850586,0.9944919812516855
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,vsi,False,1,0.009110450744628906,0.9811348587229058
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,vsi,False,7,0.009004592895507812,0.8911997711498851
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,vsi,False,15,0.00933694839477539,0.7666152017007662
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,vsi,False,10,0.00913691520690918,0.8493600812868947
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,vsi,False,15,0.00897216796875,0.799602998078361
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,vsi,False,7,0.008869171142578125,0.9193381950358018
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,vsi,False,1,0.008916854858398438,0.9796196792845002
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,vsi,False,1,0.009460687637329102,0.9669544618126543
