dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,brisque,True,5,0.013496875762939453,57.10858154296875
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,brisque,True,1,0.012834310531616211,27.93475341796875
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,brisque,True,3,0.012574434280395508,60.29754638671875
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,brisque,True,7,0.012514829635620117,48.96942138671875
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,brisque,True,7,0.01246023178100586,78.96697998046875
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,brisque,True,1,0.012835025787353516,23.39422607421875
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,brisque,True,10,0.01251983642578125,80.61834716796875
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,brisque,True,5,0.012537479400634766,69.03387451171875
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,brisque,True,3,0.012549400329589844,53.10711669921875
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,brisque,True,3,0.012601852416992188,55.97576904296875
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,brisque,True,7,0.012445211410522461,57.88739013671875
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,brisque,True,10,0.012424945831298828,77.26336669921875
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,brisque,True,5,0.012525081634521484,64.41961669921875
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,brisque,True,1,0.012653112411499023,27.22869873046875
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,brisque,True,7,0.012507200241088867,71.49237060546875
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,brisque,True,10,0.012496471405029297,73.16766357421875
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,brisque,True,15,0.01239633560180664,89.26434326171875
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,brisque,True,10,0.012495756149291992,76.70086669921875
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,brisque,True,1,0.012593269348144531,31.41619873046875
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,brisque,True,7,0.012481927871704102,77.09295654296875
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,brisque,True,15,0.012358903884887695,98.21112060546875
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,brisque,True,7,0.012389183044433594,71.29608154296875
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,brisque,True,5,0.01265859603881836,67.98699951171875
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,brisque,True,0,0.013201475143432617,6.40106201171875
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,brisque,True,7,0.012683629989624023,74.97186279296875
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,brisque,True,10,0.012415409088134766,70.97674560546875
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,brisque,True,5,0.012496709823608398,47.86199951171875
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,brisque,True,1,0.012792110443115234,32.05389404296875
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,brisque,True,7,0.01247096061706543,75.79022216796875
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,brisque,True,10,0.012431621551513672,75.21893310546875
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,brisque,True,3,0.012467145919799805,59.01531982421875
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,brisque,True,15,0.012464761734008789,88.92791748046875
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,brisque,True,3,0.012503385543823242,51.38006591796875
