dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+,False,5,0.08230352401733398,0.13503725826740265
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+,False,1,0.012495279312133789,0.434021532535553
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+,False,3,0.01212620735168457,0.19500403106212616
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+,False,7,0.012059211730957031,0.15586984157562256
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+,False,7,0.011953353881835938,0.22485679388046265
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+,False,1,0.012210369110107422,0.41779825091362
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+,False,10,0.011920690536499023,0.10902505367994308
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+,False,5,0.01195383071899414,0.14260157942771912
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+,False,3,0.01203775405883789,0.1919642835855484
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+,False,3,0.011992454528808594,0.23868881165981293
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+,False,7,0.012246847152709961,0.1897948980331421
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+,False,10,0.012031078338623047,0.11933404952287674
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+,False,5,0.01212000846862793,0.12036397308111191
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+,False,1,0.012121438980102539,0.5720160007476807
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+,False,7,0.01191854476928711,0.10884130746126175
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+,False,10,0.011938333511352539,0.1800452619791031
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+,False,15,0.011924505233764648,0.18295368552207947
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+,False,10,0.011959552764892578,0.1779361218214035
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+,False,1,0.012087106704711914,0.5553125739097595
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+,False,7,0.011916399002075195,0.11203132569789886
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+,False,15,0.011835336685180664,0.19289381802082062
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+,False,7,0.011844396591186523,0.14925046265125275
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+,False,5,0.011981010437011719,0.11839265376329422
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+,False,0,0.012485265731811523,0.3340102434158325
