dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_rn50_512,False,5,0.08271408081054688,0.0989537239074707
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_rn50_512,False,1,0.012538909912109375,0.2975963056087494
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_rn50_512,False,3,0.01219630241394043,0.14718861877918243
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_rn50_512,False,7,0.012110233306884766,0.1281391680240631
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_rn50_512,False,7,0.012020349502563477,0.21096213161945343
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_rn50_512,False,1,0.012174844741821289,0.3110470175743103
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_rn50_512,False,10,0.011977434158325195,0.14600233733654022
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_rn50_512,False,5,0.011981487274169922,0.12033216655254364
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_rn50_512,False,3,0.012306690216064453,0.11842313408851624
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_rn50_512,False,3,0.012073993682861328,0.1536034792661667
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_rn50_512,False,7,0.012015342712402344,0.20940367877483368
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_rn50_512,False,10,0.012186050415039062,0.14965343475341797
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_rn50_512,False,5,0.01214742660522461,0.09555135667324066
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_rn50_512,False,1,0.012181520462036133,0.46247634291648865
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_rn50_512,False,7,0.012007713317871094,0.11000214517116547
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_rn50_512,False,10,0.012068033218383789,0.1788928508758545
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_rn50_512,False,15,0.011939287185668945,0.2068527489900589
