dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_vitL14_512,False,5,0.7820000648498535,0.2190347611904144
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_vitL14_512,False,1,0.0523455142974853,0.465597003698349
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_vitL14_512,False,3,0.0524976253509521,0.2040990144014358
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_vitL14_512,False,7,0.0447266101837158,0.1643114238977432
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_vitL14_512,False,7,0.0524928569793701,0.2060584127902984
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_vitL14_512,False,1,0.0527005195617675,0.3780993223190307
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_vitL14_512,False,10,0.0524158477783203,0.1480996310710907
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_vitL14_512,False,5,0.0524733066558837,0.1529350131750106
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_vitL14_512,False,3,0.0521044731140136,0.1396402418613433
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_vitL14_512,False,3,0.052649974822998,0.2143094986677169
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_vitL14_512,False,7,0.0522961616516113,0.241318941116333
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_vitL14_512,False,10,0.0526340007781982,0.2227546274662017
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_vitL14_512,False,5,0.0520670413970947,0.2349715530872345
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_vitL14_512,False,1,0.0526080131530761,0.6474214792251587
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_vitL14_512,False,7,0.0517957210540771,0.1982035785913467
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_vitL14_512,False,10,0.0518550872802734,0.1897539645433426
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_vitL14_512,False,15,0.0515656471252441,0.202690452337265
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_vitL14_512,False,10,0.0435566902160644,0.1359415054321289
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_vitL14_512,False,1,0.05190110206604,0.4082113206386566
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_vitL14_512,False,7,0.0523164272308349,0.130559504032135
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_vitL14_512,False,15,0.0527331829071044,0.2868824303150177
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_vitL14_512,False,7,0.0524101257324218,0.2194825410842895
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_vitL14_512,False,5,0.052626609802246,0.1652507930994033
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_vitL14_512,False,0,0.0524022579193115,0.4945032298564911
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_vitL14_512,False,7,0.0525767803192138,0.1115483790636062
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_vitL14_512,False,10,0.0528321266174316,0.22964908182621
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_vitL14_512,False,5,0.0525374412536621,0.2039827108383178
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_vitL14_512,False,1,0.0527398586273193,0.5809532403945923
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_vitL14_512,False,7,0.0523929595947265,0.2244104743003845
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_vitL14_512,False,10,0.0518825054168701,0.1871064156293869
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_vitL14_512,False,3,0.0519356727600097,0.1603545993566513
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_vitL14_512,False,15,0.0510036945343017,0.1871514022350311
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_vitL14_512,False,3,0.0521564483642578,0.2763902246952057
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_vitL14_512,False,0,0.052067756652832,0.5511910915374756
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_vitL14_512,False,10,0.052203893661499,0.1780399233102798
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_vitL14_512,False,0,0.0519912242889404,0.2662529349327087
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_vitL14_512,False,1,0.0522685050964355,0.6420952677726746
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_vitL14_512,False,7,0.0522170066833496,0.2356974780559539
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_vitL14_512,False,15,0.0523211956024169,0.213310107588768
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_vitL14_512,False,10,0.0525414943695068,0.1520759016275406
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa+_vitL14_512,False,15,0.0525441169738769,0.3121533095836639
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa+_vitL14_512,False,7,0.0525441169738769,0.2288071066141128
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa+_vitL14_512,False,1,0.0522980690002441,0.5173601508140564
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa+_vitL14_512,False,1,0.051924705505371,0.5217886567115784
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa+_vitL14_512,False,5,0.0475201606750488,0.3805170357227325
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa+_vitL14_512,False,7,0.0563654899597168,0.1788645535707473
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa+_vitL14_512,False,0,0.0523407459259033,0.5663996338844299
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa+_vitL14_512,False,0,0.0525271892547607,0.3955848813056946
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa+_vitL14_512,False,5,0.0523281097412109,0.1661961823701858
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa+_vitL14_512,False,0,0.0525507926940918,0.6796742677688599
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa+_vitL14_512,False,3,0.0522520542144775,0.1247180849313736
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa+_vitL14_512,False,10,0.0523097515106201,0.208886444568634
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa+_vitL14_512,False,15,0.0520148277282714,0.4231181442737579
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa+_vitL14_512,False,3,0.0529901981353759,0.3336561024188995
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa+_vitL14_512,False,7,0.0524158477783203,0.2065273225307464
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa+_vitL14_512,False,15,0.0525033473968505,0.2570532262325287
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa+_vitL14_512,False,1,0.0519678592681884,0.4237307012081146
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa+_vitL14_512,False,0,0.0522067546844482,0.6406646370887756
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa+_vitL14_512,False,3,0.0471739768981933,0.1530154645442962
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa+_vitL14_512,False,15,0.0520057678222656,0.3702493906021118
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa+_vitL14_512,False,0,0.0526027679443359,0.8063010573387146
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa+_vitL14_512,False,10,0.0523304939270019,0.2302852421998977
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa+_vitL14_512,False,10,0.0525674819946289,0.2005249559879303
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa+_vitL14_512,False,3,0.0523328781127929,0.2711949646472931
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa+_vitL14_512,False,5,0.0523023605346679,0.1874186247587204
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa+_vitL14_512,False,3,0.0522949695587158,0.3639009296894073
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa+_vitL14_512,False,15,0.0525197982788085,0.2677425146102905
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa+_vitL14_512,False,0,0.0523653030395507,0.7234560251235962
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa+_vitL14_512,False,1,0.0527863502502441,0.5606478452682495
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa+_vitL14_512,False,1,0.0523650646209716,0.5888692736625671
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa+_vitL14_512,False,1,0.0521025657653808,0.5073205828666687
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa+_vitL14_512,False,15,0.0518121719360351,0.1607256531715393
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa+_vitL14_512,False,5,0.0449934005737304,0.164860188961029
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa+_vitL14_512,False,15,0.0520610809326171,0.1792631149291992
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa+_vitL14_512,False,3,0.0520014762878418,0.4267078936100006
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa+_vitL14_512,False,10,0.0524835586547851,0.1896959096193313
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa+_vitL14_512,False,15,0.052074909210205,0.2794016599655151
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa+_vitL14_512,False,3,0.0525975227355957,0.229289248585701
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,clipiqa+_vitL14_512,False,0,0.0523154735565185,0.5937521457672119
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,clipiqa+_vitL14_512,False,15,0.0522816181182861,0.2006788253784179
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,clipiqa+_vitL14_512,False,5,0.0523405075073242,0.2437730580568313
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,clipiqa+_vitL14_512,False,5,0.0526366233825683,0.190730795264244
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,clipiqa+_vitL14_512,False,10,0.0522718429565429,0.1303206533193588
deblurred_pmp3_lambda0,0091_lp_dnn_3_boat_10_n03662601_1427,clipiqa+_vitL14_512,False,3,0.0524835586547851,0.2646591067314148
deblurred_pmp3_lambda0,0092_lp_dnn_5_boat_10_n04612504_15944,clipiqa+_vitL14_512,False,5,0.0519242286682128,0.1866846829652786
deblurred_pmp3_lambda0,0094_lp_dnn_7_elephant_10_n02504458_1848,clipiqa+_vitL14_512,False,7,0.0516624450683593,0.2560896575450897
deblurred_pmp3_lambda0,0095_lp_dnn_5_oven_10_n04111531_4155,clipiqa+_vitL14_512,False,5,0.0401506423950195,0.2594304084777832
deblurred_pmp3_lambda0,0096_lp_dnn_0_car_10_n03100240_8327,clipiqa+_vitL14_512,False,0,0.0522859096527099,0.7904857397079468
deblurred_pmp3_lambda0,0097_lp_dnn_0_chair_10_n04429376_24319,clipiqa+_vitL14_512,False,0,0.0525639057159423,0.5098654627799988
deblurred_pmp3_lambda0,0098_lp_dnn_3_chair_10_n03376595_5112,clipiqa+_vitL14_512,False,3,0.0524940490722656,0.2247469276189804
deblurred_pmp3_lambda0,0099_lp_dnn_1_cat_10_n02124075_2268,clipiqa+_vitL14_512,False,1,0.0525276660919189,0.6452596187591553
deblurred_pmp3_lambda0,0100_lp_dnn_3_boat_10_n04273569_1137,clipiqa+_vitL14_512,False,3,0.0522489547729492,0.2587252557277679
