dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,0.912876844406128,0.1071530804038047
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.0322389602661132,0.3983144164085388
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.0323083400726318,0.2073027640581131
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.0323090553283691,0.175771415233612
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.0323381423950195,0.2265658378601074
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.0320112705230712,0.6584416627883911
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.0319960117340087,0.2113484144210815
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.0322787761688232,0.2279286682605743
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.0323784351348876,0.1481812000274658
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.032351016998291,0.2919142842292785
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.0324378013610839,0.2045872211456298
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.032132863998413,0.1931294202804565
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.0320146083831787,0.1302680671215057
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.031705617904663,0.6515589952468872
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.032543659210205,0.1739443242549896
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.0320336818695068,0.229441687464714
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.0321376323699951,0.2575152814388275
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.0320062637329101,0.2106573432683944
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.03204345703125,0.4063156545162201
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.0320837497711181,0.2102690786123275
