dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.015079498291015625,0.2234106808900833
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.01497197151184082,0.590705931186676
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.01472616195678711,0.2911006212234497
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.01470637321472168,0.17373864352703094
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.014653682708740234,0.16397275030612946
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.014859437942504883,0.6438512802124023
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.014713287353515625,0.19971048831939697
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.014639139175415039,0.2778691351413727
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.014740705490112305,0.3120650351047516
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.01473236083984375,0.3033740520477295
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.014646053314208984,0.11762143671512604
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.014626741409301758,0.21897153556346893
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.014686346054077148,0.2462187111377716
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.014907360076904297,0.5272862911224365
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.014673471450805664,0.24179904162883759
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.014658212661743164,0.2819483280181885
