dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,dbcnn,False,5,0.0536410808563232,0.2645080089569092
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,dbcnn,False,1,0.0118067264556884,0.4601817429065704
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,dbcnn,False,3,0.0119438171386718,0.2601998448371887
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,dbcnn,False,7,0.0119283199310302,0.2906133830547333
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,dbcnn,False,7,0.0120127201080322,0.2461980432271957
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,dbcnn,False,1,0.0118842124938964,0.4272429645061493
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,dbcnn,False,10,0.0119895935058593,0.1980695128440857
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,dbcnn,False,5,0.0118396282196044,0.2752386331558227
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,dbcnn,False,3,0.0117850303649902,0.2724488973617553
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,dbcnn,False,3,0.0118470191955566,0.2396754622459411
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,dbcnn,False,7,0.011817455291748,0.306341290473938
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,dbcnn,False,10,0.0118694305419921,0.2302550077438354
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,dbcnn,False,5,0.0120124816894531,0.2358109652996063
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,dbcnn,False,1,0.0083136558532714,0.4771597981452942
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,dbcnn,False,7,0.0038630962371826,0.2288903892040252
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,dbcnn,False,10,0.0037534236907958,0.2091304361820221
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,dbcnn,False,15,0.0036828517913818,0.2231191396713256
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,dbcnn,False,10,0.0037143230438232,0.1991740465164184
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,dbcnn,False,1,0.00384521484375,0.3671969175338745
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,dbcnn,False,7,0.003615379333496,0.2254576981067657
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,dbcnn,False,15,0.0033981800079345,0.2719560265541076
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,dbcnn,False,7,0.0035161972045898,0.242614209651947
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,dbcnn,False,5,0.0035929679870605,0.2429872900247573
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,dbcnn,False,0,0.0040817260742187,0.5426259636878967
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,dbcnn,False,7,0.0043447017669677,0.2517452239990234
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,dbcnn,False,10,0.0034379959106445,0.2238356173038482
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,dbcnn,False,5,0.0034518241882324,0.2580398917198181
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,dbcnn,False,1,0.0036847591400146,0.4306055307388305
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,dbcnn,False,7,0.0034785270690917,0.2311867475509643
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,dbcnn,False,10,0.0034465789794921,0.2378379255533218
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,dbcnn,False,3,0.0034499168395996,0.2918401658535003
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,dbcnn,False,15,0.003396987915039,0.1952375769615173
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,dbcnn,False,3,0.0034425258636474,0.2757545113563537
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,dbcnn,False,0,0.0038893222808837,0.5838948488235474
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,dbcnn,False,10,0.0033996105194091,0.2040272504091262
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,dbcnn,False,0,0.00396728515625,0.2843234837055206
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,dbcnn,False,1,0.0034596920013427,0.5751437544822693
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,dbcnn,False,7,0.0033872127532958,0.2628725469112396
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,dbcnn,False,15,0.0057132244110107,0.1843109130859375
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,dbcnn,False,10,0.0116047859191894,0.2008325457572937
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,dbcnn,False,15,0.0115234851837158,0.239930972456932
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,dbcnn,False,7,0.0115926265716552,0.2516207098960876
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,dbcnn,False,1,0.0115408897399902,0.5465929508209229
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,dbcnn,False,1,0.0116348266601562,0.4494490027427673
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,dbcnn,False,5,0.0116739273071289,0.2619838714599609
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,dbcnn,False,7,0.0118110179901123,0.2794568240642547
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,dbcnn,False,0,0.0119991302490234,0.5329979658126831
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,dbcnn,False,0,0.0119447708129882,0.5984742641448975
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,dbcnn,False,5,0.011894941329956,0.3064066171646118
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,dbcnn,False,0,0.0118300914764404,0.5531759262084961
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,dbcnn,False,3,0.011725902557373,0.2825356125831604
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,dbcnn,False,10,0.0118389129638671,0.1955125331878662
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,dbcnn,False,15,0.0117192268371582,0.2452194094657898
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,dbcnn,False,3,0.0117063522338867,0.2764639854431152
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,dbcnn,False,7,0.0116972923278808,0.3013342618942261
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,dbcnn,False,15,0.0120222568511962,0.1806045472621917
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,dbcnn,False,1,0.0074632167816162,0.4146083891391754
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,dbcnn,False,0,0.0043272972106933,0.5871216654777527
deblurred_pmp3_lambda0,0065_lp_dnn_3_bird_10_n01797886_2711,dbcnn,False,3,0.0038340091705322,0.3241186738014221
deblurred_pmp3_lambda0,0066_lp_dnn_15_truck_10_n04467665_68463,dbcnn,False,15,0.0035755634307861,0.2630296051502228
deblurred_pmp3_lambda0,0067_lp_dnn_0_truck_10_n03417042_10099,dbcnn,False,0,0.0041296482086181,0.6138921976089478
deblurred_pmp3_lambda0,0068_lp_dnn_10_bear_10_n02134418_3793,dbcnn,False,10,0.0036439895629882,0.2118251919746399
deblurred_pmp3_lambda0,0069_lp_dnn_10_bottle_10_n03937543_9524,dbcnn,False,10,0.0035626888275146,0.2256415486335754
deblurred_pmp3_lambda0,0070_lp_dnn_3_cat_10_n02123394_1038,dbcnn,False,3,0.003544807434082,0.2654270529747009
deblurred_pmp3_lambda0,0071_lp_dnn_5_dog_10_n02110185_7886,dbcnn,False,5,0.0035092830657958,0.2568733394145965
deblurred_pmp3_lambda0,0072_lp_dnn_3_clock_10_n02708093_4912,dbcnn,False,3,0.003509521484375,0.3599437475204468
deblurred_pmp3_lambda0,0073_lp_dnn_15_dog_10_n02108422_932,dbcnn,False,15,0.0035145282745361,0.2129146307706833
deblurred_pmp3_lambda0,0074_lp_dnn_0_truck_10_n04467665_18621,dbcnn,False,0,0.0040512084960937,0.4740289151668548
deblurred_pmp3_lambda0,0075_lp_dnn_1_truck_10_n04467665_50932,dbcnn,False,1,0.0036151409149169,0.507957398891449
deblurred_pmp3_lambda0,0076_lp_dnn_1_dog_10_n02102480_7293,dbcnn,False,1,0.0038518905639648,0.4328751564025879
deblurred_pmp3_lambda0,0077_lp_dnn_1_bottle_10_n04591713_4764,dbcnn,False,1,0.0036811828613281,0.4721516072750091
deblurred_pmp3_lambda0,0078_lp_dnn_15_clock_10_n02708093_274,dbcnn,False,15,0.0034050941467285,0.2075679153203964
deblurred_pmp3_lambda0,0079_lp_dnn_5_bottle_10_n04557648_29772,dbcnn,False,5,0.0035109519958496,0.2734270989894867
deblurred_pmp3_lambda0,0080_lp_dnn_15_car_10_n03100240_22499,dbcnn,False,15,0.0033376216888427,0.2321618795394897
deblurred_pmp3_lambda0,0081_lp_dnn_3_clock_10_n02708093_6252,dbcnn,False,3,0.0034539699554443,0.4121836125850677
deblurred_pmp3_lambda0,0082_lp_dnn_10_airplane_10_n02690373_5427,dbcnn,False,10,0.0033321380615234,0.2284834086894989
deblurred_pmp3_lambda0,0083_lp_dnn_15_dog_10_n02107142_46045,dbcnn,False,15,0.0033693313598632,0.1876625716686248
deblurred_pmp3_lambda0,0085_lp_dnn_3_bicycle_10_n03792782_12421,dbcnn,False,3,0.0034916400909423,0.325036346912384
deblurred_pmp3_lambda0,0086_lp_dnn_0_airplane_10_n02690373_1310,dbcnn,False,0,0.0037415027618408,0.5674493908882141
deblurred_pmp3_lambda0,0087_lp_dnn_15_oven_10_n04111531_8793,dbcnn,False,15,0.0033369064331054,0.2266174554824829
deblurred_pmp3_lambda0,0088_lp_dnn_5_airplane_10_n02690373_633,dbcnn,False,5,0.0033550262451171,0.2587334513664245
deblurred_pmp3_lambda0,0089_lp_dnn_5_clock_10_n02708093_2307,dbcnn,False,5,0.0036611557006835,0.2621520459651947
deblurred_pmp3_lambda0,0090_lp_dnn_10_oven_10_n04111531_13795,dbcnn,False,10,0.0116617679595947,0.1893375217914581
deblurred_pmp3_lambda0,0091_lp_dnn_3_boat_10_n03662601_1427,dbcnn,False,3,0.0115289688110351,0.295719712972641
deblurred_pmp3_lambda0,0092_lp_dnn_5_boat_10_n04612504_15944,dbcnn,False,5,0.0115926265716552,0.2556258738040924
deblurred_pmp3_lambda0,0094_lp_dnn_7_elephant_10_n02504458_1848,dbcnn,False,7,0.0115928649902343,0.2266131937503814
deblurred_pmp3_lambda0,0095_lp_dnn_5_oven_10_n04111531_4155,dbcnn,False,5,0.0116238594055175,0.2588986456394195
deblurred_pmp3_lambda0,0096_lp_dnn_0_car_10_n03100240_8327,dbcnn,False,0,0.0116565227508544,0.6356503963470459
deblurred_pmp3_lambda0,0097_lp_dnn_0_chair_10_n04429376_24319,dbcnn,False,0,0.0118865966796875,0.5415842533111572
deblurred_pmp3_lambda0,0098_lp_dnn_3_chair_10_n03376595_5112,dbcnn,False,3,0.0117592811584472,0.3018195629119873
deblurred_pmp3_lambda0,0099_lp_dnn_1_cat_10_n02124075_2268,dbcnn,False,1,0.0119526386260986,0.4599401652812958
deblurred_pmp3_lambda0,0100_lp_dnn_3_boat_10_n04273569_1137,dbcnn,False,3,0.0118749141693115,0.3099307119846344
deblurred_pmp3_lambda0,0101_lp_dnn_1_chair_10_n02791124_15383,dbcnn,False,1,0.0118587017059326,0.5565502643585205
deblurred_pmp3_lambda0,0102_lp_dnn_15_clock_10_n04548280_8998,dbcnn,False,15,0.0117404460906982,0.2367509454488754
deblurred_pmp3_lambda0,0103_lp_dnn_0_dog_10_n02097047_2800,dbcnn,False,0,0.0117378234863281,0.6152913570404053
deblurred_pmp3_lambda0,0104_lp_dnn_15_bicycle_10_n03792782_18294,dbcnn,False,15,0.011681318283081,0.2249824404716491
deblurred_pmp3_lambda0,0105_lp_dnn_0_elephant_10_n02504013_24486,dbcnn,False,0,0.0117080211639404,0.6906892657279968
deblurred_pmp3_lambda0,0106_lp_dnn_7_airplane_10_n02690373_2923,dbcnn,False,7,0.0117180347442626,0.2247902005910873
deblurred_pmp3_lambda0,0107_lp_dnn_3_airplane_10_n02690373_15392,dbcnn,False,3,0.0120143890380859,0.2740416824817657
deblurred_pmp3_lambda0,0108_lp_dnn_5_oven_10_n04111531_6080,dbcnn,False,5,0.0101077556610107,0.252570629119873
deblurred_pmp3_lambda0,0109_lp_dnn_15_bear_10_n02134084_22736,dbcnn,False,15,0.0229771137237548,0.1909317076206207
deblurred_pmp3_lambda0,0110_lp_dnn_1_knife_10_n03041632_33326,dbcnn,False,1,0.0119214057922363,0.5372951626777649
deblurred_pmp3_lambda0,0113_lp_dnn_7_bicycle_10_n03792782_5416,dbcnn,False,7,0.0118217468261718,0.2349922955036163
deblurred_pmp3_lambda0,0114_lp_dnn_7_knife_10_n03041632_25772,dbcnn,False,7,0.0117466449737548,0.2445546388626098
deblurred_pmp3_lambda0,0115_lp_dnn_10_bicycle_10_n03792782_7108,dbcnn,False,10,0.0116844177246093,0.2080887556076049
deblurred_pmp3_lambda0,0116_lp_dnn_0_chair_10_n03376595_1981,dbcnn,False,0,0.0117344856262207,0.6025205254554749
deblurred_pmp3_lambda0,0117_lp_dnn_15_oven_10_n04111531_6508,dbcnn,False,15,0.0120143890380859,0.2055923044681549
deblurred_pmp3_lambda0,0118_lp_dnn_15_bird_10_n01843383_2843,dbcnn,False,15,0.01194429397583,0.2079173624515533
deblurred_pmp3_lambda0,0119_lp_dnn_5_cat_10_n02123597_5887,dbcnn,False,5,0.011909008026123,0.2437631785869598
deblurred_pmp3_lambda0,0121_lp_dnn_1_bird_10_n01530575_10332,dbcnn,False,1,0.0118732452392578,0.502512514591217
deblurred_pmp3_lambda0,0122_lp_dnn_15_elephant_10_n02504013_5887,dbcnn,False,15,0.0117866992950439,0.1945186555385589
deblurred_pmp3_lambda0,0123_lp_dnn_3_cat_10_n02124075_8693,dbcnn,False,3,0.0118086338043212,0.2458889782428741
deblurred_pmp3_lambda0,0124_lp_dnn_15_boat_10_n04612504_26151,dbcnn,False,15,0.0118367671966552,0.2232361435890197
deblurred_pmp3_lambda0,0125_lp_dnn_7_cat_10_n02125311_53412,dbcnn,False,7,0.0117316246032714,0.2567890584468841
deblurred_pmp3_lambda0,0126_lp_dnn_7_knife_10_n03041632_46914,dbcnn,False,7,0.0119054317474365,0.2257198691368103
deblurred_pmp3_lambda0,0127_lp_dnn_15_bicycle_10_n03792782_5629,dbcnn,False,15,0.011725902557373,0.189291775226593
deblurred_pmp3_lambda0,0129_lp_dnn_3_dog_10_n02101006_5024,dbcnn,False,3,0.0120141506195068,0.2620213329792022
deblurred_pmp3_lambda0,0130_lp_dnn_15_oven_10_n04111531_2350,dbcnn,False,15,0.0039980411529541,0.2246795296669006
deblurred_pmp3_lambda0,0131_lp_dnn_7_airplane_10_n02690373_4839,dbcnn,False,7,0.0036513805389404,0.239414095878601
deblurred_pmp3_lambda0,0132_lp_dnn_5_car_10_n03100240_2075,dbcnn,False,5,0.0037128925323486,0.2907385230064392
deblurred_pmp3_lambda0,0133_lp_dnn_5_cat_10_n02123159_3729,dbcnn,False,5,0.0036542415618896,0.2389301061630249
deblurred_pmp3_lambda0,0134_lp_dnn_10_knife_10_n03041632_3079,dbcnn,False,10,0.0036756992340087,0.205581247806549
deblurred_pmp3_lambda0,0135_lp_dnn_15_elephant_10_n02504013_2052,dbcnn,False,15,0.0036172866821289,0.2209557443857193
deblurred_pmp3_lambda0,0137_lp_dnn_15_keyboard_10_n03085013_7955,dbcnn,False,15,0.0035290718078613,0.281407356262207
deblurred_pmp3_lambda0,0139_lp_dnn_10_cat_10_n02125311_44401,dbcnn,False,10,0.0042839050292968,0.2298029065132141
deblurred_pmp3_lambda0,0140_lp_dnn_10_airplane_10_n02690373_10657,dbcnn,False,10,0.0033631324768066,0.2810068726539612
deblurred_pmp3_lambda0,0141_lp_dnn_5_bird_10_n02025239_7919,dbcnn,False,5,0.0035774707794189,0.2664675712585449
deblurred_pmp3_lambda0,0144_lp_dnn_5_keyboard_10_n04505470_4371,dbcnn,False,5,0.0035595893859863,0.2737800478935241
deblurred_pmp3_lambda0,0145_lp_dnn_0_keyboard_10_n03085013_14237,dbcnn,False,0,0.0039832592010498,0.5708843469619751
deblurred_pmp3_lambda0,0146_lp_dnn_0_clock_10_n03196217_6163,dbcnn,False,0,0.0040535926818847,0.4523663520812988
deblurred_pmp3_lambda0,0147_lp_dnn_15_chair_10_n02791124_3857,dbcnn,False,15,0.0033955574035644,0.1977971494197845
deblurred_pmp3_lambda0,0149_lp_dnn_0_truck_10_n04467665_17101,dbcnn,False,0,0.0039741992950439,0.691799521446228
deblurred_pmp3_lambda0,0150_lp_dnn_1_chair_10_n04429376_19354,dbcnn,False,1,0.0036237239837646,0.3843871653079986
deblurred_pmp3_lambda0,0151_lp_dnn_0_knife_10_n03041632_42156,dbcnn,False,0,0.0038731098175048,0.5449533462524414
deblurred_pmp3_lambda0,0152_lp_dnn_1_car_10_n04285008_39,dbcnn,False,1,0.0036187171936035,0.444131463766098
deblurred_pmp3_lambda0,0153_lp_dnn_1_boat_10_n03662601_1319,dbcnn,False,1,0.0035772323608398,0.4127605557441711
deblurred_pmp3_lambda0,0154_lp_dnn_7_truck_10_n03796401_4119,dbcnn,False,7,0.0034234523773193,0.2344751358032226
deblurred_pmp3_lambda0,0155_lp_dnn_15_bottle_10_n03937543_2333,dbcnn,False,15,0.0034027099609375,0.2187860310077667
deblurred_pmp3_lambda0,0156_lp_dnn_3_bottle_10_n04591713_7134,dbcnn,False,3,0.0033516883850097,0.3376447558403015
deblurred_pmp3_lambda0,0157_lp_dnn_0_dog_10_n02107312_3673,dbcnn,False,0,0.0126004219055175,0.5976465940475464
deblurred_pmp3_lambda0,0158_lp_dnn_3_oven_10_n04111531_8373,dbcnn,False,3,0.0115718841552734,0.2551318407058716
deblurred_pmp3_lambda0,0159_lp_dnn_3_car_10_n03100240_13707,dbcnn,False,3,0.0114879608154296,0.3159544467926025
deblurred_pmp3_lambda0,0160_lp_dnn_1_chair_10_n02791124_241,dbcnn,False,1,0.0114946365356445,0.4366617202758789
deblurred_pmp3_lambda0,0161_lp_dnn_7_airplane_10_n02690373_5628,dbcnn,False,7,0.0116441249847412,0.2392008006572723
deblurred_pmp3_lambda0,0163_lp_dnn_7_keyboard_10_n04505470_4501,dbcnn,False,7,0.01171875,0.30201056599617
deblurred_pmp3_lambda0,0164_lp_dnn_1_bird_10_n02033041_11415,dbcnn,False,1,0.011810302734375,0.5631394386291504
deblurred_pmp3_lambda0,0165_lp_dnn_1_knife_10_n03041632_6446,dbcnn,False,1,0.0118217468261718,0.493211567401886
deblurred_pmp3_lambda0,0166_lp_dnn_0_bird_10_n02011460_3892,dbcnn,False,0,0.0140314102172851,0.6848315596580505
deblurred_pmp3_lambda0,0167_lp_dnn_1_cat_10_n02125311_3174,dbcnn,False,1,0.0119643211364746,0.5270788073539734
deblurred_pmp3_lambda0,0168_lp_dnn_10_dog_10_n02088364_7448,dbcnn,False,10,0.0118322372436523,0.2119410037994384
deblurred_pmp3_lambda0,0169_lp_dnn_1_cat_10_n02123394_4299,dbcnn,False,1,0.0117974281311035,0.3999164700508117
deblurred_pmp3_lambda0,0170_lp_dnn_15_keyboard_10_n03085013_23731,dbcnn,False,15,0.0117328166961669,0.2077853083610534
deblurred_pmp3_lambda0,0171_lp_dnn_5_knife_10_n03041632_29285,dbcnn,False,5,0.0117537975311279,0.2705008089542389
deblurred_pmp3_lambda0,0172_lp_dnn_0_keyboard_10_n03085013_12164,dbcnn,False,0,0.0119438171386718,0.6415653824806213
deblurred_pmp3_lambda0,0173_lp_dnn_5_bird_10_n01582220_9023,dbcnn,False,5,0.0115184783935546,0.2448568642139434
deblurred_pmp3_lambda0,0174_lp_dnn_3_bottle_10_n03983396_12728,dbcnn,False,3,0.0120003223419189,0.2628918886184692
deblurred_pmp3_lambda0,0175_lp_dnn_7_dog_10_n02111277_50807,dbcnn,False,7,0.007746934890747,0.1967100203037262
deblurred_pmp3_lambda0,0176_lp_dnn_5_boat_10_n04273569_2037,dbcnn,False,5,0.003727912902832,0.2814547419548034
deblurred_pmp3_lambda0,0178_lp_dnn_10_boat_10_n03662601_12034,dbcnn,False,10,0.00368332862854,0.2194219529628753
deblurred_pmp3_lambda0,0179_lp_dnn_15_airplane_10_n02690373_5845,dbcnn,False,15,0.0036513805389404,0.2169050723314285
deblurred_pmp3_lambda0,0180_lp_dnn_5_truck_10_n03417042_12128,dbcnn,False,5,0.0037581920623779,0.2564855217933655
deblurred_pmp3_lambda0,0181_lp_dnn_10_keyboard_10_n03085013_2432,dbcnn,False,10,0.0035505294799804,0.2279414981603622
deblurred_pmp3_lambda0,0182_lp_dnn_5_chair_10_n03376595_9692,dbcnn,False,5,0.0035746097564697,0.3366235494613647
deblurred_pmp3_lambda0,0183_lp_dnn_3_chair_10_n03376595_12583,dbcnn,False,3,0.0036656856536865,0.248363196849823
deblurred_pmp3_lambda0,0184_lp_dnn_0_bear_10_n02133161_2135,dbcnn,False,0,0.0043227672576904,0.599297046661377
deblurred_pmp3_lambda0,0185_lp_dnn_10_airplane_10_n02690373_5176,dbcnn,False,10,0.0036094188690185,0.2412195354700088
deblurred_pmp3_lambda0,0186_lp_dnn_0_elephant_10_n02504013_10990,dbcnn,False,0,0.0040547847747802,0.6271591782569885
deblurred_pmp3_lambda0,0187_lp_dnn_10_boat_10_n02951358_3155,dbcnn,False,10,0.0034940242767333,0.216041699051857
deblurred_pmp3_lambda0,0188_lp_dnn_1_knife_10_n03041632_2644,dbcnn,False,1,0.0036568641662597,0.4370309710502624
deblurred_pmp3_lambda0,0189_lp_dnn_5_airplane_10_n02690373_5184,dbcnn,False,5,0.0036888122558593,0.2388331592082977
deblurred_pmp3_lambda0,0190_lp_dnn_0_chair_10_n04099969_16161,dbcnn,False,0,0.0041019916534423,0.6082673072814941
deblurred_pmp3_lambda0,0191_lp_dnn_10_boat_10_n03344393_5343,dbcnn,False,10,0.0035440921783447,0.1809749007225036
deblurred_pmp3_lambda0,0192_lp_dnn_0_oven_10_n04111531_15052,dbcnn,False,0,0.0040116310119628,0.5178648829460144
deblurred_pmp3_lambda0,0193_lp_dnn_15_bicycle_10_n02835271_317,dbcnn,False,15,0.0033514499664306,0.2402229905128479
