dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,hyperiqa,False,5,0.03356647491455078,0.17959751188755035
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,hyperiqa,False,1,0.03345751762390137,0.4892592430114746
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,hyperiqa,False,3,0.0334019660949707,0.1651163399219513
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,hyperiqa,False,7,0.03327488899230957,0.1866818219423294
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,hyperiqa,False,7,0.033234357833862305,0.17625127732753754
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,hyperiqa,False,1,0.03351163864135742,0.332968145608902
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,hyperiqa,False,10,0.03310084342956543,0.17021575570106506
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,hyperiqa,False,5,0.0324702262878418,0.18181277811527252
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,hyperiqa,False,3,0.03243517875671387,0.16253302991390228
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,hyperiqa,False,3,0.032613277435302734,0.18955683708190918
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,hyperiqa,False,7,0.03237152099609375,0.23912568390369415
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,hyperiqa,False,10,0.032430171966552734,0.23608869314193726
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,hyperiqa,False,5,0.03249645233154297,0.17957568168640137
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,hyperiqa,False,1,0.03253507614135742,0.5091090798377991
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,hyperiqa,False,7,0.032459259033203125,0.15651273727416992
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,hyperiqa,False,10,0.03236198425292969,0.1940852701663971
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,hyperiqa,False,15,0.03226304054260254,0.3424578011035919
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,hyperiqa,False,10,0.03249502182006836,0.23304180800914764
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,hyperiqa,False,1,0.03249859809875488,0.42777499556541443
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,hyperiqa,False,7,0.03249335289001465,0.14687596261501312
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,hyperiqa,False,15,0.032233476638793945,0.2735731303691864
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,hyperiqa,False,7,0.03238081932067871,0.1653670072555542
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,hyperiqa,False,5,0.03243756294250488,0.1718195527791977
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,hyperiqa,False,0,0.032968997955322266,0.4258691966533661
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,hyperiqa,False,7,0.03238558769226074,0.1824851632118225
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,hyperiqa,False,10,0.03246188163757324,0.1730320006608963
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,hyperiqa,False,5,0.03232431411743164,0.23222556710243225
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,hyperiqa,False,1,0.03264307975769043,0.5104979872703552
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,hyperiqa,False,7,0.03248000144958496,0.19365373253822327
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,hyperiqa,False,10,0.032463788986206055,0.2268606275320053
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,hyperiqa,False,3,0.03241705894470215,0.1869087815284729
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,hyperiqa,False,15,0.032338619232177734,0.1706874817609787
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,hyperiqa,False,3,0.03237438201904297,0.2392561137676239
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,hyperiqa,False,0,0.03299117088317871,0.6136292219161987
