dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,ilniqe,True,5,1.3312671184539795,98.66109300182464
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,ilniqe,True,1,1.133249282836914,55.7472249824265
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,ilniqe,True,3,1.3411860466003418,105.61305551760748
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,ilniqe,True,7,1.3079679012298584,115.87901468911797
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,ilniqe,True,7,1.2867920398712158,107.93136524901378
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,ilniqe,True,1,1.0295898914337158,53.07116990237223
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,ilniqe,True,10,1.2147865295410156,119.37782768507994
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,ilniqe,True,5,1.3621139526367188,105.42626401506872
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,ilniqe,True,3,1.2494497299194336,98.71413150040748
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,ilniqe,True,3,1.30838942527771,99.15041863243223
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,ilniqe,True,7,1.282722234725952,121.13197255701952
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,ilniqe,True,10,1.3155231475830078,112.985020047244
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,ilniqe,True,5,1.3186709880828855,111.78206052094076
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,ilniqe,True,1,1.0000216960906982,51.80437485504848
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,ilniqe,True,7,1.2514333724975586,89.51241922147369
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,ilniqe,True,10,1.279530048370361,116.45206098341232
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,ilniqe,True,15,1.32318377494812,131.77426660375164
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,ilniqe,True,10,1.352369785308838,108.68724958636608
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,ilniqe,True,1,1.1045799255371094,60.6552687331359
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,ilniqe,True,7,1.378458023071289,115.82374072407198
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,ilniqe,True,15,1.7729392051696775,131.19897696711047
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,ilniqe,True,7,1.2660589218139648,120.4251059258896
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,ilniqe,True,5,1.3149425983428955,106.8350042599385
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,ilniqe,True,0,1.0375359058380127,42.204780704898106
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,ilniqe,True,7,1.305450439453125,99.37949667258944
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,ilniqe,True,10,1.228757619857788,133.23082769865758
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,ilniqe,True,5,1.2363903522491455,107.40524075729503
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,ilniqe,True,1,1.0731773376464844,54.18480145298233
