dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.8813552856445312,0.1197002232074737
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.881676435470581,0.2987113893032074
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.8755519390106201,0.185167446732521
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.8763704299926758,0.0971534252166748
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.8768734931945801,0.1382418870925903
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.8757460117340088,0.275091290473938
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.8771252632141113,0.1141842231154441
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.8772423267364502,0.1721991449594497
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.8769047260284424,0.1631036251783371
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.8780746459960938,0.1873677223920822
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.8774471282958984,0.177541971206665
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.8788163661956787,0.1010885462164878
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.8779628276824951,0.1257260739803314
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.8771157264709473,0.3117794990539551
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.8778491020202637,0.1223252713680267
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.8777287006378174,0.1216979548335075
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.8759138584136963,0.1001264005899429
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.8762071132659912,0.1036397814750671
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-kadid,False,1,0.8774678707122803,0.2624273002147674
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-kadid,False,7,0.8763618469238281,0.1022477224469184
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-kadid,False,15,0.8761711120605469,0.091888353228569
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-kadid,False,7,0.8768050670623779,0.118913933634758
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-kadid,False,5,0.8763942718505859,0.1222968399524688
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-kadid,False,0,0.8763666152954102,0.3279576599597931
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-kadid,False,7,0.8761630058288574,0.106315016746521
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-kadid,False,10,0.8762161731719971,0.0885810703039169
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-kadid,False,5,0.8760735988616943,0.145510733127594
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-kadid,False,1,0.8776416778564453,0.2995176613330841
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-kadid,False,7,0.8764889240264893,0.1545935124158859
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-kadid,False,10,0.8769063949584961,0.0896359607577323
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-kadid,False,3,0.8767883777618408,0.2238000184297561
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-kadid,False,15,0.8758609294891357,0.0707222893834114
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-kadid,False,3,0.8778455257415771,0.2024120092391967
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-kadid,False,0,0.877253532409668,0.3569899201393127
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-kadid,False,10,0.8767330646514893,0.0950172767043113
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-kadid,False,0,0.8770058155059814,0.252065896987915
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-kadid,False,1,0.8775126934051514,0.3072924613952636
deblurred_pmp3_lambda0,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-kadid,False,7,0.8771722316741943,0.1602582931518554
deblurred_pmp3_lambda0,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-kadid,False,15,0.8758025169372559,0.0968271195888519
deblurred_pmp3_lambda0,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-kadid,False,10,0.8754372596740723,0.1196641698479652
deblurred_pmp3_lambda0,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-kadid,False,15,0.8797330856323242,0.1131248548626899
deblurred_pmp3_lambda0,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-kadid,False,7,0.876887321472168,0.1437591165304184
deblurred_pmp3_lambda0,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-kadid,False,1,0.8778519630432129,0.3181350529193878
deblurred_pmp3_lambda0,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-kadid,False,1,0.8767702579498291,0.2686441838741302
deblurred_pmp3_lambda0,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-kadid,False,5,0.8767805099487305,0.1489330232143402
deblurred_pmp3_lambda0,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-kadid,False,7,0.877723217010498,0.095672607421875
deblurred_pmp3_lambda0,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-kadid,False,0,0.8767883777618408,0.2874103784561157
deblurred_pmp3_lambda0,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-kadid,False,0,0.8774139881134033,0.2986043691635132
deblurred_pmp3_lambda0,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-kadid,False,5,0.8775548934936523,0.133106529712677
deblurred_pmp3_lambda0,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-kadid,False,0,0.8786923885345459,0.3301338255405426
deblurred_pmp3_lambda0,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-kadid,False,3,0.8758983612060547,0.1941886693239212
deblurred_pmp3_lambda0,0058_lp_dnn_10_cat_10_n02123597_19450,maniqa-kadid,False,10,0.8771371841430664,0.1112769991159439
deblurred_pmp3_lambda0,0059_lp_dnn_15_chair_10_n03376595_3462,maniqa-kadid,False,15,0.8761186599731445,0.1341821551322937
deblurred_pmp3_lambda0,0060_lp_dnn_3_bottle_10_n04591713_3683,maniqa-kadid,False,3,0.876117467880249,0.2192596942186355
deblurred_pmp3_lambda0,0061_lp_dnn_7_clock_10_n03196217_4309,maniqa-kadid,False,7,0.8764731884002686,0.2004378139972686
deblurred_pmp3_lambda0,0062_lp_dnn_15_bear_10_n02134084_4923,maniqa-kadid,False,15,0.8765432834625244,0.1120041087269783
deblurred_pmp3_lambda0,0063_lp_dnn_1_chair_10_n04429376_5238,maniqa-kadid,False,1,0.8776915073394775,0.2631019949913025
deblurred_pmp3_lambda0,0064_lp_dnn_0_clock_10_n03196217_2414,maniqa-kadid,False,0,0.8771991729736328,0.3796060979366302
