dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8301997184753418,0.2431509643793106
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.862748384475708,0.6858315467834473
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.8620309829711914,0.27454671263694763
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.8605101108551025,0.2803354263305664
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8612391948699951,0.22939752042293549
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8589773178100586,0.6080505847930908
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.8593628406524658,0.2413845658302307
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.8574812412261963,0.28809013962745667
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.8564305305480957,0.3555677831172943
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.8596510887145996,0.3247993290424347
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.8604025840759277,0.3226838707923889
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.8605878353118896,0.2675378918647766
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8603606224060059,0.20850451290607452
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.8576877117156982,0.6642080545425415
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.8602862358093262,0.23138339817523956
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8597350120544434,0.2431279569864273
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.860241174697876,0.2608426511287689
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.8632965087890625,0.25216320157051086
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.8611888885498047,0.6263376474380493
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-pipal,False,7,0.8618533611297607,0.22895854711532593
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-pipal,False,15,0.8602325916290283,0.27632132172584534
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-pipal,False,7,0.8613991737365723,0.23936736583709717
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-pipal,False,5,0.8619575500488281,0.21762500703334808
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-pipal,False,0,0.8624057769775391,0.6364149451255798
