dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa,False,5,0.8306858539581299,0.17208853363990784
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa,False,1,0.8585062026977539,0.3082212209701538
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa,False,3,0.8569531440734863,0.10875313729047775
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa,False,7,0.8584578037261963,0.2222357541322708
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa,False,7,0.8577272891998291,0.075658418238163
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,maniqa,False,1,0.855522871017456,0.21753302216529846
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa,False,10,0.8550693988800049,0.07651766389608383
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,maniqa,False,5,0.8547003269195557,0.12267500162124634
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa,False,3,0.8564691543579102,0.18362005054950714
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa,False,3,0.8582892417907715,0.12900689244270325
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa,False,7,0.8591411113739014,0.29546448588371277
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa,False,10,0.8558874130249023,0.12372126430273056
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa,False,5,0.8578672409057617,0.11956675350666046
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa,False,1,0.8578982353210449,0.2852530777454376
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa,False,7,0.8596677780151367,0.06526154279708862
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa,False,10,0.8591117858886719,0.10040752589702606
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa,False,15,0.8601663112640381,0.17191262543201447
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa,False,10,0.8618347644805908,0.14417800307273865
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa,False,1,0.8590638637542725,0.28146684169769287
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa,False,7,0.8599750995635986,0.108671173453331
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa,False,15,0.8596782684326172,0.24673686921596527
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,maniqa,False,7,0.8571794033050537,0.14280103147029877
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa,False,5,0.8600375652313232,0.1662585288286209
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa,False,0,0.8619117736816406,0.3194945156574249
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,maniqa,False,7,0.8613910675048828,0.1459607630968094
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa,False,10,0.8624937534332275,0.12464255094528198
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa,False,5,0.8614108562469482,0.23216459155082703
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa,False,1,0.8614709377288818,0.2958722412586212
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa,False,7,0.8617267608642578,0.1629444658756256
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa,False,10,0.861454963684082,0.23790806531906128
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa,False,3,0.8600919246673584,0.2105599343776703
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa,False,15,0.8612625598907471,0.17310471832752228
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa,False,3,0.8618626594543457,0.16602586209774017
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,maniqa,False,0,0.8629107475280762,0.31371164321899414
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa,False,10,0.8660464286804199,0.15584908425807953
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa,False,0,0.8615846633911133,0.19921404123306274
deblurred_pmp3_lambda0,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa,False,1,0.8614668846130371,0.5280430912971497
