dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-ava,False,5,0.0415079593658447,3.079726457595825
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-ava,False,1,0.0406548976898193,3.2736587524414062
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-ava,False,3,0.0407876968383789,3.2872486114501958
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-ava,False,7,0.0405607223510742,3.531019687652588
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-ava,False,7,0.0406687259674072,3.10352110862732
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,musiq-ava,False,1,0.0407335758209228,3.934332847595215
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-ava,False,10,0.0408129692077636,3.72028374671936
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,musiq-ava,False,5,0.0408377647399902,2.977414131164551
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-ava,False,3,0.0407166481018066,3.020896673202514
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-ava,False,3,0.0403707027435302,3.714589357376098
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-ava,False,7,0.0184862613677978,2.7724828720092773
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-ava,False,10,0.0499823093414306,3.1595163345336914
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-ava,False,5,0.0405824184417724,2.992462635040283
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-ava,False,1,0.0406477451324462,4.038623809814453
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-ava,False,7,0.0406010150909423,3.902608633041382
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-ava,False,10,0.0404562950134277,3.630013704299927
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-ava,False,15,0.0406019687652587,3.6740472316741934
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-ava,False,10,0.0406968593597412,3.681507110595703
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-ava,False,1,0.0405211448669433,3.213408946990967
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-ava,False,7,0.0407588481903076,3.1559484004974365
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-ava,False,15,0.0409207344055175,2.693323373794556
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,musiq-ava,False,7,0.0404951572418212,3.0326876640319824
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-ava,False,5,0.0404648780822753,3.4385128021240234
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-ava,False,0,0.0368964672088623,3.624154090881348
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,musiq-ava,False,7,0.0425043106079101,3.092949390411377
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-ava,False,10,0.0428543090820312,3.3251171112060547
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-ava,False,5,0.0430715084075927,2.797135829925537
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-ava,False,1,0.045039415359497,4.268879890441895
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-ava,False,7,0.0404794216156005,3.4555366039276123
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-ava,False,10,0.0406498908996582,3.193531036376953
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-ava,False,3,0.0406868457794189,2.9269347190856934
