dataset,image,metric,lower_better,condition,time,score
deblurred_pmp3_lambda0,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-paq2piq,False,5,0.0478200912475585,53.31299209594727
deblurred_pmp3_lambda0,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-paq2piq,False,1,0.0405735969543457,74.84839630126953
deblurred_pmp3_lambda0,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-paq2piq,False,3,0.0406265258789062,59.60926055908203
deblurred_pmp3_lambda0,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-paq2piq,False,7,0.0405158996582031,60.17994689941406
deblurred_pmp3_lambda0,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-paq2piq,False,7,0.0407030582427978,55.65715026855469
deblurred_pmp3_lambda0,0008_lp_dnn_1_bear_10_n02134418_14,musiq-paq2piq,False,1,0.0407412052154541,70.34272003173828
deblurred_pmp3_lambda0,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-paq2piq,False,10,0.0405788421630859,55.23946762084961
deblurred_pmp3_lambda0,0010_lp_dnn_5_bird_10_n01795545_952,musiq-paq2piq,False,5,0.0408105850219726,52.99066162109375
deblurred_pmp3_lambda0,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-paq2piq,False,3,0.0409328937530517,57.36172866821289
deblurred_pmp3_lambda0,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-paq2piq,False,3,0.0407755374908447,57.99515914916992
deblurred_pmp3_lambda0,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-paq2piq,False,7,0.0405399799346923,56.24388885498047
deblurred_pmp3_lambda0,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-paq2piq,False,10,0.0406117439270019,52.97671890258789
deblurred_pmp3_lambda0,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-paq2piq,False,5,0.0230212211608886,53.39925003051758
deblurred_pmp3_lambda0,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-paq2piq,False,1,0.0496730804443359,74.46070098876953
deblurred_pmp3_lambda0,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-paq2piq,False,7,0.040651798248291,46.8509521484375
deblurred_pmp3_lambda0,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-paq2piq,False,10,0.0404565334320068,50.36434173583984
deblurred_pmp3_lambda0,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-paq2piq,False,15,0.0406365394592285,49.30506896972656
deblurred_pmp3_lambda0,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-paq2piq,False,10,0.0406539440155029,52.289825439453125
deblurred_pmp3_lambda0,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-paq2piq,False,1,0.0404756069183349,73.83370208740234
deblurred_pmp3_lambda0,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-paq2piq,False,7,0.04071044921875,52.82494354248047
deblurred_pmp3_lambda0,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-paq2piq,False,15,0.0409247875213623,48.74394226074219
deblurred_pmp3_lambda0,0026_lp_dnn_7_car_10_n02814533_44503,musiq-paq2piq,False,7,0.0407700538635253,51.63141250610352
deblurred_pmp3_lambda0,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-paq2piq,False,5,0.0408289432525634,54.88935852050781
deblurred_pmp3_lambda0,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-paq2piq,False,0,0.0407390594482421,73.1253433227539
deblurred_pmp3_lambda0,0029_lp_dnn_7_cat_10_n02123159_587,musiq-paq2piq,False,7,0.0403754711151123,52.03192138671875
deblurred_pmp3_lambda0,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-paq2piq,False,10,0.0224096775054931,48.052433013916016
deblurred_pmp3_lambda0,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-paq2piq,False,5,0.0497863292694091,56.40709686279297
deblurred_pmp3_lambda0,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-paq2piq,False,1,0.0404512882232666,73.27899932861328
deblurred_pmp3_lambda0,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-paq2piq,False,7,0.0405385494232177,57.83673477172852
deblurred_pmp3_lambda0,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-paq2piq,False,10,0.0406272411346435,53.23728942871094
deblurred_pmp3_lambda0,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-paq2piq,False,3,0.0404825210571289,62.94691467285156
deblurred_pmp3_lambda0,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-paq2piq,False,15,0.0406653881072998,50.24104690551758
deblurred_pmp3_lambda0,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-paq2piq,False,3,0.0408229827880859,59.59432220458984
deblurred_pmp3_lambda0,0039_lp_dnn_0_car_10_n03100240_9625,musiq-paq2piq,False,0,0.0407171249389648,77.43771362304688
deblurred_pmp3_lambda0,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq-paq2piq,False,10,0.0408797264099121,50.08473205566406
deblurred_pmp3_lambda0,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq-paq2piq,False,0,0.04095458984375,67.29070281982422
